"Periode","Land","Lokation","lat","lng","Uddannelse","img","x","y","id"
"1986-1992","Grønland","Nuuk",64.17961329,-51.72844046,"Børnehave","https://pvexpect.com/Driftsledelse/Billeder/greenland.jpg",0.5,0.5,1
"2002-2003","Amerika","Wisconsin",44.87589268,-91.69018267,"Udvekslingsstudent","https://pvexpect.com/Driftsledelse/Billeder/elkmound.jpg",2.5,2.5,3
"2003-2006","Danmark","København",55.37225723,11.65325441,"International baccalauerate","https://pvexpect.com/Driftsledelse/Billeder/herluf.png",0.5,0.5,4
"2006-2007","England","Durham",54.76619287,-1.577838121,"Udveksling","https://pvexpect.com/Driftsledelse/Billeder/durham.jpg",1.5,1.5,5
"2007-2010","Danmark","Sønderborg",54.91301779,9.779283131,"Innovation og business ingeniør","https://pvexpect.com/Driftsledelse/Billeder/alsion.jpeg",2.5,2.5,6
"2010-2012","Tyskland","Berlin",52.48482922,13.34381317,"Global produktion ingeniør","https://pvexpect.com/Driftsledelse/Billeder/GPE_8.jpg",1.5,1.5,7
"2019-","Norge","Ås",59.66572467,10.79046089,"Phd kandidate","https://pvexpect.com/Driftsledelse/Billeder/aas.png",2.5,2.5,8
