"Full_navn","Aktie","ticker","Lande"
"MT Højgaard Holding A/S","MT_Højgaard","mthh.co","Danmark"
"Møns Bank A/S","Møns_Bank","mnba.co","Danmark"
"Netcompany Group A/S","Netcompany_Group","NETC.CO","Danmark"
"Newcap Holding A/S","Newcap_Holding","NEWCAP.CO","Danmark"
"Nilfisk Holding A/S","Nilfisk_Holding","NLFSK.CO","Danmark"
"NKT A/S","NKT","NKT.CO","Danmark"
"NNIT A/S","NNIT","NNIT.CO","Danmark"
"Nordea Bank Abp","Nordea_Bank","NDA-DK.CO","Danmark"
"Nordfyns Bank A/S","Nordfyns_Bank","NRDF.CO","Danmark"
"Nordic Shipholding A/S","Nordic_Shipholding","NORDIC.co","Danmark"
"North Media A/S","North_Media","NORTHM.CO","Danmark"
"Novo Nordisk B A/S","Novo_Nordisk","NOVO-B.CO","Danmark"
"Novozymes B A/S","Novozymes","NZYM-B.CO","Danmark"
"NPinvestor.com A/S","NPinvestor","NPINV.CO","Danmark"
"NTG Nordic Transport Group A/S","NTG_Nordic_Transport_Group","NTG.CO","Danmark"
"NTR Holding B A/S","NTR_Holding","NTR-B.CO","Danmark"
"Odico A/S","Odico","ODICO.CO","Danmark"
"Onxeo SA","Onxeo","ONXEO.co","Danmark"
"Orphazyme A/S","Orphazyme","OTCQB.co","Danmark"
"Pandora A/S","Pandora","PNDORA.CO","Danmark"
"PARKEN Sport & Entertainment A/S","PARKEN","PARKEN.CO","Danmark"
"Park Street Nordicom A/S A","Park_Street_Nordicom","PSNRDC-A.CO","Danmark"
"Penneo A/S","Penneo","PENNEO.CO","Danmark"
"Per Aarsleff Holding A/S B","Per_Aarsleff_Holding","PAAL-B.CO","Danmark"
"Prime Office A/S","Prime_Office","PRIMOF.CO","Danmark"
"Rias B A/S","Rias","RIAS-B.CO","Danmark"
"Ringkjøbing Landbobank A/S","Ringkjøbing_Landbobank","RILBA.CO","Danmark"
"Risk Intelligence","Risk_Intelligence","risk.co","Danmark"
"Roblon B A/S","Roblon","RBLN-B.CO","Danmark"
"Rockwool International A A/S","Rockwool","ROCK-A.CO","Danmark"
"Royal UNIBREW A/S","Royal_UNIBREW","RBREW.CO","Danmark"
"RTX A/S","RTX","RTX.CO","Danmark"
"Sanistål A/S","Sanistål","SANI.CO","Danmark"
"SAS AB","SAS","SAS-DKK.CO","Danmark"
"Scandinavian Brake Systems A/S","Scandinavian_Brake_Systems","SBS.CO","Danmark"
"Scandinavian Investment Group A/S","Scandinavian_Investment_Group","SIG.CO","Danmark"
"Scandinavian Tobacco Group A/S","Scandinavian_Tobacco_Group","STG.CO","Danmark"
"Scape Technologies A/S","Scape_Technologies","SCAPE.CO","Danmark"
"Schouw & Co. A/S","Schouw_og_Co","scho.co","Danmark"
"Seluxit A/S","Seluxit","SLXIT.co","Danmark"
"Shape Robotics A/S","Shape_Robotics","SHAPE.CO","Danmark"
"Silkeborg IF Invest A/S","Silkeborg_IF_Invest","SIF.CO","Danmark"
"SimCorp A/S","SimCorp","SIM.CO","Danmark"
"SKAKO A/S","SKAKO","SKAKO.CO","Danmark"
"Skjern Bank A/S","Skjern_Bank","SKJE.CO","Danmark"
"Small Cap Danmark A/S","Small_Cap_Danmark","SCD.CO","Danmark"
"Solar B A/S","Solar_B","SOLAR-B.CO","Danmark"
"Sparekassen Sjælland-Fyn A/S","Sparekassen_Sjælland_Fyn","SPKSJF.co","Danmark"
"Spar Nord Bank A/S","Spar_Nord_Bank","SPNO.CO","Danmark"
"SP Group A/S","SP_Group","SPG.CO","Danmark"
"STENOCARE A/S","STENOCARE","STEOF.co","Danmark"
"Strategic Investments A/S","Strategic_Investments","STRINV.CO","Danmark"
"Sydbank A/S","Sydbank","SYDB.CO","Danmark"
"TCM Group A/S","TCM_Group","TCM.CO","Danmark"
"The Drilling Company of 1972 A/S","Drilling_Company","DRLCO.co","Danmark"
"Tivoli A/S","Tivoli","TIV.CO","Danmark"
"Topdanmark A/S","Topdanmark","TOP.CO","Danmark"
"TORM plc A","TORM","TRMD-A.CO","Danmark"
"Totalbanken A/S","Totalbanken","TOTA.CO","Danmark"
"Tryg A/S","Tryg","tryg.co","Danmark"
"Waturu Holding A/S","Waturu","WATURU.CO","Danmark"
"Vestas Wind Systems A/S","Vestas","vws.co","Danmark"
"Vestjysk Bank A/S","Vestjysk_Bank","VJBA.co","Danmark"
"Victoria Properties A/S","Victoria_Properties","VIPRO.CO","Danmark"
"WindowMaster International A/S","WindowMaster_International","WMA.co","Danmark"
"ViroGates A/S","ViroGates","VIRO.co","Danmark"
"WirTek A/S","WirTek","WIRTEK.CO","Danmark"
"Zealand Pharma A/S","Zealand_Pharma","ZEAL.co","Danmark"
"Össur hf.","OOssur","ossr.co","Danmark"
"Ørsted A/S","Ørsted","ORSTED.co","Danmark"
