"Vare","Vare_2","Produkter","KIWI","Meny","Obs","Rema100","Spar","Extra","week","Årstal","Dato"
"Agurk1_stk","","Agurk",19.4,21.9,19.9,19.4,21.9,19.4,38,2020,"15.09.2020"
"Champignon1_kg__","","Sjampinjong",46.8,51.9,49.9,46.8,49.9,46.8,38,2020,"15.09.2020"
"Blomkål1_stk","","Blomkål",24.5,26.9,24.9,24.5,25.9,24.5,38,2020,"15.09.2020"
"Sennep_Maille_Dijon380_gram","","",25.3,28.5,27.1,25.4,27.9,25.4,38,2020,"15.09.2020"
"Gilde_original_ovnsbakt_leverpostei190_gr","","",27.9,29.9,28.4,27.9,29.9,27.9,38,2020,"15.09.2020"
"Grillpølser_Gilde600_gr","","",36.9,39.2,38.4,36.9,29.9,36.9,38,2020,"15.09.2020"
"Lettmelk_Tine1_liter","","",17.9,18.9,17.9,17.9,18.9,17.9,38,2020,"15.09.2020"
"Kesam_Vanilje300_gram_vanilje","","",21.4,22.9,23.3,21.9,22.9,21.9,38,2020,"15.09.2020"
"Leverpostei100_gr","","",8.9,9.5,9,8.9,9.5,8.9,38,2020,"15.09.2020"
"Mills_Peanøttsmør350_gram","","",37.9,41.9,40.2,37.9,40.9,37.9,38,2020,"15.09.2020"
"Bringebærsyltetøy_eget_merke1000_gram","","",20.31,20.31,20.3,20.4,20.73,20.3,38,2020,"15.09.2020"
"Tomatpurre_Staveland180_gr","","",7.5,8.5,7.8,7.5,8.5,7.5,38,2020,"15.09.2020"
"Spaghetti_A_la_Capri870_gram","","",28.9,32.5,29.4,28.9,32.5,28.9,38,2020,"15.09.2020"
"Hvit_saus","Toro38 gram","",10.9,11.7,11.6,10.9,11.9,10.9,38,2020,"15.09.2020"
"Brun_saus_uten_løk","Toro44 gram","",10.9,12,11.6,10.9,11.9,10.9,38,2020,"15.09.2020"
"Dolmio_Intens_hvitløk500_gr","","",23.2,24.9,24.8,23.2,24.9,23.2,38,2020,"15.09.2020"
"Idun_Sennep490_gr","","",16.9,18.2,14.9,16.9,18.5,16.9,38,2020,"15.09.2020"
"Idun_Ketchup530_gr","","",16,16.9,14.9,16,17.5,16,38,2020,"15.09.2020"
"Soyasaus_Kikkoman150_ml","","",27.4,31.9,28.7,27.4,29.9,27.4,38,2020,"15.09.2020"
"Taco_spice_mix_3X25G","","",15.4,17.9,16.1,15.4,16.5,15.4,38,2020,"15.09.2020"
"Lipton_Te_Yellow25_poser","","",26.9,30,27.4,26.9,28.5,26.9,38,2020,"15.09.2020"
"Wasa_Rugsprø200gr","","",15.9,17.9,17.2,16.9,18.5,16.9,38,2020,"15.09.2020"
"Bixit_Original300_gram","","",18.9,20.5,14.9,18.9,20.5,18.9,38,2020,"15.09.2020"
"Mariekjeks200_gram","","",10.9,13,12.7,11.9,12.9,11.9,38,2020,"15.09.2020"
"Coca_Cola1","5 liter","",34.2,36.9,34.2,34.2,37.9,34.2,38,2020,"15.09.2020"
"Dobbeldusch_Sport250_ml","","",19.9,21.1,20.7,19.9,21.5,19.9,38,2020,"15.09.2020"
"Whiskas_Sticks_Laks1_stk","","",9.4,10.9,6.3,9.9,10.5,9.9,38,2020,"15.09.2020"
"JIF_Baderom_Spray500_ml","","",39.9,42.3,41.5,39.9,42.9,39.9,38,2020,"15.09.2020"
"JIF_Kjøkken_Spray500_ml","","",34.9,38.5,36.3,34.9,37.5,34.9,38,2020,"15.09.2020"
"Omo_Color1","17 kg","",57.9,61.5,57.9,57.9,62.9,57.9,38,2020,"15.09.2020"
"WC_Duck_Blått1_stk","","",9.9,11.9,10.9,10.4,11.5,10.4,38,2020,"15.09.2020"
"Møllers_Tran500_ml_Naturell","","",106.4,113,111.7,106.4,115,106.4,38,2020,"15.09.2020"
"Barberskum_Regular200_ml","","",16.6,18.3,17.7,16.6,17.5,16.6,38,2020,"15.09.2020"
"Avløpsåpner_Pulver_Plumbo600_gr","","",57.9,62.9,61.9,57.9,62.9,57.9,38,2020,"15.09.2020"
"Bounty_Trio85_gr","","",15.9,18.5,16.9,16.9,11.9,16.9,38,2020,"15.09.2020"
"Lion_King_sjokolade60_gram","","",14.9,16.5,15.1,14.9,16.5,14.9,38,2020,"15.09.2020"
"Smash200_gr","","",43.9,46.9,44.7,43.9,39.9,43.9,38,2020,"15.09.2020"
"Melkehjerter_Freia130_gr","","",48.9,52.9,52.9,49.9,52.9,49.9,38,2020,"15.09.2020"
"Pepe_Lakris_Big32_gram","","",12.9,14.5,13.8,12.9,13.9,12.9,38,2020,"15.09.2020"
"Totalsum","","",1040,1134,1074,1046,1106,1046,37,2020,"08.09.2020"
"Bananer1_kg_løsvekt","","Banan",19.8,24.9,19.9,19.8,22.9,19.8,37,2020,"08.09.2020"
"Paprika1_kg_løsvekt","","Paprika",54.8,61.9,55.9,54.8,57.9,54.8,37,2020,"08.09.2020"
"Agurk1_stk","","Agurk",19.4,21.9,20.9,19.4,21.9,19.4,37,2020,"08.09.2020"
"Champignon1_kg__","","Sjampinjong",46.8,51.9,49.9,46.8,49.9,46.8,37,2020,"08.09.2020"
"Isbergsalat1_stk","","Isbergsalat",19.8,21.9,19.9,19.8,21.9,19.9,37,2020,"08.09.2020"
"Pizzasaus","idun290 gr","",18.9,20.9,20.1,18.9,20.5,18.9,37,2020,"08.09.2020"
"Revet_ost_original_Tine300gr","","",46.4,48.9,48.7,46.4,51.9,46.4,37,2020,"08.09.2020"
"Gudbrandsdalsost_skivet_Tine130_gr","","",17.9,19.5,18.2,17.9,22.9,17.9,37,2020,"08.09.2020"
"Pepperoni_Grilstad100_gram","","",29.9,32.9,31.9,29.9,32.5,29.9,37,2020,"08.09.2020"
"Kjøttdeig_billigste_type400_gr","","",49.9,49.9,50.8,49.9,49.9,49.9,37,2020,"08.09.2020"
"Fjordland_risgrøt970_gr","","",34.9,38.5,36.6,34.9,37.9,34.9,37,2020,"08.09.2020"
"Lettrømme_Tine3_dl","","",14.8,15.9,15.1,14.8,18.9,14.9,37,2020,"08.09.2020"
"Biola_Blåbær1_liter","","",26.7,24.9,28,26.7,37.9,26.7,37,2020,"08.09.2020"
"Melange_margarin500_gram","","",28.9,30.9,30.1,28.9,31.5,28.9,37,2020,"08.09.2020"
"Ekte_Remulade","Mills165 gram","",24.9,26.9,25.3,24.9,26.9,24.9,37,2020,"08.09.2020"
"Mills_Majones_tubetube_160_gram","","",26.9,28.9,27.4,26.9,28.9,26.9,37,2020,"08.09.2020"
"Mills_Kaviar185_gr","","",20.9,22.5,19.9,20.9,22.9,20.9,37,2020,"08.09.2020"
"Grandiosa_Hj.laget_m/kjøttdeig_1_kgmed_kjøttdeig","","",89,97,90.7,89,95.9,89,37,2020,"08.09.2020"
"Stabbur-Makrell","grovhakket110 gram","",17.4,19.2,18.2,17.4,14.9,17.4,37,2020,"08.09.2020"
"Stabbur-Makrell","tomat110 gram","",15.9,17.3,16.2,15.9,14.9,15.9,37,2020,"08.09.2020"
"Tomatpurre_Staveland180_gr","","",7.5,8.5,7.8,7.5,8.5,7.5,37,2020,"08.09.2020"
"Lasagne_Toro310_gr_Familiepakning","","",41.5,44.9,42.3,41.5,44.9,41.5,37,2020,"08.09.2020"
"Lofoten_Fiskesuppe69_gram","","",20.4,22.3,13.14,20.4,22.5,20.4,37,2020,"08.09.2020"
"Bergensk_Fiskesuppe_Toro81_gr","","",18.9,20.7,11.34,18.9,20.5,18.9,37,2020,"08.09.2020"
"Kremet_BlomkålsuppePose","","",20.4,21.9,12.48,20.4,21.9,20.4,37,2020,"08.09.2020"
"Pizzafyll_Tomat_og_løk50_gr","","",18.4,19.9,19.6,18.4,19.9,18.4,37,2020,"08.09.2020"
"Pizzafyll_Mexicana","Toro60 gram","",17.9,19.9,19,17.9,19.5,17.9,37,2020,"08.09.2020"
"Toro_Pizzabunn_familiepakn.370_gram","","",24.9,27.4,26.4,24.9,26.9,24.9,37,2020,"08.09.2020"
"Vafler_Toro_Fam/Pk591_gr_","","",22.9,26.2,25,23.9,25.9,23.9,37,2020,"08.09.2020"
"Toro_Brownies530_gram","","",24.9,26.5,31.5,24.9,26.9,24.9,37,2020,"08.09.2020"
"Bernaisesaus_1_pose","Toro28 gram","",14.9,16.4,9.06,14.9,15.9,14.9,37,2020,"08.09.2020"
"Ananasbiter_3_pk_eget_m.3_pk","","Ananas",15.9,17.5,15.9,15.9,16.9,15.9,37,2020,"08.09.2020"
"Smacks_Honnikorn375_gr","","",26.8,28.5,27.3,26.8,28.9,26.8,37,2020,"08.09.2020"
"Omo_Color1","17 kg","",57.9,61.5,57.9,57.9,62.9,57.9,37,2020,"08.09.2020"
"Panda_Lakris200_gr","","",32.9,36,35.2,32.9,34.5,32.9,37,2020,"08.09.2020"
"Totalsum","","",990,1075,998,991,1079,991,37,2020,"08.09.2020"
"Agurk1_stk","","Agurk",19.9,21.9,14.6,19.9,21.9,19.9,36,2020,"01.09.2020"
"Revet_ost_original_Tine300gr","","",46.4,48.9,48.7,46.4,49.9,46.4,36,2020,"01.09.2020"
"Kjøttdeig_billigste_type400_gr","","",49.9,49.9,50.8,49.9,49.9,49.9,36,2020,"01.09.2020"
"Kyllingfilet1_kg","","",94,99.5,94,94,99.29,94,36,2020,"01.09.2020"
"Lettrømme_Tine3_dl","","",14.9,15.9,15.1,14.9,18.9,14.9,36,2020,"01.09.2020"
"Helmelk_Tine1_liter","","",19.4,20.5,19.4,19.4,20.5,19.4,36,2020,"01.09.2020"
"Tine_Meierismør1/2_kilo","","",39.9,42.5,42.6,39.9,44.9,39.9,36,2020,"01.09.2020"
"Familiens_Fiskegrateng1_kilo","","",58.4,62.9,62.4,58.4,62.9,58.4,36,2020,"01.09.2020"
"Mais_eget_merke3_pk","","",16.9,18.4,17.2,16.9,18.5,16.9,36,2020,"01.09.2020"
"Freia_vaniljesukker_175_gr175_gram","","",19.9,21.9,20.2,19.9,21.5,19.9,36,2020,"01.09.2020"
"Vafler_Toro_Fam/Pk591_gr_","","",23.9,26.2,25,23.9,25.9,23.9,36,2020,"01.09.2020"
"Pannekaker_Øko._Toro540_gr_Familiepakning","","",34.9,37.9,37,34.9,37.5,34.9,36,2020,"01.09.2020"
"Tacosaus_Hot","Old El Paso230 gram","",15.9,18.9,16.9,15.9,8.45,15.9,36,2020,"01.09.2020"
"Tacosaus_Medium","Santa Maria230 gr","",12.9,16.9,13.7,12.9,8.45,12.9,36,2020,"01.09.2020"
"Tacosaus_billigste_type","med.226 gram","",5.5,5.5,5.6,6.5,5.5,5.5,36,2020,"01.09.2020"
"Tacosaus_medium","OLP230 gr","",15.7,17.9,18,15.7,8.45,15.7,36,2020,"01.09.2020"
"Taco_spice_mix_3X25G","","",15.4,17.9,16.1,15.4,8.25,15.4,36,2020,"01.09.2020"
"Spice_Mix_Fajitas30_gram","","",8.4,9.9,8.9,8.4,4.45,15.4,36,2020,"01.09.2020"
"Taco_dinner_kit","eget merke320 gram","",9.9,9.9,9.9,9.9,9.9,9.9,36,2020,"01.09.2020"
"Jalapeños","billigste type225 gram","",15.9,21.9,16.9,17.7,10.25,16.8,36,2020,"01.09.2020"
"Taco_shells","OLP12 pk","",19.2,21.9,20.4,19.2,10.45,19.2,36,2020,"01.09.2020"
"Hvetetortillas326_gr_(8_lefser)","","",18.9,20.9,20.2,18.9,10.25,18.9,36,2020,"01.09.2020"
"Tortillas_beger8_stk","","",25.3,29.5,27,25.3,13.75,25.3,36,2020,"01.09.2020"
"Nescafé_Gull_refill100_gr","","",29.9,27.9,30.4,29.9,33.9,29.9,36,2020,"01.09.2020"
"Ananasbiter_3_pk_eget_m.3_pk","","Ananas",15.9,17.5,15.9,15.9,16.9,15.9,36,2020,"01.09.2020"
"Jordbærgele","Freia125 gram","",10.9,11.9,11.1,10.9,11.9,10.9,36,2020,"01.09.2020"
"Bringebærgele","Freia125 gram","",13.9,15.5,14.1,13.9,14.9,13.9,36,2020,"01.09.2020"
"Sitrongele125_gram","","",16.9,18.9,17,16.9,18.5,16.9,36,2020,"01.09.2020"
"Daim_Strøssel_Freia100_gr_","","",23.9,26.9,26.1,23.9,26.5,23.9,36,2020,"01.09.2020"
"Piano_vaniljesaus1_liter","","",25.9,28.9,28.6,25.9,28.9,26.9,36,2020,"01.09.2020"
"Krokanrull71_gr","","",20.2,21.9,21.5,20.2,21.9,20.2,36,2020,"01.09.2020"
"Kvikk_lunsj47gr","","",12.4,13.5,12.6,12.4,13.5,12.4,36,2020,"01.09.2020"
"Pepe_Lakris_Big32_gram","","",12.9,14.5,13.8,12.9,13.9,12.9,36,2020,"01.09.2020"
"Totalsum","","",784,855,812,787,771,793,36,2020,"01.09.2020"
"Bananer1_kg_løsvekt","","Banan",19.9,24.9,20.9,19.9,19.9,19.9,35,2020,"25.08.2020"
"Agurk1_stk","","Agurk",19.9,21.9,20.9,19.9,21.9,19.9,35,2020,"25.08.2020"
"Champignon1_kg__","","Sjampinjong",46.9,51.9,52.9,46.9,49.9,46.9,35,2020,"25.08.2020"
"Isbergsalat1_stk","","Isbergsalat",16.9,18.9,17.9,16.9,17.9,16.9,35,2020,"25.08.2020"
"Blomkål1_stk","","Blomkål",16.9,25.9,16.9,16.9,25.9,16.9,35,2020,"25.08.2020"
"Purreløkkg","","Purre",49.9,54.9,52.9,49.9,52.9,49.9,35,2020,"25.08.2020"
"Norvegia1_kg","","",99,117,99,99,118,99,35,2020,"25.08.2020"
"Skivet_Ridderost_Tine170_gr","","",34.4,37.9,36.8,34.4,36.9,34.4,35,2020,"25.08.2020"
"FløtemysostSkivet","","",17.9,19.5,18.7,17.9,20.5,17.9,35,2020,"25.08.2020"
"Gudbrandsdalsost_Tine500_gr","","",51.6,56.9,54.1,51.6,55.9,51.6,35,2020,"25.08.2020"
"Prim_original_Tine300_gr","","",23.9,25.9,24.3,23.9,25.9,23.9,35,2020,"25.08.2020"
"Smøreost_Bacon_tube175_gr","","",29.9,32.5,30.4,29.9,32.9,29.9,35,2020,"25.08.2020"
"Smøreost_Skinke_tube175_gr","","",28.9,31.5,30.3,28.9,31.9,28.9,35,2020,"25.08.2020"
"Snøfrisk125_gr","","",19.7,21.5,21,19.7,21.5,19.7,35,2020,"25.08.2020"
"Philadelphia_light200gr","","",29.8,31.9,30.3,29.8,31.9,29.8,35,2020,"25.08.2020"
"Gilde_original_ovnsbakt_leverpostei190_gr","","",27.9,21.9,28.4,27.9,28.9,27.9,35,2020,"25.08.2020"
"Kokt_skinke_Gilde110_gr","","",23.1,24.7,18.43,23.1,24.9,23.1,35,2020,"25.08.2020"
"Favoritt_Salami","Gilde150 gram","",38.7,43.8,41.4,38.7,42.9,38.7,35,2020,"25.08.2020"
"Kulturmelk","Tine1 liter","",17.9,19.5,18.2,17.9,20.5,17.9,35,2020,"25.08.2020"
"Lettrømme_Tine3_dl","","",14.9,15.9,15.1,14.9,18.9,14.9,35,2020,"25.08.2020"
"Melange_margarin500_gram","","",28.9,30.9,30.1,28.9,31.5,28.9,35,2020,"25.08.2020"
"Delikat_rekesalat200_gram","","",29.9,31.9,30.4,29.9,32.5,29.9,35,2020,"25.08.2020"
"Mills_Majones330_gr_(2_poser)","","",29.9,32.7,31.9,29.9,31.9,29.9,35,2020,"25.08.2020"
"Italiensk_salat_med_skinke180_gr","","",15.3,16.9,16,15.3,18.5,15.3,35,2020,"25.08.2020"
"Mills_Kaviar185_gr","","",20.9,22.5,21.9,20.9,22.9,20.9,35,2020,"25.08.2020"
"Egg_billigste_type12_stk","","",21.9,26.6,21.9,21.9,23.9,21.9,35,2020,"25.08.2020"
"Grandiosa_Hj.laget_m/kjøttdeig_1_kgmed_kjøttdeig","","",89,97,90.7,89,95.9,89,35,2020,"25.08.2020"
"Makrell_i_tomatStabburet","","",16.5,17.7,17.3,16.5,17.9,16.5,35,2020,"25.08.2020"
"Leverpostei_6_stk6x22gr","","",25.4,27.9,27.1,25.4,24.9,25.4,35,2020,"25.08.2020"
"Nugatti_Original500_gram","","",27.9,29.9,28.4,27.9,29.9,27.9,35,2020,"25.08.2020"
"Jordbærsyltetøy_Nora400_gr_hjemmelaget","","",27.9,29.9,29.8,27.9,29.9,27.9,35,2020,"25.08.2020"
"Mills_Peanøttsmør350_gram","","",37.9,41.9,40.2,37.9,40.9,37.9,35,2020,"25.08.2020"
"Bringebærsyltetøy_Nora400_gr_hjemmelaget","","",21.3,22.9,22.7,21.3,22.9,21.3,35,2020,"25.08.2020"
"Kaptein_kjeks200_gr","","",18.9,20.9,19.2,18.9,20.5,18.9,35,2020,"25.08.2020"
"Totalsum","","",1040,1148,1076,1040,1144,1040,35,2020,"25.08.2020"
"Bananer1_kg_løsvekt","","Banan",24.9,24.9,25.9,24.9,10,25.6,34,2020,"18.08.2020"
"Agurk1_stk","","Agurk",19.9,21.9,20.9,22.9,22.9,20.5,34,2020,"18.08.2020"
"Isbergsalat1_stk","","Isbergsalat",21.9,19.9,31.9,26.9,33.9,30.8,34,2020,"18.08.2020"
"Blomkål1_stk","","Blomkål",24.9,24.9,19.14,28.9,29.9,29.9,34,2020,"18.08.2020"
"Gudbrandsdalsost_Tine500_gr","","",51.6,56.9,54.1,51.6,55.9,51.6,34,2020,"18.08.2020"
"Kjøttdeig_billigste_type400_gr","","",49.9,49.9,50.8,49.9,49.9,49.9,34,2020,"18.08.2020"
"Lettrømme_Tine3_dl","","",15,15.9,15.3,15,19.9,15,34,2020,"18.08.2020"
"Helmelk_Tine1_liter","","",19.4,20.5,19.4,19.4,12.3,19.4,34,2020,"18.08.2020"
"Lettmelk_Tine1_liter","","",17.9,18.9,17.9,17.9,11.34,17.9,34,2020,"18.08.2020"
"Biola_Blåbær1_liter","","",26.7,28.9,28,26.7,22.74,26.7,34,2020,"18.08.2020"
"Tine_Meierismør1/2_kilo","","",39.9,42.5,42.6,39.9,44.9,39.9,34,2020,"18.08.2020"
"Big_One_Classic_Pizza560_gr","","",49.9,53.9,53.3,49.9,59.9,49.9,34,2020,"18.08.2020"
"Leverpostei100_gr","","",8.9,9.5,9,8.9,9.5,8.9,34,2020,"18.08.2020"
"Jordbærsyltetøy_Nora400_gr_hjemmelaget","","",27.9,29.9,29.8,27.9,29.9,27.9,34,2020,"18.08.2020"
"Amerikansk_gryte188_gram","","",34.9,37.9,38.4,34.9,37.9,34.9,34,2020,"18.08.2020"
"Tomatsuppe_Original91_gr","","",16.9,10,16.9,16.9,18.5,16.9,34,2020,"18.08.2020"
"Bergensk_Fiskesuppe_Toro81_gr","","",18.9,10,18.9,18.9,20.5,18.9,34,2020,"18.08.2020"
"Bali_kyllinggryte91_gr","","",29.8,32.5,31.8,29.8,32.5,29.8,34,2020,"18.08.2020"
"Hvit_saus","Toro38 gram","",10.9,10,10,10.9,11.9,10.9,34,2020,"18.08.2020"
"Nescafé_Gull_refill100_gr","","",29.9,31.9,30.4,29.9,34.9,29.9,34,2020,"18.08.2020"
"Smacks_Honnikorn375_gr","","",26.8,28.7,27.3,26.8,31.5,26.8,34,2020,"18.08.2020"
"Ritz_kjeks200_gram","","",23.4,24.9,24.4,23.4,25.5,23.4,34,2020,"18.08.2020"
"Mariekjeks200_gram","","",11.9,13,12.7,11.9,10,11.9,34,2020,"18.08.2020"
"Maarud_Tortilla","ost185 gram","",39.5,42.9,41.9,39.5,42.9,39.9,34,2020,"18.08.2020"
"Potetgull_Maarud_Salt240_gr_Salt","","",24.9,26.9,19.9,24.9,29.9,24.9,34,2020,"18.08.2020"
"JIF_Kjøkken_Spray500_ml","","",34.9,38.3,36.3,34.9,37.5,34.9,34,2020,"18.08.2020"
"Smågodt1_hg","","",14.9,16.5,14.9,14.9,10,14.9,34,2020,"18.08.2020"
"Smash200_gr","","",44.4,48.9,46.8,44.4,49.9,44.9,34,2020,"18.08.2020"
"Freia_Dronningsjokolade100gr","","",19.9,21.9,20.8,19.9,21.5,19.9,34,2020,"18.08.2020"
"Kvikk_lunsj47gr","","",12.5,13.5,12.7,12.5,13.5,12.5,34,2020,"18.08.2020"
"Firkløver_Freia200_gr","","",39.9,42.9,41.5,39.9,42.9,39.9,34,2020,"18.08.2020"
"Totalsum","","",833,869,864,845,884,849,34,2020,"18.08.2020"
"Vannmelon1_kilo","","Melon",15.3,16.9,14.9,16,10,16.4,33,2020,"11.08.2020"
"Woksaus_Sweet_and_sour120_gr","","",18.4,10,10,18.4,19.9,18.4,33,2020,"11.08.2020"
"Woksaus_Teriyaki120_gram","","",16.4,10,10,16.4,17.9,16.4,33,2020,"11.08.2020"
"Kremost_Krydder125_gram","","",16.9,10,17.2,16.9,10,16.9,33,2020,"11.08.2020"
"Gulost_Synnøve1_kg","","",89,89,92.9,89,105,89,33,2020,"11.08.2020"
"Gilde_original_ovnsbakt_leverpostei190_gr","","",27.9,29.9,28.4,27.9,10,27.9,33,2020,"11.08.2020"
"Gilde_Fersk_leverpostei150_gram","","",18.9,10,20.2,18.9,20.9,18.9,33,2020,"11.08.2020"
"Gullsalami150_gram","","",33.6,42.86,48,33.6,42.86,33.67,33,2020,"11.08.2020"
"Grillpølser_Gilde600_gr","","",36.9,39.2,38.4,36.9,25,36.9,33,2020,"11.08.2020"
"Kjøttdeig_billigste_type400_gr","","",49.9,49.9,50.8,49.9,49.9,49.9,33,2020,"11.08.2020"
"Karbonader_Gilde810_gr","","",63.2,92,63,63.2,89.9,63.24,33,2020,"11.08.2020"
"Fjordland_Havregrøt370_gram","","",19.9,22,21.2,19.9,21.5,19.9,33,2020,"11.08.2020"
"Rislunsj_m/jordbær150_gr","","",10,10,10.9,10,10,10.9,33,2020,"11.08.2020"
"Rislunsj_m/bringebær_&_rips150_gr","","",10,10,10.9,10,10,10.9,33,2020,"11.08.2020"
"Tine_Meierismør1/2_kilo","","",39.9,42.5,42.6,39.9,44.9,39.9,33,2020,"11.08.2020"
"Rødbetsalat","Delikat200 gram","",23.4,14.26,24.9,23.4,14.29,23.4,33,2020,"11.08.2020"
"Gorbys30_gram","","",15.8,10,17.2,15.8,16.9,15.8,33,2020,"11.08.2020"
"Stabbur-Makrell","tomat110 gram","",15.9,17.5,10,16.2,10,16.2,33,2020,"11.08.2020"
"Bringebærsyltetøy_Nora400_gr_hjemmelaget","","",21.3,22.9,22.7,21.3,22.9,21.3,33,2020,"11.08.2020"
"Tomatsuppe_m/makaroni119_gr","","",20.4,21.9,21.8,20.4,21.9,20.4,33,2020,"11.08.2020"
"Meksikansk_tomatsuppePose","","",21.8,23.3,21.9,21.8,23.5,21.8,33,2020,"11.08.2020"
"Brun_saus_med_løk","Toro47 gram","",10.9,10,10,10.9,11.9,10.9,33,2020,"11.08.2020"
"Brun_saus_uten_løk","Toro44 gram","",10.9,10,10,10.9,10,10.9,33,2020,"11.08.2020"
"Kjøttkakesaus_1_pose","Toro45 gram","",14.9,10,10,14.9,10,14.9,33,2020,"11.08.2020"
"Kremet_kyllingsuppe_Toro_RIK20_gram","","",13.4,10,10,13.4,10,13.4,33,2020,"11.08.2020"
"Eggnudler_eget_merke250_gr","","",9.9,10,10,9.9,10,9.9,33,2020,"11.08.2020"
"Tacosaus_Medium","Santa Maria230 gr","",12.9,16.9,10,12.9,10,12.9,33,2020,"11.08.2020"
"Havregryn_lettkokte_Axa1","1 kg","",18.9,20.5,20.2,18.9,20.5,18.9,33,2020,"11.08.2020"
"Mariekjeks200_gram","","",11.9,13,12.7,11.9,10,11.9,33,2020,"11.08.2020"
"Lipton_Iste","fersken50 gram","",9.9,10,10,9.9,10,9.9,33,2020,"11.08.2020"
"Pizza/_bakeark18","","",9.9,10,10.3,10.9,10,9.9,33,2020,"11.08.2020"
"Smash200_gr","","",44.4,48.9,46.8,44.9,49.9,45.9,33,2020,"11.08.2020"
"New_Energy45_gr","","",14.9,15.9,15.6,14.9,10,14.9,33,2020,"11.08.2020"
"FOX_Sitronkaramell2_biter","","",4.9,5.5,6.3,4.9,5.9,4.9,33,2020,"11.08.2020"
"Laban_Seigmenn300_gr","","",46.9,49.9,49.8,46.9,49.9,46.9,33,2020,"11.08.2020"
"Totalsum","","",819,835,830,822,825,824,33,2020,"11.08.2020"
"Blåbær125_gram","","Blåbær",26.9,29.9,19.9,19.8,26.9,27.6,32,2020,"04.08.2020"
"Avocado_Moden2_pk","","",25,32.9,31.9,25,31.9,30.7,32,2020,"04.08.2020"
"Agurk1_stk","","Agurk",19.4,21.9,19.9,19.4,21.9,19.4,32,2020,"04.08.2020"
"Champignon1_kg__","","Sjampinjong",46.8,54.9,53.9,46.8,49.9,49.8,32,2020,"04.08.2020"
"Isbergsalat1_stk","","Isbergsalat",22.8,24.9,23.9,22.8,24.9,23.5,32,2020,"04.08.2020"
"Purreløkkg","","Purre",54.8,59.9,57.9,49.8,57.9,56.5,32,2020,"04.08.2020"
"Gulost_Synnøve1_kg","","",89,89,92.9,89,105,89,32,2020,"04.08.2020"
"Strandaskinke70_gr","","",32.4,34.9,33.7,32.4,33.9,32.4,32,2020,"04.08.2020"
"Kokt_skinke_Gilde110_gr","","",23.1,24.9,24.57,23.2,26.9,23.19,32,2020,"04.08.2020"
"Fenalår_Stranda100_gram","","",49.9,56.5,57.1,49.9,58.9,54.5,32,2020,"04.08.2020"
"Grillpølser_Gilde600_gr","","",36.9,29.9,30.9,34.2,39.9,29.5,32,2020,"04.08.2020"
"Ostegrill","Gilde480 gram","",27.9,30.9,29.6,27.9,43.9,27.9,32,2020,"04.08.2020"
"Tine_Sjokomelk1_lit","","",20.2,21.9,24.9,20.2,24.9,20.2,32,2020,"04.08.2020"
"Tine_Yoghurt_Jordbær_4pk4x150gr","","",17.9,19.7,18.2,17.9,19.9,17.9,32,2020,"04.08.2020"
"Rislunsj_m/jordbær150_gr","","",10.9,12,10.9,10.9,11.9,10.9,32,2020,"04.08.2020"
"Skyr_luftig_bringebær130_gram","","",8,16.9,8.5,8,16.9,8,32,2020,"04.08.2020"
"Melange_margarin500_gram","","",28.9,30.9,30.1,28.9,31.5,28.9,32,2020,"04.08.2020"
"Rødbetsalat","Delikat200 gram","",23.4,19.25,24.9,23.4,26.9,23.4,32,2020,"04.08.2020"
"Mills_Majones330_gr_(2_poser)","","",29.9,35.9,31.9,29.9,35.9,29.9,32,2020,"04.08.2020"
"Italiensk_salat_med_skinke180_gr","","",15.3,15.05,16,15.3,21.9,15.3,32,2020,"04.08.2020"
"Mills_Kaviar185_gr","","",20.9,22,21.9,20.9,24.9,20.9,32,2020,"04.08.2020"
"Egg_billigste_type12_stk","","",21.9,26.6,21.9,21.9,23.9,21.9,32,2020,"04.08.2020"
"Grandiosa_Hj.laget_m/kjøttdeig_1_kgmed_kjøttdeig","","",89,98,90.7,89,97.9,89,32,2020,"04.08.2020"
"Familiens_Fiskegrateng1_kilo","","",58.4,67.5,62.4,58.4,62.9,58.4,32,2020,"04.08.2020"
"Nora_Agurk_Pariser580_gram","","",21.9,25.2,23.4,21.9,31.5,21.9,32,2020,"04.08.2020"
"Hamburgerdressing_Idun470_gr_flaske","","",19.4,21.9,19.7,19.4,22.5,19.4,32,2020,"04.08.2020"
"Rømmedressing","Idun470 gram","",26.4,28.9,26.8,26.4,28.5,26.4,32,2020,"04.08.2020"
"Idun_Sennep490_gr","","",16.9,18.9,17.2,16.9,18.9,16.9,32,2020,"04.08.2020"
"Idun_Ketchup530_gr","","",16,16.5,16.3,16,16.9,16,32,2020,"04.08.2020"
"Polarbrød_Havre16_pk","","",38.9,42.9,44.1,38.9,44.9,38.9,32,2020,"04.08.2020"
"Nescafé_Gull_refill100_gr","","",29.9,33.9,30.4,29.9,34.9,29.9,32,2020,"04.08.2020"
"Piano_Sjokoladepudding1_liter","","",26.9,28.5,28.2,26.9,27.9,26.9,32,2020,"04.08.2020"
"Piano_Vaniljesaus","liten kartong500 ml","",24.4,26.9,28.6,24.4,28.9,24.4,32,2020,"04.08.2020"
