"longitude","latitude"
0.089015728,0
0.089915625,0.000307282
0.090901495,0.000973039
0.110404372,0.001172149
0.091259108,0.00121454
0.110144967,0.001271297
0.11078743,0.001361227
0.11078743,0.001361227
0.11078743,0.001361227
0.111667532,0.001445431
0.112383926,0.00151397
0.113273498,0.001517334
0.109330458,0.001582603
0.113938141,0.00167546
0.091528999,0.001830148
0.11118285,0.001846189
0.108299949,0.002061112
0.111524794,0.002265572
0.136708499,0.002408222
0.107159943,0.002590463
0.136420149,0.002599318
0.115843281,0.002635654
0.136380591,0.002661492
0.132286426,0.002776345
0.130596576,0.002843969
0.130589726,0.002844245
0.12999104,0.002912878
0.091435196,0.002950088
0.129629123,0.003093209
0.116506233,0.003235186
0.1327585,0.003361969
0.105210688,0.003495589
0.135762896,0.003632445
0.112660437,0.003716965
0.128722537,0.003742675
0.091628873,0.003759376
0.132910353,0.003795523
0.104710092,0.003826643
0.104706785,0.003831387
0.098949009,0.003869707
0.099643882,0.003885823
0.092031109,0.003911116
0.135561018,0.00394978
0.096774967,0.004015721
0.096283597,0.004022154
0.095457791,0.004032961
0.093462738,0.004059075
0.100159529,0.004114103
0.13545596,0.004176815
0.13545596,0.004176815
0.104396374,0.004276797
0.11757,0.004286217
0.097677224,0.004304385
0.135376507,0.004348499
0.127789094,0.004411372
0.133157945,0.004502399
0.126229805,0.00460045
0.12607741,0.00461156
0.125230701,0.004673296
0.124184692,0.004779792
0.123851128,0.004813752
0.112974155,0.004822499
0.127750196,0.004965149
0.127750196,0.004965149
0.127750196,0.004965149
0.104075045,0.004990045
0.133702648,0.005057198
0.12152826,0.005111836
0.122691808,0.005130003
0.134185224,0.005149712
0.134282468,0.005168357
0.113118753,0.005170376
0.118526375,0.005247757
0.118526375,0.005247757
0.118526375,0.005247757
0.103699598,0.005267943
0.128378478,0.005278709
0.1349395,0.005292839
0.1349395,0.005292839
0.1349395,0.005292839
0.134974043,0.005406293
0.120926192,0.005413957
0.134983725,0.0054381
0.128637342,0.00552875
0.118900976,0.005555261
0.11909757,0.005643461
0.128832423,0.005717175
0.102272392,0.00577949
0.102130162,0.005830467
0.102130162,0.005830467
0.102130162,0.005830467
0.102130162,0.005830467
0.120471258,0.005888334
0.119802388,0.005959659
0.135150901,0.005987247
0.102403291,0.006029638
0.102448023,0.006061304
0.113993951,0.006269855
0.113993951,0.006269855
0.113993951,0.006269855
0.129439387,0.006303458
0.101791075,0.006312246
0.103053558,0.006489885
0.101308237,0.006819594
0.135676019,0.006863331
0.14336,0.006926581
0.130086593,0.0069286
0.143040363,0.00694744
0.103760481,0.006952823
0.143507135,0.006960225
0.135493369,0.00705039
0.135493369,0.00705039
0.135493369,0.00705039
0.114285683,0.0071345
0.104291519,0.007195059
0.104436962,0.007339727
0.146277326,0.007395576
0.146556374,0.007415762
0.143920634,0.007470265
0.13711777,0.00750189
0.145507828,0.007546973
0.145406753,0.007561581
0.14701551,0.007569305
0.14480006,0.00764925
0.130337737,0.007684912
0.130337737,0.007684912
0.130337737,0.007684912
0.104523214,0.007685585
0.134177613,0.007688276
0.099658468,0.007693659
0.147721123,0.007805276
0.136739786,0.007822852
0.136739786,0.007822852
0.136739786,0.007822852
0.136739786,0.007822852
0.133534111,0.007853131
0.133030267,0.007905494
0.132140255,0.007997988
0.130774913,0.008050956
0.129796451,0.008053365
0.141895419,0.008099403
0.13115797,0.008100076
0.129527473,0.008236455
0.137393022,0.00823706
0.149052099,0.008250377
0.097964728,0.008301939
0.114431127,0.008305303
0.137547336,0.00833491
0.134330667,0.008359133
0.135292116,0.008411618
0.133656275,0.008417081
0.14959462,0.008431804
0.133405554,0.008445914
0.141563943,0.008446607
0.141563943,0.008446607
0.141563943,0.008446607
0.104536743,0.008449972
0.149638456,0.008462231
0.135241693,0.008464472
0.134906784,0.00847513
0.135033032,0.008500552
0.141234826,0.008518349
0.132733791,0.00852318
0.138150503,0.008540541
0.138150503,0.008540541
0.149786572,0.008565033
0.142162705,0.008570114
0.140865391,0.008598886
0.135099547,0.00861346
0.135099547,0.00861346
0.140713166,0.008632072
0.130614756,0.008766896
0.140048337,0.008777003
0.135213323,0.008806609
0.129164017,0.008824064
0.130222312,0.008829339
0.104754909,0.008853697
0.069708108,0.008934442
0.139313797,0.008937134
0.139313797,0.008937134
0.139313797,0.008937134
0.114810227,0.008942113
0.097248504,0.008960684
0.134702394,0.009029728
0.142969332,0.009087185
0.142969332,0.009087185
0.142969332,0.009087185
0.070183336,0.009093914
0.129441594,0.009136978
0.135196935,0.00914049
0.105756101,0.009157164
0.129362082,0.009168313
0.081143177,0.009233872
0.097095163,0.009246905
0.082244996,0.009250021
0.129126345,0.009290952
0.129126345,0.009290952
0.142836497,0.009291281
0.078254645,0.009353388
0.097021037,0.009385269
0.139696009,0.009387287
0.076650928,0.00941974
0.074424028,0.00942766
0.128853994,0.009432632
0.076313102,0.009433716
0.084738379,0.009434429
0.142736792,0.009444482
0.074894182,0.009459958
0.085140826,0.009464197
0.074130604,0.009466687
0.076045367,0.009518559
0.096954226,0.009545252
0.096928867,0.009605972
0.143423437,0.009610709
0.071729096,0.009640961
0.144593183,0.009659701
0.096962445,0.009692342
0.068174187,0.009708922
0.075424772,0.00971522
0.145157529,0.009725024
0.075353344,0.009737855
0.075353344,0.009737855
0.075353344,0.009737855
0.11538412,0.009769481
0.10623505,0.009771304
0.143895435,0.009814832
0.087316948,0.009842272
0.128427853,0.009849977
0.071810274,0.009856282
0.071810274,0.009856282
0.071810274,0.009856282
0.07380082,0.009862337
0.129077486,0.009896459
0.071547291,0.009906747
0.086371024,0.009924861
0.075412401,0.009949589
0.067668517,0.009998931
0.097085303,0.010008351
0.073196214,0.010013062
0.139677406,0.010016426
0.073100289,0.010020356
0.115500542,0.010037601
0.072506204,0.010065546
0.139627228,0.010093457
0.070951142,0.010114666
0.145465362,0.010149602
0.150580592,0.010193392
0.097085303,0.010245877
0.089614743,0.010353442
0.070342309,0.010358247
0.075527183,0.010361127
0.139450785,0.010364303
0.089707895,0.010374167
0.115664014,0.010414095
0.067044463,0.010440338
0.128819603,0.010486705
0.115643719,0.010503568
0.075572355,0.010523101
0.134574116,0.010531647
0.13404471,0.010601592
0.142090752,0.010613267
0.146101533,0.010696656
0.139376372,0.010707469
0.066832217,0.010769374
0.066832217,0.010769374
0.150235586,0.010805036
0.142166857,0.010842717
0.076214166,0.010845409
0.146778759,0.01091711
0.14696814,0.010924741
