Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_type
Canadian_Solar_Inc_:_CSI-40KTL-GS-FLB_[480V],480,62.292904,40000,40735.5625,650,-1.74E-07,-8.29E-06,0.000338,-0.000399,12,780,62.670096,580,780,n/a,Grid Support
Canadian_Solar_Inc_:_CSI-5000TL-CT_[208V],208,25.124512,4610,4784.182129,390,-5.90E-06,-0.000047,-0.000504,-0.000598,1.383,470,12.267134,100,470,10/03/2017,Utility Interactive
Canadian_Solar_Inc_:_CSI-5000TL-CT_[240V],240,23.543545,5000,5160.899902,390,-4.27E-06,-0.000051,-0.000994,-0.001576,1.5,470,13.233077,100,470,10/03/2017,Utility Interactive
Canadian_Solar_Inc_:_CSI-50KTL-CT_[480V],480,95.158882,50000,50835.10938,730,-1.44E-07,-0.000024,-0.003635,-0.001197,15,850,69.637136,480,850,11/01/2018,Utility Interactive
Canadian_Solar_Inc_:_CSI-50KTL-GS_[480V]??,480,70.467972,50000,50800.16406,650,-1.46E-07,-6.70E-06,-0.00007,0.001392,15,720,78.154099,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-50KTL-GS-B_[480V],480,68.548927,50000,50814.92578,650,-1.46E-07,-7.67E-06,0.000498,0.001275,15,720,78.176809,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-50KTL-GS-FL_[480V]?,480,42.721951,50000,50777.91797,650,-8.06E-08,-2.42E-06,0.00449,0.011896,15,720,78.119874,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-50KTL-GS-FLB_[480V],480,44.011581,50000,50786.14453,650,-8.63E-08,-4.99E-06,0.003112,0.008438,15,720,78.13253,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-6000TL-CT_[208V],208,36.710117,5500,5698.249023,380,-3.83E-06,-0.000035,-0.000348,-0.000584,1.65,470,14.995392,100,470,10/03/2017,Utility Interactive
Canadian_Solar_Inc_:_CSI-6000TL-CT_[240V],240,36.088547,6000,6182.440918,380,-2.92E-06,-0.00004,-0.000593,-0.001379,1.8,470,16.269581,100,470,10/03/2017,Utility Interactive
Canadian_Solar_Inc_:_CSI-60KTL-CT_[480V],480,95.238937,60000,61072.82422,730,-1.47E-07,-0.000022,-0.003357,-0.001127,18,850,83.661403,540,850,11/01/2018,Utility Interactive
Canadian_Solar_Inc_:_CSI-60KTL-GS_[480V],480,93.041199,60000,61015.66406,650,-1.39E-07,-0.000021,-0.00232,-0.003523,18,720,93.870252,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-60KTL-GS-B_[480V],480,87.078148,60000,61018.55469,650,-1.32E-07,-0.000016,-0.001001,-0.001535,18,720,93.8747,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-66KTL-GS_[480V],480,97.398148,66000,67081.55469,650,-1.21E-07,-0.000014,-0.000514,-0.000065,19.8,720,103.202392,580,720,11/15/2019,Grid Support
Canadian_Solar_Inc_:_CSI-66KTL-GS-B_[480V],480,95.652641,66000,67082.71094,650,-1.15E-07,-0.000012,-0.000934,-0.000265,19.8,720,103.204171,580,720,11/15/2019,Grid Support
Carlo_Gavazzi:_ISGA_1_22_[240V],240,42.196785,2110,2193.39624,375,-0.000012,-0.000065,0.001026,0.000536,0.633,400,5.849057,100,400,n/a,Utility Interactive
Carlo_Gavazzi:_ISGA_1_33_[240V],240,36.033405,3180,3315.654297,375,-7.98E-06,-0.000075,0.000544,-0.000338,0.954,400,8.841745,100,400,n/a,Utility Interactive
Carlo_Gavazzi:_ISGA_1_42_[240V],240,32.600666,4160,4340.861328,380,-4.67E-06,-0.000062,0.000324,-0.00088,1.248,400,11.423319,100,400,n/a,Utility Interactive
Carlo_Gavazzi:_ISGA_1_53_[240V],240,32.086174,5240,5489.155762,380,-4.41E-06,-0.000074,-0.000083,-0.001604,1.572,400,14.445147,100,400,n/a,Utility Interactive
Chiconypower:_MU300SAP2_[240V],240,2.269616,290,301.426605,31,-0.00004,-0.000037,0.022252,0.041853,0.087,43,9.723439,26,43,n/a,Utility Interactive
Chilicon_Power_-_LLC:_CP-250-60-208/240-MC4_[208V],208,17.93664,220,239.954681,28,-0.000013,0.004103,0.062148,-0.013479,0.066,35,8.56981,24,35,02/01/2019,Utility Interactive
Chilicon_Power_-_LLC:_CP-250-60-208/240-MC4_[240V],240,17.828678,220,239.632507,28,-0.000012,0.004026,0.064446,-0.009701,0.066,35,8.558304,24,35,02/01/2019,Utility Interactive
Chilicon_Power_-_LLC:_CP-250E-60/72-208/240-MC4_[208V],208,2.494593,277,291.337433,30,-0.000123,-0.000737,0.053578,-0.018165,0.0831,32,9.711248,28,32,02/01/2019,Utility Interactive
Chilicon_Power_-_LLC:_CP-250E-60/72-208/240-MC4_[240V],240,2.442754,289,302.901062,30,-0.000113,-0.001,0.04746,-0.02195,0.0867,32,10.096702,28,32,02/01/2019,Utility Interactive
Chilicon_Power_-_LLC:_CP-720-60/72/96-208/240-MC4_[208V],208,5.220022,725,764.555542,65,-0.000055,0.000194,0.027714,0.014085,0.2175,70,11.762393,60,70,04/02/2019,Grid Support
Chilicon_Power_-_LLC:_CP-720-60/72/96-208/240-MC4_[240V],240,5.720626,721,756.143005,65,-0.000054,0.000277,0.024442,0.013015,0.2163,70,11.632969,60,70,04/02/2019,Grid Support
Chint_Power_Systems_America:_CPS_ECB30KTL-O/US_[480V],480,98.20517,30260,31103.45117,660,-2.66E-07,-0.000034,-0.000151,0.001375,9.078,800,47.126441,450,800,n/a,Grid Support
Chint_Power_Systems_America:_CPS_SC100KT-O/xx-480_[480V],480,611.162781,100000,104271.3359,430,-2.25E-07,0.000031,0.002025,0.000774,30,500,242.491479,330,500,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SC14KTL-DO/xx-208_[208V],208,38.139545,14000,14675.09082,385,-1.37E-06,-0.00003,0.001392,-0.000424,4.2,540,38.117119,300,540,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SC20KTL-DO/xx-480_[480V],480,65.55838,20000,20657.53125,480,-6.40E-07,-0.000063,-0.000734,-0.004243,6,550,43.036523,300,550,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA23KTL-DO/US-480_[480V],480,56.784576,23000,23426.1582,720,-3.22E-07,-0.000035,0.000128,0.000391,6.9,800,32.536331,480,800,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA28KTL-DO/US-480_[480V],480,55.858963,28000,28571.38672,725,-3.57E-07,-0.000034,-0.00027,0.000098,8.4,800,39.408809,500,800,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA36KTL-DO/US_[480V],480,80.093216,36000,36701.73438,730,-2.33E-07,-0.000039,-0.002727,-0.001194,10.8,800,50.276348,540,800,10/15/2018,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA3KTL-O/US_[208V],208,20.485386,2860,2969.612305,390,-8.05E-06,-0.000044,-0.000663,-0.000688,0.858,470,7.614391,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA3KTL-O/US_[240V],240,19.058781,3000,3096.936768,390,-6.15E-06,-0.000043,-0.000797,-0.00077,0.9,470,7.940864,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA4KTL-O/US_[208V],208,26.324465,3810,3947.896729,390,-6.04E-06,-0.000044,-0.000679,-0.001016,1.143,470,10.122812,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA4KTL-O/US_[240V],240,25.989321,4020,4141.662598,390,-4.54E-06,-0.000043,-0.000336,-0.00073,1.206,470,10.619648,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA50KTL-DO/US-480_[480V],480,96.110573,50000,50831.48828,730,-1.44E-07,-0.000024,-0.003613,-0.001289,15,850,69.632176,480,850,10/15/2018,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA5KTL-O_US_[208V],208,25.124512,4610,4784.182129,390,-5.90E-06,-0.000047,-0.000504,-0.000598,1.383,470,12.267134,100,470,n/a,Utility Interactive
