"Klokkeslaet","Haelding_30_oest","Haelding_30_vest","Haelding_30_syd","Haeldning_15_syd","Haeldning_15_vest","Haeldning_0","Haeldning_15_oest","Haelding_30_oestvest","Haelding_15_oestvest"
"2020-01-01 00:00",0,0,0,0,0,0,0,0,0
"2020-01-01 01:00",0,0,0,0,0,0,0,0,0
"2020-01-01 02:00",0,0,0,0,0,0,0,0,0
"2020-01-01 03:00",0,0,0,0,0,0,0,0,0
"2020-01-01 04:00",0,0,0,0,0,0,0,0,0
"2020-01-01 05:00",0,0,0,0,0,0,0,0,0
"2020-01-01 06:00",0,0,0,0,0,0,0,0,0
"2020-01-01 07:00",0,0,0,0,0,0,0,0,0
"2020-01-01 08:00",0.0001443,0.0001443,0.000179,0.00015,0.0001504,0.0001525,0.0001504,0.0002886,0.0003008
"2020-01-01 09:00",0.00598,0.00598,0.019146,0.006232,0.0062324,0.0063186,0.0062324,0.01196,0.0124648
"2020-01-01 10:00",0.0133725,0.0133725,0.046075,0.013937,0.0139371,0.0141297,0.0139371,0.026745,0.0278742
"2020-01-01 11:00",0.0193243,0.0193243,0.064973,0.02014,0.0201403,0.0204186,0.0201403,0.0386486,0.0402806
"2020-01-01 12:00",0.0221179,0.0221179,0.076959,0.023052,0.0230518,0.0233703,0.0230518,0.0442358,0.0461036
"2020-01-01 13:00",0.0175233,0.0175233,0.060745,0.018263,0.0182632,0.0185155,0.0182632,0.0350466,0.0365264
"2020-01-01 14:00",0.0097875,0.0097875,0.033537,0.010201,0.0102008,0.0103417,0.0102008,0.019575,0.0204016
"2020-01-01 15:00",0.0010706,0.0010706,0.001114,0.001116,0.0011158,0.0011312,0.0011158,0.0021412,0.0022316
"2020-01-01 16:00",0,0,0,0,0,0,0,0,0
"2020-01-01 17:00",0,0,0,0,0,0,0,0,0
"2020-01-01 18:00",0,0,0,0,0,0,0,0,0
"2020-01-01 19:00",0,0,0,0,0,0,0,0,0
"2020-01-01 20:00",0,0,0,0,0,0,0,0,0
"2020-01-01 21:00",0,0,0,0,0,0,0,0,0
"2020-01-01 22:00",0,0,0,0,0,0,0,0,0
"2020-01-01 23:00",0,0,0,0,0,0,0,0,0
"2020-01-02 00:00",0,0,0,0,0,0,0,0,0
"2020-01-02 01:00",0,0,0,0,0,0,0,0,0
"2020-01-02 02:00",0,0,0,0,0,0,0,0,0
"2020-01-02 03:00",0,0,0,0,0,0,0,0,0
"2020-01-02 04:00",0,0,0,0,0,0,0,0,0
"2020-01-02 05:00",0,0,0,0,0,0,0,0,0
"2020-01-02 06:00",0,0,0,0,0,0,0,0,0
"2020-01-02 07:00",0,0,0,0,0,0,0,0,0
"2020-01-02 08:00",0.0001505,0.0001505,0.000172,0.000157,0.0001568,0.000159,0.0001568,0.000301,0.0003136
"2020-01-02 09:00",0.0158725,0.0158725,0.015269,0.016543,0.0165427,0.0167713,0.0165427,0.031745,0.0330854
"2020-01-02 10:00",0.0393645,0.0363994,0.038657,0.041297,0.0382366,0.0397494,0.0401341,0.0757639,0.0783707
"2020-01-02 11:00",0.0532303,0.0512992,0.053199,0.057296,0.0540795,0.0553687,0.0550791,0.1045295,0.1091586
"2020-01-02 12:00",0.0563234,0.057073,0.057218,0.062267,0.0594111,0.0600762,0.0590231,0.1133964,0.1184342
"2020-01-02 13:00",0.0437352,0.0465798,0.045665,0.049477,0.0478816,0.0478201,0.0463995,0.090315,0.0942811
"2020-01-02 14:00",0.0239154,0.0259651,0.025086,0.02682,0.02631,0.0258992,0.0249184,0.0498805,0.0512284
"2020-01-02 15:00",0.0011636,0.0011636,0.001119,0.001213,0.0012127,0.0012295,0.0012127,0.0023272,0.0024254
"2020-01-02 16:00",0,0,0,0,0,0,0,0,0
"2020-01-02 17:00",0,0,0,0,0,0,0,0,0
"2020-01-02 18:00",0,0,0,0,0,0,0,0,0
"2020-01-02 19:00",0,0,0,0,0,0,0,0,0
"2020-01-02 20:00",0,0,0,0,0,0,0,0,0
"2020-01-02 21:00",0,0,0,0,0,0,0,0,0
"2020-01-02 22:00",0,0,0,0,0,0,0,0,0
"2020-01-02 23:00",0,0,0,0,0,0,0,0,0
"2020-01-03 00:00",0,0,0,0,0,0,0,0,0
"2020-01-03 01:00",0,0,0,0,0,0,0,0,0
"2020-01-03 02:00",0,0,0,0,0,0,0,0,0
"2020-01-03 03:00",0,0,0,0,0,0,0,0,0
"2020-01-03 04:00",0,0,0,0,0,0,0,0,0
"2020-01-03 05:00",0,0,0,0,0,0,0,0,0
"2020-01-03 06:00",0,0,0,0,0,0,0,0,0
"2020-01-03 07:00",0,0,0,0,0,0,0,0,0
"2020-01-03 08:00",0.0001727,0.0001727,0.000178,0.00018,0.00018,0.0001825,0.00018,0.0003454,0.00036
"2020-01-03 09:00",0.043902,0.043902,0.014929,0.045756,0.0457556,0.0463879,0.0457556,0.087804,0.0915112
"2020-01-03 10:00",0.1839457,0.0408775,0.036352,0.204161,0.0572164,0.1054689,0.1486939,0.2248232,0.2059103
"2020-01-03 11:00",0.190985,0.0860798,0.051008,0.296144,0.1230635,0.1541996,0.1773664,0.2770648,0.3004299
"2020-01-03 12:00",0.130314,0.1684225,0.054064,0.321885,0.1721286,0.1666645,0.1524023,0.2987365,0.3245309
"2020-01-03 13:00",0.0432683,0.1961548,0.044012,0.254798,0.1690549,0.1328547,0.0900212,0.2394231,0.2590761
"2020-01-03 14:00",0.0388928,0.1020717,0.023736,0.099112,0.0833718,0.0607952,0.040324,0.1409645,0.1236958
"2020-01-03 15:00",0.0012579,0.0012579,0.001198,0.001311,0.001311,0.0013292,0.001311,0.0025158,0.002622
"2020-01-03 16:00",0,0,0,0,0,0,0,0,0
"2020-01-03 17:00",0,0,0,0,0,0,0,0,0
"2020-01-03 18:00",0,0,0,0,0,0,0,0,0
"2020-01-03 19:00",0,0,0,0,0,0,0,0,0
"2020-01-03 20:00",0,0,0,0,0,0,0,0,0
"2020-01-03 21:00",0,0,0,0,0,0,0,0,0
"2020-01-03 22:00",0,0,0,0,0,0,0,0,0
"2020-01-03 23:00",0,0,0,0,0,0,0,0,0
"2020-01-04 00:00",0,0,0,0,0,0,0,0,0
"2020-01-04 01:00",0,0,0,0,0,0,0,0,0
"2020-01-04 02:00",0,0,0,0,0,0,0,0,0
"2020-01-04 03:00",0,0,0,0,0,0,0,0,0
"2020-01-04 04:00",0,0,0,0,0,0,0,0,0
"2020-01-04 05:00",0,0,0,0,0,0,0,0,0
"2020-01-04 06:00",0,0,0,0,0,0,0,0,0
"2020-01-04 07:00",0,0,0,0,0,0,0,0,0
"2020-01-04 08:00",0.0001584,0.0001584,0.000208,0.000165,0.0001651,0.0001673,0.0001651,0.0003168,0.0003302
"2020-01-04 09:00",0.0451754,0.0451754,0.026062,0.047083,0.0470829,0.0477335,0.0470829,0.0903508,0.0941658
"2020-01-04 10:00",0.0625518,0.0534373,0.062203,0.065948,0.0566351,0.0604381,0.0624561,0.1159891,0.1190912
"2020-01-04 11:00",0.0619423,0.0590757,0.101625,0.067166,0.0624808,0.0641484,0.0639647,0.121018,0.1264455
"2020-01-04 12:00",0.1214769,0.1488377,0.087996,0.263803,0.1528612,0.1494027,0.1386982,0.2703146,0.2915594
"2020-01-04 13:00",0.0586635,0.0651804,0.069085,0.070093,0.0664399,0.0657298,0.0630985,0.1238439,0.1295384
"2020-01-04 14:00",0.0284147,0.2088889,0.02934,0.197433,0.1524264,0.0871654,0.0290026,0.2373036,0.181429
"2020-01-04 15:00",0.0175131,0.0175131,0.001145,0.018253,0.0182525,0.0185047,0.0182525,0.0350262,0.036505
"2020-01-04 16:00",0,0,0,0,0,0,0,0,0
"2020-01-04 17:00",0,0,0,0,0,0,0,0,0
"2020-01-04 18:00",0,0,0,0,0,0,0,0,0
"2020-01-04 19:00",0,0,0,0,0,0,0,0,0
"2020-01-04 20:00",0,0,0,0,0,0,0,0,0
"2020-01-04 21:00",0,0,0,0,0,0,0,0,0
"2020-01-04 22:00",0,0,0,0,0,0,0,0,0
"2020-01-04 23:00",0,0,0,0,0,0,0,0,0
"2020-01-05 00:00",0,0,0,0,0,0,0,0,0
"2020-01-05 01:00",0,0,0,0,0,0,0,0,0
"2020-01-05 02:00",0,0,0,0,0,0,0,0,0
"2020-01-05 03:00",0,0,0,0,0,0,0,0,0
"2020-01-05 04:00",0,0,0,0,0,0,0,0,0
"2020-01-05 05:00",0,0,0,0,0,0,0,0,0
"2020-01-05 06:00",0,0,0,0,0,0,0,0,0
"2020-01-05 07:00",0,0,0,0,0,0,0,0,0
"2020-01-05 08:00",0.0001947,0.0001947,0.000189,0.000203,0.000203,0.0002058,0.000203,0.0003894,0.000406
"2020-01-05 09:00",0.0287107,0.0287107,0.043427,0.029923,0.0299229,0.0303364,0.0299229,0.0574214,0.0598458
"2020-01-05 10:00",0.0854962,0.0528961,0.213187,0.091674,0.0585447,0.070142,0.0793346,0.1383923,0.1378793
"2020-01-05 11:00",0.06296,0.0600002,0.268517,0.068266,0.0634736,0.0651809,0.0650057,0.1229602,0.1284793
"2020-01-05 12:00",0.0579085,0.0585964,0.34874,0.063898,0.0610186,0.0617233,0.0606625,0.1165049,0.1216811
"2020-01-05 13:00",0.0539927,0.0589202,0.245377,0.063051,0.0602914,0.0599046,0.0577862,0.1129129,0.1180776
