"Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","kommune","kommunenummer"
"HEDMARK","0418","NORD-ODAL",34,"INNLANDET",3414,"NORD-ODAL","Østre Østland DVH","Østre Østland","nord-odal",3414
"HEDMARK","0419","SØR-ODAL",34,"INNLANDET",3415,"SØR-ODAL","Østre Østland DVH","Østre Østland","sør-odal",3415
"HEDMARK","0420","EIDSKOG",34,"INNLANDET",3416,"EIDSKOG","Østre Østland DVH","Østre Østland","eidskog",3416
"HEDMARK","0423","GRUE",34,"INNLANDET",3417,"GRUE","Østre Østland DVH","Østre Østland","grue",3417
"HEDMARK","0425","ÅSNES",34,"INNLANDET",3418,"ÅSNES","Østre Østland DVH","Østre Østland","åsnes",3418
"HEDMARK","0426","VÅLER (HEDM.)",34,"INNLANDET",3419,"VÅLER (INNLANDET)","Østre Østland DVH","Østre Østland","våler (innlandet)",3419
"HEDMARK","0427","ELVERUM",34,"INNLANDET",3420,"ELVERUM","Østre Østland DVH","Østre Østland","elverum",3420
"HEDMARK","0428","TRYSIL",34,"INNLANDET",3421,"TRYSIL","Østre Østland DVH","Østre Østland","trysil",3421
"HEDMARK","0429","ÅMOT",34,"INNLANDET",3422,"ÅMOT","Østre Østland DVH","Østre Østland","åmot",3422
"HEDMARK","0430","STOR-ELVDAL",34,"INNLANDET",3423,"STOR-ELVDAL","Østre Østland DVH","Østre Østland","stor-elvdal",3423
"HEDMARK","0432","RENDALEN",34,"INNLANDET",3424,"RENDALEN","Østre Østland DVH","Østre Østland","rendalen",3424
"HEDMARK","0434","ENGERDAL",34,"INNLANDET",3425,"ENGERDAL","Østre Østland DVH","Østre Østland","engerdal",3425
"HEDMARK","0436","TOLGA",34,"INNLANDET",3426,"TOLGA","Østre Østland DVH","Østre Østland","tolga",3426
"HEDMARK","0437","TYNSET",34,"INNLANDET",3427,"TYNSET","Østre Østland DVH","Østre Østland","tynset",3427
"HEDMARK","0438","ALVDAL",34,"INNLANDET",3428,"ALVDAL","Østre Østland DVH","Østre Østland","alvdal",3428
"HEDMARK","0439","FOLLDAL",34,"INNLANDET",3429,"FOLLDAL","Østre Østland DVH","Østre Østland","folldal",3429
"HEDMARK","0441","OS (HEDM.)",34,"INNLANDET",3430,"OS (INNLANDET)","Østre Østland DVH","Østre Østland","os (innlandet)",3430
"OPPLAND","0501","LILLEHAMMER",34,"INNLANDET",3405,"LILLEHAMMER","Østre Østland DVH","Østre Østland","lillehammer",3405
"OPPLAND","0502","GJØVIK",34,"INNLANDET",3407,"GJØVIK","Østre Østland DVH","Østre Østland","gjøvik",3407
"OPPLAND","0511","DOVRE",34,"INNLANDET",3431,"DOVRE","Østre Østland DVH","Østre Østland","dovre",3431
"OPPLAND","0512","LESJA",34,"INNLANDET",3432,"LESJA","Østre Østland DVH","Østre Østland","lesja",3432
"OPPLAND","0513","SKJÅK",34,"INNLANDET",3433,"SKJÅK","Østre Østland DVH","Østre Østland","skjåk",3433
"OPPLAND","0514","LOM",34,"INNLANDET",3434,"LOM","Østre Østland DVH","Østre Østland","lom",3434
"OPPLAND","0515","VÅGÅ",34,"INNLANDET",3435,"VÅGÅ","Østre Østland DVH","Østre Østland","vågå",3435
"OPPLAND","0516","NORD-FRON",34,"INNLANDET",3436,"NORD-FRON","Østre Østland DVH","Østre Østland","nord-fron",3436
"OPPLAND","0517","SEL",34,"INNLANDET",3437,"SEL","Østre Østland DVH","Østre Østland","sel",3437
"OPPLAND","0519","SØR-FRON",34,"INNLANDET",3438,"SØR-FRON","Østre Østland DVH","Østre Østland","sør-fron",3438
"OPPLAND","0520","RINGEBU",34,"INNLANDET",3439,"RINGEBU","Østre Østland DVH","Østre Østland","ringebu",3439
"OPPLAND","0521","ØYER",34,"INNLANDET",3440,"ØYER","Østre Østland DVH","Østre Østland","øyer",3440
"OPPLAND","0522","GAUSDAL",34,"INNLANDET",3441,"GAUSDAL","Østre Østland DVH","Østre Østland","gausdal",3441
"OPPLAND","0528","ØSTRE TOTEN",34,"INNLANDET",3442,"ØSTRE TOTEN","Østre Østland DVH","Østre Østland","østre toten",3442
"OPPLAND","0529","VESTRE TOTEN",34,"INNLANDET",3443,"VESTRE TOTEN","Østre Østland DVH","Østre Østland","vestre toten",3443
"OPPLAND","0532","JEVNAKER",30,"VIKEN",3053,"JEVNAKER","Østre Østland DVH","Østre Østland","jevnaker",3053
"OPPLAND","0533","LUNNER",30,"VIKEN",3054,"LUNNER","Østre Østland DVH","Østre Østland","lunner",3054
"OPPLAND","0534","GRAN",34,"INNLANDET",3446,"GRAN","Østre Østland DVH","Østre Østland","gran",3446
"OPPLAND","0536","SØNDRE LAND",34,"INNLANDET",3447,"SØNDRE LAND","Østre Østland DVH","Østre Østland","søndre land",3447
"OPPLAND","0538","NORDRE LAND",34,"INNLANDET",3448,"NORDRE LAND","Østre Østland DVH","Østre Østland","nordre land",3448
"OPPLAND","0540","SØR-AURDAL",34,"INNLANDET",3449,"SØR-AURDAL","Østre Østland DVH","Østre Østland","sør-aurdal",3449
"OPPLAND","0541","ETNEDAL",34,"INNLANDET",3450,"ETNEDAL","Østre Østland DVH","Østre Østland","etnedal",3450
"OPPLAND","0542","NORD-AURDAL",34,"INNLANDET",3451,"NORD-AURDAL","Østre Østland DVH","Østre Østland","nord-aurdal",3451
"OPPLAND","0543","VESTRE SLIDRE",34,"INNLANDET",3452,"VESTRE SLIDRE","Østre Østland DVH","Østre Østland","vestre slidre",3452
"OPPLAND","0544","ØYSTRE SLIDRE",34,"INNLANDET",3453,"ØYSTRE SLIDRE","Østre Østland DVH","Østre Østland","øystre slidre",3453
"OPPLAND","0545","VANG",34,"INNLANDET",3454,"VANG","Østre Østland DVH","Østre Østland","vang",3454
"BUSKERUD","0602","DRAMMEN",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen",3005
"BUSKERUD","0604","KONGSBERG",30,"VIKEN",3006,"KONGSBERG","Vestre Østland DVH","Vestre Østland","kongsberg",3006
"BUSKERUD","0605","RINGERIKE",30,"VIKEN",3007,"RINGERIKE","Vestre Østland DVH","Vestre Østland","ringerike",3007
"BUSKERUD","0612","HOLE",30,"VIKEN",3038,"HOLE","Vestre Østland DVH","Vestre Østland","hole",3038
"BUSKERUD","0615","FLÅ",30,"VIKEN",3039,"FLÅ","Vestre Østland DVH","Vestre Østland","flå",3039
"BUSKERUD","0616","NES (BUSK.)",30,"VIKEN",3040,"NESBYEN","Vestre Østland DVH","Vestre Østland","nesbyen",3040
"BUSKERUD","0617","GOL",30,"VIKEN",3041,"GOL","Vestre Østland DVH","Vestre Østland","gol",3041
"BUSKERUD","0618","HEMSEDAL",30,"VIKEN",3042,"HEMSEDAL","Vestre Østland DVH","Vestre Østland","hemsedal",3042
"BUSKERUD","0619","ÅL",30,"VIKEN",3043,"ÅL","Vestre Østland DVH","Vestre Østland","ål",3043
"BUSKERUD","0620","HOL",30,"VIKEN",3044,"HOL","Vestre Østland DVH","Vestre Østland","hol",3044
"BUSKERUD","0621","SIGDAL",30,"VIKEN",3045,"SIGDAL","Vestre Østland DVH","Vestre Østland","sigdal",3045
"BUSKERUD","0622","KRØDSHERAD",30,"VIKEN",3046,"KRØDSHERAD","Vestre Østland DVH","Vestre Østland","krødsherad",3046
"BUSKERUD","0623","MODUM",30,"VIKEN",3047,"MODUM","Vestre Østland DVH","Vestre Østland","modum",3047
"BUSKERUD","0624","ØVRE EIKER",30,"VIKEN",3048,"ØVRE EIKER","Vestre Østland DVH","Vestre Østland","øvre eiker",3048
"BUSKERUD","0625","NEDRE EIKER",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen",3005
"BUSKERUD","0626","LIER",30,"VIKEN",3049,"LIER","Vestre Østland DVH","Vestre Østland","lier",3049
"BUSKERUD","0627","RØYKEN",30,"VIKEN",3025,"ASKER","Vestre Østland DVH","Vestre Østland","asker",3025
"BUSKERUD","0628","HURUM",30,"VIKEN",3025,"ASKER","Vestre Østland DVH","Vestre Østland","asker",3025
"BUSKERUD","0631","FLESBERG",30,"VIKEN",3050,"FLESBERG","Vestre Østland DVH","Vestre Østland","flesberg",3050
"BUSKERUD","0632","ROLLAG",30,"VIKEN",3051,"ROLLAG","Vestre Østland DVH","Vestre Østland","rollag",3051
"BUSKERUD","0633","NORE OG UVDAL",30,"VIKEN",3052,"NORE OG UVDAL","Vestre Østland DVH","Vestre Østland","nore og uvdal",3052
"VESTFOLD","0701","HORTEN",38,"VESTFOLD OG TELEMARK",3801,"HORTEN","Vestre Østland DVH","Vestre Østland","horten",3801
"VESTFOLD","0704","TØNSBERG",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland DVH","Vestre Østland","tønsberg",3803
"VESTFOLD","0710","SANDEFJORD",38,"VESTFOLD OG TELEMARK",3804,"SANDEFJORD","Vestre Østland DVH","Vestre Østland","sandefjord",3804
"VESTFOLD","0711","SVELVIK",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen",3005
"VESTFOLD","0712","LARVIK",38,"VESTFOLD OG TELEMARK",3805,"LARVIK","Vestre Østland DVH","Vestre Østland","larvik",3805
"VESTFOLD","0713","SANDE (VESTF.)",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland DVH","Vestre Østland","holmestrand",3802
"VESTFOLD","0715","HOLMESTRAND",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland DVH","Vestre Østland","holmestrand",3802
"VESTFOLD","0716","RE",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland DVH","Vestre Østland","tønsberg",3803
"VESTFOLD","0729","FÆRDER",38,"VESTFOLD OG TELEMARK",3811,"FÆRDER","Vestre Østland DVH","Vestre Østland","færder",3811
"TELEMARK","0805","PORSGRUNN",38,"VESTFOLD OG TELEMARK",3806,"PORSGRUNN","Vestre Østland DVH","Vestre Østland","porsgrunn",3806
"TELEMARK","0806","SKIEN",38,"VESTFOLD OG TELEMARK",3807,"SKIEN","Vestre Østland DVH","Vestre Østland","skien",3807
"TELEMARK","0807","NOTODDEN",38,"VESTFOLD OG TELEMARK",3808,"NOTODDEN","Vestre Østland DVH","Vestre Østland","notodden",3808
"TELEMARK","0811","SILJAN",38,"VESTFOLD OG TELEMARK",3812,"SILJAN","Vestre Østland DVH","Vestre Østland","siljan",3812
"TELEMARK","0814","BAMBLE",38,"VESTFOLD OG TELEMARK",3813,"BAMBLE","Vestre Østland DVH","Vestre Østland","bamble",3813
"TELEMARK","0815","KRAGERØ",38,"VESTFOLD OG TELEMARK",3814,"KRAGERØ","Vestre Østland DVH","Vestre Østland","kragerø",3814
"TELEMARK","0817","DRANGEDAL",38,"VESTFOLD OG TELEMARK",3815,"DRANGEDAL","Vestre Østland DVH","Vestre Østland","drangedal",3815
"TELEMARK","0819","NOME",38,"VESTFOLD OG TELEMARK",3816,"NOME","Vestre Østland DVH","Vestre Østland","nome",3816
"TELEMARK","0821","BØ (TELEM.)",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland DVH","Vestre Østland","midt-telemark",3817
"TELEMARK","0822","SAUHERAD",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland DVH","Vestre Østland","midt-telemark",3817
"TELEMARK","0826","TINN",38,"VESTFOLD OG TELEMARK",3818,"TINN","Vestre Østland DVH","Vestre Østland","tinn",3818
"TELEMARK","0827","HJARTDAL",38,"VESTFOLD OG TELEMARK",3819,"HJARTDAL","Vestre Østland DVH","Vestre Østland","hjartdal",3819
"TELEMARK","0828","SELJORD",38,"VESTFOLD OG TELEMARK",3820,"SELJORD","Vestre Østland DVH","Vestre Østland","seljord",3820
"TELEMARK","0829","KVITESEID",38,"VESTFOLD OG TELEMARK",3821,"KVITESEID","Vestre Østland DVH","Vestre Østland","kviteseid",3821
"TELEMARK","0830","NISSEDAL",38,"VESTFOLD OG TELEMARK",3822,"NISSEDAL","Vestre Østland DVH","Vestre Østland","nissedal",3822
"TELEMARK","0831","FYRESDAL",38,"VESTFOLD OG TELEMARK",3823,"FYRESDAL","Vestre Østland DVH","Vestre Østland","fyresdal",3823
"TELEMARK","0833","TOKKE",38,"VESTFOLD OG TELEMARK",3824,"TOKKE","Vestre Østland DVH","Vestre Østland","tokke",3824
"TELEMARK","0834","VINJE",38,"VESTFOLD OG TELEMARK",3825,"VINJE","Vestre Østland DVH","Vestre Østland","vinje",3825
"AUST-AGDER","0901","RISØR",42,"AGDER",4201,"RISØR","Vest Norge DVH","Vestre Østland","risør",4201
"AUST-AGDER","0904","GRIMSTAD",42,"AGDER",4202,"GRIMSTAD","Vest Norge DVH","Vestre Østland","grimstad",4202
"AUST-AGDER","0906","ARENDAL",42,"AGDER",4203,"ARENDAL","Vest Norge DVH","Vestre Østland","arendal",4203
"AUST-AGDER","0911","GJERSTAD",42,"AGDER",4211,"GJERSTAD","Vest Norge DVH","Vestre Østland","gjerstad",4211
"AUST-AGDER","0912","VEGÅRSHEI",42,"AGDER",4212,"VEGÅRSHEI","Vest Norge DVH","Vestre Østland","vegårshei",4212
