"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Coca Cola 4 plastflasker4x1","","","",180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Coca Cola plastflaske5 dl","","",500,180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Coca Cola1","","","",180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Corona1 stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Daim Dobbel Freia56 gr","",56,"",2215,530,31,16,"","","59,5",59,"","","1,2","2,8","0,9","","","","","","","","",""
"Daim Strøssel Freia100 gr","",100,"",2210,530,31,16,"","","59,5","58,5","","","1,2","2,8","0,9","","","","","","","","",""
"Dansk Salami","","","",1991,476,46,16,21,6,1,0,"","","",16,4,"","","","","","","","",""
"Delikat rekesalat200 gram","",200,"",1650,400,40,3,26,10,5,3,"","","",5,"1,3","","","","","","","","",""
"Dent Chrush","Dent Crush","","",825,200,"0,1",0,"","",60,"0,2",59,"",24,1,"1,2","","","","","","","","",""
"Dobbeldusch Sport250 ml","",250,"","","","","","","","","","","","","","","","","","","","","","",""
"Dolmio Classico500 gr","",500,"",185,44,"0,6","0,1","","","7,6","5,8","","","1,3","1,3","0,8","","","","","","","","",""
"Dolmio Intens hvitløk500 gr","",500,"",176,42,"0,2",0,"","","7,4","6,7","","","","1,7","0,7","","","","","","","","",""
"Druer1 beger røde","","","",262,62,"0,2",0,0,0,"13,8","","",0,"","0,7",0,"","","","","","","","",""
"Edamer850 gram","",850,"",590,141,"5,9","0,8","","","11,4","6,4","","",5,"10,4",1,"","","","","","","","",""
"Egg billigste type12 stk","","","",620,149,"10,6",3,"","","0,3","0,3","","","",13,"0,4","","","","","","","","",""
"Eggnudler eget merke250 gr","",250,"",1656,392,"3,5","1,2","","","70,8",1,"","69,8","9,8","14,4","1,9","","","","","","","","",""
"Ekte kokt skinke","","","",438,105,"2,9",1,"","","0,7","0,7","","","","18,9","1,8","","","","","","","","",""
"Ekte Remulade","","","",2430,590,62,4,38,17,7,6,"","",0,1,"0,8","","","","","","","","",""
"Enchilada the kit657 gram","",657,"",768,182,"2,9","0,4","","","31,8","5,5","","","2,6","5,6",1,"","","","","","","","",""
"Ertestuing 5 minutter Toro164 gr","",164,"",486,115,"0,7","0,1","","","18,7","1,7","","","1,5","7,7","0,7","","","","","","","","",""
"Familiens Fiskegrateng1 kilo","",1000,"",620,150,6,"0,6","","",15,2,"","",1,9,"0,8","","","","","","","","",""
"Fanta Appelsin1","","","",184,43,0,0,"","","10,6","10,6","","",0,0,0,"","","","","","","","",""
"Farris naturell1","","","",0,0,0,0,"","",0,0,"","","",0,0,"","","","","","","","",""
"Farris Sitron1","","","",0,0,0,0,"","",0,0,"","","",0,0,"","","","","","","","",""
"Favoritt Salami","","","",1775,420,37,15,17,"4,9","2,7","2,7","","","",19,"4,8","","","","","","","","",""
"Fenalår Stranda100 gram","",100,"",960,229,13,6,6,"0,5",0,0,"","","",28,"8,5","","","","","","","","",""
"Ferskgjær original50 gram","",50,"",452,108,"1,7","0,3","","",6,"4,4","","",0,13,"0,1","","","","","","","","",""
"Firkløver Freia200 gr","",200,"",2365,565,"36,5",18,"","","48,5","47,5","","","3,2","9,1","0,2","","","","","","","","",""
