"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_20192","Kategorie"
"Ananas","1,3",43509,39551,"-9,1","Bløtfrukter","Enhed","Ananas",0,5183,5183,0,5384,5384,0.039,-0.019,1,"FRUKT","Ananas",5347896,1.01,"Frukt og bær"
"Eple","82,4",1143086,1112024,"-2,7","Kjernefrukter","Enhed","Eple",7375,43740,51115,8144,44656,52800,0.033,-0.013,9.9,"FRUKT","Epler",5347896,9.87,"Frukt og bær"
"Pære","17,6",271437,238117,"-12,3","Kjernefrukter","Enhed","Pære",454,17141,17595,325,15774,16099,-0.085,-0.031,3,"FRUKT","Pærer",5347896,3.01,"Frukt og bær"
"Appelsin","35,7",515101,535143,"3,9","Sitrusfrukter","Enhed","Appelsin",0,32506,32506,0,31925,31925,-0.018,-0.019,6,"FRUKT","Appelsiner",5347896,5.97,"Frukt og bær"
"Grapefrukt","1,4",19833,21369,"7,7","Sitrusfrukter","Enhed","Grapefrukt",0,1515,1515,0,1499,1499,-0.011,0.013,0.3,"FRUKT","Grapefrukt",5347896,0.28,"Frukt og bær"
"Poteter","100,0",1429361,"kr 1 429 596.00","0,0","Poteter","Kategori","POTETER",2018,2018,2018,2019,2019,2019,0,0,0,"POTETER","POTETER ***",5347896,0.38,"Grønnsaker og poteter"
"Jordbær","46,7",748131,796512,"6,5","Bær","Enhed","Jordbær",4707,10347,15054,5961,9116,15077,0.001,0.051,2.8,"BÆR","Jordbær",5347896,2.82,"Frukt og bær"
"Blåbær","32,7",509911,556863,"9,2","Bær","Enhed","Blåbær",0,4600,4600,0,4717,4717,0.025,0.191,0.9,"BÆR","Blåbær og andre bær *",5347896,0.88,"Frukt og bær"
"Bringebær","17,0",261825,289364,"10,5","Bær","Enhed","Bringebær",850,1289,2139,1232,1579,2811,0.314,0.124,0.5,"BÆR","Bringebær",5347896,0.53,"Frukt og bær"
"Morell","23,4",203374,174424,"-14,2","Steinfrukter","Enhed","Morell",449,2020,2469,433,1705,2138,-0.134,0.058,0.4,"FRUKT","Kirsebær/Moreller",5347896,0.4,"Frukt og bær"
"Mango","28,7",208454,214112,"2,7","Steinfrukter","Enhed","Mango",0,7522,7522,0,7415,7415,-0.014,0.065,1.4,"FRUKT","Mango",5347896,1.39,"Frukt og bær"
"Fersken","3,0",14637,22356,"52,7","Steinfrukter","Enhed","Fersken",0,8933,8933,0,8935,8935,0,-0.01,1.7,"FRUKT","Fersken/Nektariner",5347896,1.67,"Frukt og bær"
