,"Rank","Urban area","Population","County","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","addresse"
60,61,"Mosjøen",9841,"Nordland",65.836924,13.1934011,0,0,"none","none"
61,62,"Søgne",9259,"Agder",58.0907773,7.785741400000001,0,0,"none","none"
62,63,"Notodden",9077,"Vestfold og Telemark",59.5592778,9.2628376,0,0,"none","none"
63,64,"Florø",8677,"Vestland",61.59948859999999,5.0314409,0,0,"none","none"
64,65,"Namsos",8282,"Trøndelag",64.4662906,11.4955928,0,0,"none","none"
65,66,"Kleppe/Verdalen",8240,"Rogaland",58.7730261,5.6333113,0,0,"none","none"
66,67,"Åkrehamn",7715,"Rogaland",59.26044210000001,5.1869637,0,0,"none","none"
67,68,"Kvaløysletta",7976,"Troms og Finnmark",69.6867589,18.8337029,0,0,"none","none"
68,69,"Verdalsøra",7906,"Trøndelag",63.7933506,11.4815726,0,0,"none","none"
69,70,"Orkanger/Fannrem",7812,"Trøndelag",63.2664619,9.8157818,0,0,"none","none"
70,72,"Hammerfest",7568,"Troms og Finnmark",70.66343820000002,23.6819665,0,0,"none","none"
71,72,"Fetsund",7497,"Viken",59.928982,11.1624746,0,0,"none","none"
72,73,"Kløfta",7170,"Viken",60.076581,11.1432147,0,0,"none","none"
73,74,"Lillesand",7043,"Agder",58.24897050000001,8.377625499999999,0,0,"none","none"
74,75,"Kvernaland",6969,"Rogaland",58.77586,5.71624,0,0,"none","none"
75,76,"Raufoss",6962,"Innlandet",60.72637810000001,10.6171806,0,0,"none","none"
76,77,"Ørsta",6858,"Møre og Romsdal",62.1981333,6.127590199999999,0,0,"none","none"
77,78,"Holmestrand",6823,"Vestfold og Telemark",59.4899189,10.3150349,0,0,"none","none"
78,79,"Malvik",6660,"Trøndelag",63.43583599999999,10.672718,0,0,"none","none"
79,80,"Nærbø",6623,"Rogaland",58.66829019999999,5.642534299999999,0,0,"none","none"
80,81,"Mysen",6321,"Viken",59.55378409999999,11.3257465,0,0,"none","none"
81,82,"Tananger",6152,"Rogaland",58.93618240000001,5.574096300000001,0,0,"none","none"
82,83,"Åmot/Geithus",6132,"Viken",59.8919536,9.925601,0,0,"none","none"
83,84,"Volda",6114,"Møre og Romsdal",62.1452551,6.0747977,0,0,"none","none"
84,85,"Fauske",6061,"Nordland",41.738243,-87.9363764,0,0,"none","none"
85,86,"Vossevangen",6053,"Vestland",60.6295624,6.422151200000001,0,0,"none","none"
86,87,"Hommersåk",6042,"Rogaland",58.9281926,5.8506145,0,0,"none","none"
87,88,"Ulsteinvik",6033,"Møre og Romsdal",62.3433146,5.8488429,0,0,"none","none"
88,89,"Flekkefjord",5950,"Agder",58.2971823,6.6599809,0,0,"none","none"
89,90,"Sandnessjøen",5930,"Nordland",66.0215534,12.6314628,0,0,"none","none"
90,91,"Melhus",5894,"Trøndelag",46.7833848,-92.1016075,0,0,"none","none"
91,92,"Bekkelaget",5864,"Innlandet",59.883351,10.771742,0,0,"Oslo","none"
92,93,"Stavern",5659,"Vestfold og Telemark",58.9982871,10.0355945,0,0,"none","none"
93,94,"Tranby",5512,"Viken",59.8081688,10.2666829,0,0,"none","none"
94,95,"Rotnes",5491,"Viken",60.05321619999999,10.8702922,0,0,"none","none"
95,96,"Kragerø",5446,"Vestfold og Telemark",58.8694218,9.414866199999999,0,0,"none","none"
96,97,"Sætre",5248,"Viken",59.6812444,10.5270244,0,0,"none","none"
97,98,"Spydeberg",5246,"Østfold",59.6135026,11.0760821,0,0,"Viken","none"
98,99,"Knarvik",5207,"Vestland",60.54781329999999,5.291445599999999,0,0,"none","none"
99,100,"Førdesfjorden",5178,"Rogaland",59.42516149999999,5.3849706,0,0,"none","none"
