,Timestamp,33 REC - Active Energy Delivered-Received (kWh),33 REC - Current Phase Average (A),33 REC - Active Power (kW),33 REC - Performance Ratio (%),33 REC - Wind Speed (m/s),33 REC - Weather Temperature Celsius (°C),33 REC - Weather Relative Humidity (%),33 REC - Global Horizontal Radiation (W/m²),33 REC - Diffuse Horizontal Radiation (W/m²),33 REC - Wind Direction (Degrees),33 REC - Weather Daily Rainfall (mm)
778494,2020-07-04 08:20:00,82476.0,1.6410000324249,0.28116673231125,76.587882995605,,7.389541149139401,59.436367034912,68.84467315673801,68.409042358398,41.289939880371,
778495,2020-07-04 08:25:00,82476.0,1.7410000562668002,0.32539999485015997,79.730072021484,,7.6782803535461,58.692939758301,76.35466003418,75.712684631348,41.264812469482,
778496,2020-07-04 08:30:00,82476.0,1.8803336620331002,0.38246667385100996,83.659049987793,,8.0051364898682,57.639297485352,85.957908630371,85.017379760742,41.044136047363,
778497,2020-07-04 08:35:00,82476.0,1.9303338527679,0.39460000395774997,82.283493041992,,8.3064270019531,56.963787078857,87.26367950439501,86.31444549560499,40.99934387207,
778498,2020-07-04 08:40:00,82476.0,1.9626668691635,0.40293323993683006,81.59693908691399,,8.5949440002441,56.125301361084006,88.81266784668001,87.944366455078,40.917057037354,
778499,2020-07-04 08:45:00,82476.0,2.0006668567657,0.41993334889412,82.370239257812,,8.831411361694302,54.826385498046996,91.42512512206999,90.724990844727,40.709201812744006,
778500,2020-07-04 08:50:00,82476.0,2.1186661720276003,0.45416659116745,83.59747314453101,,8.943792343139599,54.152297973633004,98.622116088867,97.69244384765601,40.835952758789,
778501,2020-07-04 08:55:00,82476.0,2.2703335285187003,0.50636661052704,85.165367126465,,9.1484956741333,53.676055908203004,108.93087005615,107.86047363281,40.721435546875,
778502,2020-07-04 09:00:00,82476.0,2.4446671009063996,0.55533337593079,86.637870788574,,9.2306909561157,52.916954040527,118.81437683105,117.31661987305,40.540725708008,
778503,2020-07-04 09:05:00,82476.0,2.6293330192566002,0.60676670074463,87.61669158935499,,9.348423957824698,52.736015319824,129.03768920898,128.34089660645,40.454891204834,
778504,2020-07-04 09:10:00,82476.0,2.8026666641235,0.65100002288818,88.771484375,,9.616432189941401,52.047996520996,138.5262298584,137.97071838379,40.326652526855,
