"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","SSB"
"04","HEDMARK","0437","TYNSET",34,"INNLANDET",3427,"TYNSET","Østre Østland DVH","Østre Østland","tynset"
"04","HEDMARK","0438","ALVDAL",34,"INNLANDET",3428,"ALVDAL","Østre Østland DVH","Østre Østland","alvdal"
"04","HEDMARK","0439","FOLLDAL",34,"INNLANDET",3429,"FOLLDAL","Østre Østland DVH","Østre Østland","folldal"
"04","HEDMARK","0441","OS (HEDM.)",34,"INNLANDET",3430,"OS (INNLANDET)","Østre Østland DVH","Østre Østland","os (innlandet)"
"05","OPPLAND","0501","LILLEHAMMER",34,"INNLANDET",3405,"LILLEHAMMER","Østre Østland DVH","Østre Østland","lillehammer"
"05","OPPLAND","0502","GJØVIK",34,"INNLANDET",3407,"GJØVIK","Østre Østland DVH","Østre Østland","gjøvik"
"05","OPPLAND","0511","DOVRE",34,"INNLANDET",3431,"DOVRE","Østre Østland DVH","Østre Østland","dovre"
"05","OPPLAND","0512","LESJA",34,"INNLANDET",3432,"LESJA","Østre Østland DVH","Østre Østland","lesja"
"05","OPPLAND","0513","SKJÅK",34,"INNLANDET",3433,"SKJÅK","Østre Østland DVH","Østre Østland","skjåk"
"05","OPPLAND","0514","LOM",34,"INNLANDET",3434,"LOM","Østre Østland DVH","Østre Østland","lom"
"05","OPPLAND","0515","VÅGÅ",34,"INNLANDET",3435,"VÅGÅ","Østre Østland DVH","Østre Østland","vågå"
"05","OPPLAND","0516","NORD-FRON",34,"INNLANDET",3436,"NORD-FRON","Østre Østland DVH","Østre Østland","nord-fron"
"05","OPPLAND","0517","SEL",34,"INNLANDET",3437,"SEL","Østre Østland DVH","Østre Østland","sel"
"05","OPPLAND","0519","SØR-FRON",34,"INNLANDET",3438,"SØR-FRON","Østre Østland DVH","Østre Østland","sør-fron"
