"Aktie","ticker"
"Cloudflare","net"
"Goodfood","FOOD.TO"
"LivePerson","lpsn"
"Carvana","cvna"
"Sea_limited","se"
"Gravity","grvy"
"Marley_Spoon","mmm"
"Kahoot","khotf"
"Delivery_hero","dher.de"
"Snowflake","snow"
