"Aktie","Ticker"
"SP_500","^GSPC"
"Dow","^DJI"
"Nasdaq","^NDX"
"Nikkei","^N225"
"Shanghai","000001.SS"
"Hang_Seng","^HSI"
"Bombay","^BSESN"
"Dax","^GDAXI"
"Swiss","^SSMI"
"Mexico","^MXX"
"Sao_Paulo","^BVSP"
