"Type matvare","fylkesnummer","Pakket mat, matoljer og tobakk","Kjølevarer","Drikkevarer","Sjokolade og sukkervarer","Fersk mat","Dypfryst","Helse og skjønnhet","Vaske- og husholdningsprodukter","Ost","Juice","Melk","Sjokolade","Dypfryst pizza","Dypfryst fisk","Tannpleie","Tøyvaskemidler","Vaskeredskaper","Såpe","Cerealer","Barnemat","Frukt/bær","Grønnsaker/poteter"
"Oslo",30,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
"Østre Østland",34,"1,04","1,00","0,95","1,03","1,02","1,04","1,02","1,13","1,02","0,88","0,93","1,01","1,03","1,11","1,00","0,95","0,90","1,08","0,97","0,90","0,92","0,95"
"Vestre Østland",34,"1,04","0,99","0,96","1,05","0,99","1,03","1,00","1,12","0,98","0,90","0,97","1,03","1,00","1,07","1,00","0,95","0,90","1,08","0,94","0,92","0,90","0,93"
"Vestlandet",46,"0,97","0,92","0,91","1,00","0,91","0,98","0,94","1,01","0,90","0,85","0,90","1,00","0,97","1,04","0,95","0,90","0,85","1,00","0,91","0,90","0,85","0,85"
"Midt-Norge",50,"0,91","0,84","0,86","0,99","0,84","0,91","0,88","0,99","0,85","0,73","0,79","0,98","0,94","0,93","0,87","0,80","0,85","0,92","0,84","0,78","0,78","0,79"
"Nord-Norge",18,"0,86","0,79","0,81","0,95","0,77","0,88","0,84","0,99","0,80","0,67","0,71","0,93","0,88","0,86","0,82","0,75","0,85","0,92","0,75","0,68","0,77","0,74"
