Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
American_Solar_Wholesale_ASW-175M,American Solar Wholesale,0.002289,2.011291,5.255328,1.48E-09,0.536521,528.663269
American_Solar_Wholesale_ASW-180M,American Solar Wholesale,0.002337,2.031258,5.366315,1.86E-09,0.427371,362.726746
American_Solar_Wholesale_ASW-185M,American Solar Wholesale,0.002341,2.088717,5.374465,2.77E-09,0.216274,260.110229
American_Solar_Wholesale_ASW-215P,American Solar Wholesale,0.00387,1.527072,7.749272,4.04E-10,0.245796,205.16803
American_Solar_Wholesale_ASW-220P,American Solar Wholesale,0.003885,1.51841,7.771533,3.34E-10,0.248561,1259.2771
American_Solar_Wholesale_ASW-225M,American Solar Wholesale,0.00393,1.611658,7.941277,1.27E-09,0.198953,590.128967
American_Solar_Wholesale_ASW-225P,American Solar Wholesale,0.00393,1.528123,7.861329,3.71E-10,0.210843,1247.670044
American_Solar_Wholesale_ASW-230M,American Solar Wholesale,0.00395,1.619389,8.061398,1.42E-09,0.161276,498.379456
American_Solar_Wholesale_ASW-230P,American Solar Wholesale,0.004315,1.56489,8.672478,4.98E-10,0.333254,67.706291
American_Solar_Wholesale_ASW-235M,American Solar Wholesale,0.004155,1.62642,8.313719,1.02E-09,0.292285,653.23175
American_Solar_Wholesale_ASW-235P,American Solar Wholesale,0.00417,1.584545,8.35619,5.51E-10,0.214405,110.447968
American_Solar_Wholesale_ASW-240M-60,American Solar Wholesale,0.00417,1.683847,8.348215,2.05E-09,0.131109,133.102066
American_Solar_Wholesale_ASW-240P,American Solar Wholesale,0.004087,1.623261,8.349809,8.98E-10,0.147663,125.5588
American_Solar_Wholesale_ASW-245M,American Solar Wholesale,0.004175,1.693241,8.354991,1.99E-09,0.109636,183.432404
American_Solar_Wholesale_ASW-245P,American Solar Wholesale,0.004092,1.631517,8.35642,8.58E-10,0.130691,169.997131
American_Solar_Wholesale_ASW-250M,American Solar Wholesale,0.003841,1.665545,8.350753,1.17E-09,0.15308,1697.844849
American_Solar_Wholesale_ASW-250P,American Solar Wholesale,0.002737,1.78436,7.783976,2.25E-10,0.379108,122.704872
American_Solar_Wholesale_ASW-260M,American Solar Wholesale,0.00399,1.987293,7.998288,2.43E-09,0.20037,87.430023
American_Solar_Wholesale_ASW-260P,American Solar Wholesale,0.002815,1.83899,8.002557,4.16E-10,0.22535,79.723969
American_Solar_Wholesale_ASW-265M,American Solar Wholesale,0.00403,1.976575,8.075628,2.08E-09,0.211942,109.307236
American_Solar_Wholesale_ASW-270M,American Solar Wholesale,0.00404,1.953056,8.100485,1.54E-09,0.318041,125.445282
American_Solar_Wholesale_ASW-270P,American Solar Wholesale,0.00285,1.834005,8.094702,3.59E-10,0.200271,110.065712
American_Solar_Wholesale_ASW-275M,American Solar Wholesale,0.004045,1.979666,8.097021,1.94E-09,0.155137,178.752792
American_Solar_Wholesale_ASW-280M,American Solar Wholesale,0.00407,1.98392,8.145116,1.87E-09,0.144639,230.135422
American_Solar_Wholesale_ASW-280P,American Solar Wholesale,0.003886,1.875135,8.090829,5.84E-10,0.210456,1185.745728
American_Solar_Wholesale_ASW-285M,American Solar Wholesale,0.003869,2.007538,8.424747,1.77E-09,0.199395,113.708168
American_Solar_Wholesale_ASW-285P,American Solar Wholesale,0.003953,1.876358,8.428784,3.73E-10,0.235556,105.459305
American_Solar_Wholesale_ASW-290M,American Solar Wholesale,0.003887,1.996941,8.460913,1.54E-09,0.202673,156.934189
American_Solar_Wholesale_ASW-290P,American Solar Wholesale,0.003971,1.867304,8.464201,3.24E-10,0.237781,141.486206
American_Solar_Wholesale_ASW-295M,American Solar Wholesale,0.003915,2.001023,8.520326,1.05E-09,0.318252,262.29718
American_Solar_Wholesale_ASW-295P,American Solar Wholesale,0.004,1.873103,8.523582,2.20E-10,0.351774,220.427002
American_Solar_Wholesale_ASW-300M,American Solar Wholesale,0.003938,2.009797,8.56727,9.14E-10,0.350495,412.697021
American_Solar_Wholesale_ASW-300P,American Solar Wholesale,0.004023,1.884183,8.571157,1.99E-10,0.374864,287.613525
American_Solar_Wholesale_ASW-305P,American Solar Wholesale,0.004047,1.884702,8.616241,1.86E-10,0.371637,512.643311
American_Solar_Wholesale_ASW-310P,American Solar Wholesale,0.00407,1.887456,8.66237,1.80E-10,0.360067,1315.795654
American_Solar_Wholesale_ASW-315P,American Solar Wholesale,0.004094,1.901255,8.803882,2.00E-10,0.344119,446.413635
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-165W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00156,1.795165,5.221629,1.71E-10,0.464587,111.693085
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002205,1.925674,5.265071,7.32E-10,0.443379,154.446304
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.001575,1.791965,5.268341,1.35E-10,0.502599,143.86525
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M24-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003028,1.308853,7.73377,1.53E-09,0.192221,107.76696
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P24-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005629,1.389352,7.730872,5.58E-09,0.16919,120.141388
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-175W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002226,1.932241,5.311202,6.91E-10,0.409023,193.532364
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-175W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00159,1.798496,5.313975,1.27E-10,0.467234,177.202103
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M24-175W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003067,1.312191,7.829856,1.42E-09,0.186974,148.355652
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P24-175W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005702,1.39276,7.827423,5.21E-09,0.164411,173.212143
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-180W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002247,1.955971,5.358853,7.88E-10,0.32284,195.090637
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-180W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.001605,1.820035,5.361424,1.45E-10,0.381805,178.798538
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M24-180W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003118,1.321212,7.959167,1.45E-09,0.179738,155.862808
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P24-180W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005797,1.402328,7.956809,5.31E-09,0.157403,183.777176
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-185W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.001517,1.852664,5.481416,1.72E-10,0.696938,2696.606689
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-185W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002118,2.030508,5.405188,1.57E-09,0.194335,202.279312
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M24-185W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003169,1.334715,8.088398,1.59E-09,0.156581,150.65213
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P24-185W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005891,1.416727,8.086149,5.80E-09,0.13427,176.418793
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-190W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.0033,1.989044,5.61493,8.30E-10,0.586007,750.698303
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M24-190W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003216,1.343676,8.205864,1.87E-09,0.107788,150.725403
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P24-190W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005979,1.426337,8.20398,6.78E-09,0.085464,176.046249
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-215W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00431,1.534143,8.632282,2.96E-09,0.265298,186.187729
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-B-215W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00431,1.502164,8.633485,1.86E-09,0.273285,174.691833
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-220W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004375,1.534684,8.758745,2.86E-09,0.25997,260.102112
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-B-220W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004375,1.502781,8.759849,1.80E-09,0.267779,237.916992
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-220W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002776,1.646764,8.014578,1.54E-09,0.302438,165.97377
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-220W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002445,1.53294,8.162683,3.01E-10,0.444688,285.73999
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-225W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00442,1.532257,8.842738,2.64E-09,0.256368,827.692078
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-B-225W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00442,1.500552,8.843666,1.66E-09,0.263981,636.489685
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-225W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00326,1.472073,8.389968,1.20E-10,0.396033,110.476517
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-225W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005016,1.634696,8.382352,1.44E-09,0.352775,131.940353
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-230W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002838,1.642926,8.185665,1.34E-09,0.293777,424.199219
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-230W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00507,1.638404,8.467768,1.45E-09,0.331973,157.876129
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-235W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003331,1.472371,8.557794,1.17E-10,0.356074,170.896027
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-B-235W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00427,1.685655,8.550028,2.78E-09,0.301349,256.62738
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M27-240W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004545,1.572227,9.275874,3.74E-09,0.219393,642.792297
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-240W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002908,1.672613,8.386134,1.52E-09,0.26089,356.423492
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-B-240W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00431,1.690166,8.625754,2.66E-09,0.295181,442.179565
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-240W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00424,1.663387,8.386359,1.34E-09,0.263281,346.929199
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003389,1.481424,8.697884,1.07E-10,0.342684,377.710022
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004345,1.576647,8.694882,4.89E-10,0.318589,567.047058
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-B-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004345,1.69491,8.691689,2.55E-09,0.289454,1488.092407
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006125,1.684497,8.757797,1.86E-09,0.329859,370.160767
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-250W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003424,1.480584,8.782003,1.00E-10,0.337463,1478.882202
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-250W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003424,1.480584,8.782003,1.00E-10,0.337463,1478.882202
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-250W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006181,1.690479,8.834175,1.81E-09,0.323229,683.516968
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-255W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004425,1.581687,8.93995,4.80E-10,0.306447,1889.678467
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-255W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006223,1.674078,9.072532,1.90E-09,0.294943,696.189514
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-260W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00445,1.617593,8.995172,5.26E-10,0.305106,444.355286
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-260W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006307,1.712525,9.107744,2.08E-09,0.293456,349.370117
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-265W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003241,1.765,8.34618,1.33E-10,0.470464,108.058472
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-265W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00449,1.621728,9.072833,5.32E-10,0.287048,858.14856
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-265W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005091,1.550925,9.255233,1.72E-10,0.3448,209.141144
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-270W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003272,1.763357,8.420583,1.24E-10,0.464092,127.319244
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-270W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004535,1.75277,9.347866,3.78E-09,0.238216,733.221252
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-270W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00513,1.561597,9.321587,1.57E-10,0.361675,290.611786
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-275W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003299,1.767905,8.486204,1.20E-10,0.456352,147.333344
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-275W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00424,1.955445,8.498108,1.54E-09,0.379706,177.809402
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-275W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005152,1.572833,9.358853,1.66E-10,0.336519,355.412506
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003327,1.77209,8.55266,1.22E-10,0.435776,164.038025
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004532,1.551768,9.61308,9.80E-11,0.410467,474.670898
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-B-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003412,2.051383,8.54345,3.67E-09,0.363832,230.726395
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00429,1.957969,8.595804,1.46E-09,0.386712,209.939606
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005218,1.592519,9.484158,1.95E-10,0.311929,208.653625
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00335,1.775646,8.607556,1.16E-10,0.429043,209.919785
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M30-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004645,1.570707,9.462654,1.38E-10,0.296468,1056.688965
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-B-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003436,2.054708,8.599208,3.49E-09,0.358073,334.06073
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004295,1.972228,8.60143,1.41E-09,0.378626,284.556061
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-290W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003472,1.977492,8.687762,1.45E-09,0.371898,415.901672
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-B-290W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003472,2.05418,8.685865,3.36E-09,0.35309,522.53125
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-290W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006125,1.885294,8.762931,5.36E-10,0.393831,266.49469
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-295W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003492,1.973281,8.731575,1.33E-09,0.36879,2043.869629
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-B-295W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.003492,2.061712,8.824967,3.51E-09,0.345264,397.037567
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-295W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006188,1.88664,8.850258,5.25E-10,0.388149,334.501465
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-300W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00352,1.989781,8.894396,1.47E-09,0.357654,497.045074
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-300W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006251,1.888079,8.937625,5.13E-10,0.382579,448.067993
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-305W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004435,2.072818,8.961181,3.33E-09,0.33323,1203.333862
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-305W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006307,1.887581,9.011832,4.67E-10,0.389858,1917.818359
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-310W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004455,2.08755,9.094536,3.56E-09,0.323922,540.750305
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-310W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006321,1.890496,9.121588,4.65E-10,0.383612,2716.77124
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-315W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004495,2.097767,9.174972,3.47E-09,0.329399,706.924561
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-315W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.006377,1.896682,9.201242,4.82E-10,0.364909,23555.28516
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-320W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00453,2.10485,9.24437,3.43E-09,0.32343,1320.592896
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-320W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005091,1.867892,9.254469,1.89E-10,0.379767,242.523209
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-325W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005113,1.871168,9.288151,1.64E-10,0.401695,457.322479
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-330W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005152,1.886331,9.358826,1.68E-10,0.398075,421.737457
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004581,1.872125,9.332251,1.33E-10,0.367145,1521.785767
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6P-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.005218,1.904864,9.48411,1.96E-10,0.371021,249.021881
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-340W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00462,1.880743,9.411987,1.38E-10,0.352153,1667.401978
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-345W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004655,1.888844,9.48076,1.38E-10,0.347267,4330.206543
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-6M-350W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.004709,1.9021,9.590638,1.27E-10,0.383665,5767.015137
Astronergy_Solarmodule_ASM6610P_250,Astronergy Solarmodule,0.003504,1.496835,8.762383,1.48E-10,0.273625,1005.738525
Astronergy_Solarmodule_ASM6610P_255,Astronergy Solarmodule,0.00354,1.508391,8.85112,1.46E-10,0.27482,2172.125244
Astronergy_Solarmodule_ASM6610P_260,Astronergy Solarmodule,0.003628,1.516571,9.167799,1.38E-10,0.320309,413.287933
Astronergy_Solarmodule_ASM6610P_265,Astronergy Solarmodule,0.003604,1.539665,9.106217,1.59E-10,0.275416,409.717896
Astronergy_Solarmodule_ASM6610P_270,Astronergy Solarmodule,0.003636,1.551056,9.185863,1.56E-10,0.278176,514.627747
Astronergy_Solarmodule_ASM6612P_295,Astronergy Solarmodule,0.003548,1.795342,8.882786,1.12E-10,0.486926,337.797974
Astronergy_Solarmodule_ASM6612P_300,Astronergy Solarmodule,0.003964,1.913106,10.04392,4.86E-10,0.44454,32.895702
Astronergy_Solarmodule_ASM6612P_305,Astronergy Solarmodule,0.003576,1.815373,8.949176,1.43E-10,0.383586,373.696869
Astronergy_Solarmodule_ASM6612P_310,Astronergy Solarmodule,0.003596,1.800857,9.274167,1.02E-10,0.501878,395.245392
Astronergy_Solarmodule_ASM6612P_315,Astronergy Solarmodule,0.003608,1.802845,9.397602,9.89E-11,0.506495,418.722382
Astronergy_Solarmodule_ASM6612P_320,Astronergy Solarmodule,0.003624,1.806065,9.534763,9.76E-11,0.510492,385.422913
AXITEC_AC-190M/125-72S,AXITEC,0.004535,1.995315,5.569269,7.88E-10,0.570333,761.448853
AXITEC_AC-195M/125-72S,AXITEC,0.004625,2.010911,5.622468,8.58E-10,0.50651,1153.262329
AXITEC_AC-200M/125-72S,AXITEC,0.00465,2.034453,5.709924,9.13E-10,0.481102,801.878906
AXITEC_AC-225P/156-60S,AXITEC,0.004606,1.531215,8.161533,2.70E-10,0.429883,4782.750488
AXITEC_AC-230M/156-60S,AXITEC,0.005772,1.556098,8.405518,3.73E-10,0.391481,211.670029
AXITEC_AC-230P/156-60S,AXITEC,0.004691,1.536932,8.313569,2.82E-10,0.417017,2730.562744
AXITEC_AC-235M/156-60S,AXITEC,0.00582,1.57062,8.47435,4.13E-10,0.358502,211.35498
AXITEC_AC-235P/156-60B,AXITEC,0.007064,1.573068,8.491306,4.24E-10,0.404713,469.901672
AXITEC_AC-235P/156-60S,AXITEC,0.004742,1.546417,8.493183,3.09E-10,0.400603,571.260193
AXITEC_AC-240M/156-60S,AXITEC,0.005869,1.585272,8.543198,4.54E-10,0.327443,211.624344
AXITEC_AC-240P/156-60B,AXITEC,0.007106,1.589051,8.541595,5.07E-10,0.348223,418.914337
AXITEC_AC-240P/156-60S,AXITEC,0.004834,1.549201,8.565187,3.09E-10,0.381729,8440.1875
AXITEC_AC-245M/156-60S,AXITEC,0.005917,1.599406,8.612049,4.98E-10,0.297164,212.099625
AXITEC_AC-245P/156-60S,AXITEC,0.004919,1.560705,8.72089,3.53E-10,0.35602,676.070068
AXITEC_AC-250M/156-60S,AXITEC,0.005772,1.563725,8.898726,3.30E-10,0.302737,143.556152
