Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
Trina_Solar_TSM-255PD05.081,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.082,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.08C,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.08D,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.08M,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.08S,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.10,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.18,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PD05.xy2,Trina Solar,0.005172,1.612865,8.623318,6.03E-10,0.184212,478.545837
Trina_Solar_TSM-255PDG5,Trina Solar,0.002685,1.599249,9.019976,5.82E-10,0.300491,271.399414
Trina_Solar_TSM-255PE05A,Trina Solar,0.004813,1.670024,8.880537,1.10E-09,0.335926,5551.391602
Trina_Solar_TSM-255PE05A.08,Trina Solar,0.004813,1.670024,8.880537,1.10E-09,0.335926,5551.391602
Trina_Solar_TSM-255PEG5,Trina Solar,0.002685,1.599249,9.019976,5.82E-10,0.300491,271.399414
Trina_Solar_TSM-255PEG5.07,Trina Solar,0.002685,1.599249,9.019976,5.82E-10,0.300491,271.399414
Trina_Solar_TSM-255PxG5,Trina Solar,0.00535,1.462941,8.8935,6.08E-11,0.33626,543.388428
Trina_Solar_TSM-255PxG5.50,Trina Solar,0.00535,1.462941,8.8935,6.08E-11,0.33626,543.388428
Trina_Solar_TSM-260PA05,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.05,Trina Solar,0.0045,1.544356,9.002616,1.62E-10,0.360398,1239.900513
Trina_Solar_TSM-260PA05.08,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.10,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.18,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.20,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.28,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.30,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.38,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05.xy2,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PA05A,Trina Solar,0.00451,1.587138,9.040417,3.07E-10,0.259638,114.707191
Trina_Solar_TSM-260PA05A.08,Trina Solar,0.00451,1.587138,9.040417,3.07E-10,0.259638,114.707191
Trina_Solar_TSM-260PA05A.10,Trina Solar,0.00451,1.587138,9.040417,3.07E-10,0.259638,114.707191
Trina_Solar_TSM-260PA05A.18,Trina Solar,0.00451,1.587138,9.040417,3.07E-10,0.259638,114.707191
Trina_Solar_TSM-260PD05,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.001,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.002,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.00C,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.00M,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.00S,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.05,Trina Solar,0.0045,1.544356,9.002616,1.62E-10,0.360398,1239.900513
Trina_Solar_TSM-260PD05.051,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.052,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
