"Vare","Vare_2"
"Kokt_skinke_Gilde110_gr",""
"Komle/raspeballer_m_vossak.600_gr",""
"Kremet_BlomkålsuppePose",""
"Kremet_kyllingsuppe_Toro_RIK20_gram",""
"Kremfløte_Tine3_dl",""
"Kremost_Ananas_og_Mandarin125_gram",""
"Kremost_Krydder125_gram",""
"Kremost_Naturell125_gram",""
"Kremost_Pepper125_gram",""
"Krokanrull71_gr",""
"Kroneis_Sjokolade_Dipl./Henning145_ml",""
"Kronenbourg_16643",""
"Krystal_Original750_ml",""
"Kulturmelk",""
"Kvikk_lunsj47gr",""
"Kyllingfilet1_kg",""
"Kålrotkg",""
"Laban_Seigmenn300_gr",""
"Laks4_pakning_pris_per_500_gr",""
"Lambi_tørkerull4_pk",""
"Lano_Dusjsåpe_Refill",""
"Lano_Håndsåpe300ml",""
"Lasagne_Toro310_gr_Familiepakning",""
"Lettmelk_Tine1_liter",""
"Lettrømme_Tine3_dl",""
"Leverpostei",""
"Leverpostei_6_stk6x22gr",""
"Leverpostei100_gr",""
"Limekg",""
"Lion_King_sjokolade60_gram",""
"Lipton_Iste",""
"Lipton_Te_Yellow25_poser",""
"Litago_Melk_Jordbær5_dl",""
"Litago_Sjokolademelk_0",""
"Lofoten_Fiskesuppe69_gram",""
"Lutefisk_helside",""
"Mager_Cottage_Cheese_Tine400_gr_mager",""
"Mais_2_pk2_stk",""
"Mais_eget_merke3_pk",""
"Maizena_maisstivelse400_gr",""
"Makrell_i_tomat_6_pk6_stk",""
"Makrell_i_tomatStabburet",""
"Mandelstang_Freia43_gr",""
"Mandler_løsvekt500_gram",""
"Mariekjeks200_gram",""
"Matfløte_20%3_dl",""
"Meksikansk_Gryte_Toro190_gr",""
"Meksikansk_tomatsuppePose",""
"Melange_Flytende520_ml",""
"Melange_Margarin",""
"Melange_margarin500_gram",""
"Melis_billigste_type500_gram",""
"Melkehjerter_Freia130_gr",""
"Melkerull_Freia74_gr",""
"Melkesjokolade_Freia200_gr",""
"Meller38_gram",""
"Mills_Kaviar185_gr",""
"Mills_Majones_tubetube_160_gram",""
"Mills_Majones330_gr_(2_poser)",""
"Mills_Peanøttsmør350_gram",""
"Minde_Risbrød290_gram",""
"Mr_Lee_Nudler_Kjøttsmak85_gram",""
"Mr_Lee_Nudler_Kylling_koppkopp",""
"Mr_Lee_Nudler_Kyllingstk",""
"Mr.Lee_Nudler_m/kjøtt_kopp65_gr",""
"Møllers_Tran500_ml_Naturell",""
"Maarud_Tortilla",""
"Nakkekoteletter_eget_merke1_kg",""
"Nektarin1_Kilo",""
"Nescafe_Gull",""
"Nescafé_Gull_refill100_gr",""
"New_Energy45_gr",""
"Nidar_Marsipanpølse5_stk",""
"Nidar_Påskefavoritter300_gram",""
"Nidar_Påskemarsipan5_pk",""
"Nidar_stor_Julegris193_gram",""
"Nonstop180_gram",""
"Nora_Agurk_Pariser580_gram",""
"Nora_Sviskekompott455_gram",""
"Norske_Jordbær500_gram",""
"Norvegia_skivet300gr",""
"Norvegia1_kg",""
"Nugatti_Original500_gram",""
"Oboy450_gr_pose",""
"OMO_Color_Refill490_ml",""
"Omo_Color1",""
"Omo_Ultra_Hvitt1",""
"Oppvasktabletter",""
"Oreo_Double157_gram",""
"Ostegrill",""
"Oyster_Spring_Onion120_gr",""
"Panda_Lakris200_gr",""
"Pannekaker_Øko._Toro540_gr_Familiepakning",""
"Paprika1_kg_løsvekt",""
"Peanøttkubbe60gr",""
"Pepe_Lakris_Big32_gram",""
"Pepperkakedeig1_kilo",""
"Pepperoni_Grilstad100_gram",""
"Peppersaus",""
"Peppes_originale_pizzabunn550_gram",""
"Peppes_saus_Original180_gram",""
"Peppes_Triple_Meat545_gram",""
"Pepsi_Max1",""
"Philadelphia_light200gr",""
"Piano_Jordbærgele10_dl",""
"Piano_Sjokoladepudding1_liter",""
"Piano_Vaniljesaus",""
"Piano_vaniljesaus1_liter",""
"Picnicskinke_Stabburet325_gr",""
"Pinnekjøtt",""
"Pizza/_bakeark18",""
"Pizzafyll_Mexicana",""
"Pizzafyll_Tomat_og_løk50_gr",""
"Pizzafyll_tomat_og_urter58_gr",""
"Pizzasaus",""
"Plastfolie_Glad50_m",""
"Polarbrød_Havre16_pk",""
"Polarbrød_Hvete16_pk",""
"Polly_peanøtter330_gram",""
"Potetgull_Maarud_Paprika250_gram",""
"Potetgull_Maarud_Salt240_gr_Salt",""
"Potetkaker",""
"Potetmel500_gr",""
"Potetmos_MillsVanlig",""
"Potetsalat_Klassisk500_gr",""
"Prim_original_Tine300_gr",""
"Pringles_Original200_gr",""
"Prior_Kalkun",""
"Prior_Kalkunfilet_m_pepper100_gram",""
"PS_sprøstekt_løk100_gr",""
"Purreløkkg",""
"Pærerkg",""
"Q_frokost_Yoghurt",""
"Quaker_Cruesli_Solfrokost500_gram",""
"Raspeballer_Stangeland1_kilo",""
"Revet_ost_original_Tine300gr",""
"Ribberull_Gilde100_gr",""
"Ringnes_juleøl5_dl",""
"Ringnes_Lite5_dl",""
"Ringnes_pils1_stk_0",""
"Rislunsj_m/bringebær_&_rips150_gr",""
"Rislunsj_m/jordbær150_gr",""
"Ritz_kjeks200_gram",""
"Rosenkål400_gram",""
"Rosiner_eget_merke250_gram",""
"Rødbetsalat",""
"Rødkål450",""
"Rømmedressing",""
"Saltstenger_Soletti250_gram",""
"Sennep_Maille_Dijon380_gram",""
"Servelat_eget_merke250_gram",""
"Sitrongele125_gram",""
"Skivet_Ridderost_Tine170_gr",""
"Skummet_melk_Tine1_liter",""
"Skyr_luftig_bringebær130_gram",""
"Skyr_luftig_sitron130_gram",""
"Smacks_Honnikorn375_gr",""
"Smash200_gr",""
"Smil_Sjokolade78_gram",""
"Smøreost_Bacon_tube175_gr",""
"Smøreost_Skinke_tube175_gr",""
"Smågodt1_hg",""
"Snøfrisk125_gr",""
"Soft_Flora_steke_&_bake500_gr",""
"Solo_plastflaske0",""
"Solo_Plastflaske1",""
"Sopps_snarkokt_makaroni650gr",""
"Soyasaus_Kikkoman150_ml",""
"Spaghetti_A_la_Capri870_gram",""
"Spenol250_ml_fuktighetskrem",""
"Spice_Mix_Fajitas30_gram",""
"Sriracha-Saus215_ml",""
"Stabbur-Makrell",""
"Stjernebacon140_gr",""
"Storfe_Ytrefilet150_gram",""
"Strandaskinke70_gr",""
"Sukkerkulør",""
"Sun_Lolly_Jordbær10_stk",""
"Sunmaid_rosiner500_gr",""
"Surkål_Nora450_gram",""
"Sursild_eget_merke1_kilo",""
"Svin_Indrefilet500_gram",""
"Svisker",""
"Sweet_Baby_Rays510_gram",""
"Sætre_Snackers120_gr",""
"Taco_dinner_kit",""
"Taco_salsa_medium",""
"Taco_shells",""
"Taco_spice_mix_3X25G",""
"Tacosaus_billigste_type",""
"Tacosaus_eget_merke",""
"Tacosaus_Hot",""
"Tacosaus_Medium",""
"Thousand_Island",""
"Tine_Meierismør1/2_kilo",""
"Tine_Sjokomelk1_lit",""
"Tine_Yoghurt_Jordbær_4pk4x150gr",""
"Tine_Yoghurt_Melon/pasjonsfrukt_4pk4x150gr",""
"Tine_Yoghurt_Vanilje_4pk4_pk",""
"Tine_Yoghurt_Vanilje500_gram",""
"Tomatbønner",""
"Tomatpurre_Staveland180_gr","Tomatpurre Stavland180 gr"
"Tomatsuppe_m/makaroni119_gr",""
"Tomatsuppe_Original91_gr",""
"Tomtegløgg_Original500_ml",""
"Toppris60gr",""
"Toro_Brownies530_gram",""
"Toro_Pizzabunn_familiepakn.370_gram",""
"Torsk_m_purresaus",""
"Tortillas_beger8_stk",""
"Totalsum",""
"Troika66_gr",""
"Trondhjems_brun_lapskaus800",""
"Tuborg_juleøl5_dl",""
"Tuborg_Lite5_dl",""
"Tuborg_liten_boks3",""
"Tuborg_pils5_dl",""
"Tunfisk_i_Olivenolje_eget_merke185_gram",""
"Tynnribbe",""
"Tyttebærsyltetøy_Nora_Hj.laget400_gr__",""
"Uncle_Ben`s_Sweet_&_Sour_Original450_gr",""
"Uncle_Bens_Tikka_Masala450_gram",""
"Vafler_liten_pk",""
"Vafler_Toro_Fam/Pk591_gr_",""
"Vaniljeis_eget_merke3_liter",""
"Vannmelon1_kilo",""
"Vitaminbjørner_Collet_ny60_stk",""
"Vossafår91_gr",""
"Wasa_Rugsprø200gr",""
"WC_Duck_Blått1_stk",""
"Whiskas_Sticks_Laks1_stk",""
"Wienerpølser_Gilde520_gr",""
"Woksaus_Sweet_and_sour120_gr",""
"Woksaus_Teriyaki120_gram",""
"Yoplait_Yoghurt_Vanilje4_stk",""
"Aas_juleøl5_dl",""
