"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Appelsin","35,7",515101,535143,"3,9","Sitrusfrukter","Enhed","Appelsin",0,32506,32506,0,31925,31925,-0.018,-0.019,6,"FRUKT","Appelsiner",5347896,5.97
"Sitron","12,6",205933,189746,"-7,9","Sitrusfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Lime","4,8",69227,71466,"3,2","Sitrusfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Grapefrukt","1,4",19833,21369,"7,7","Sitrusfrukter","Enhed","Grapefrukt",0,1515,1515,0,1499,1499,-0.011,0.013,0.3,"FRUKT","Grapefrukt",5347896,0.28
"Sitrusfrukter øvrige","0,3",3283,4082,"24,3","Sitrusfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Poteter","100,0",1429361,1429596,"0,0","Poteter","Kategori","POTETER",2018,2018,2018,2019,2019,2019,0,0,0,"POTETER","POTETER ***",5347896,0.38
"Poteter øvrige","73,5",909505,1050098,"15,5","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Mandelpotet","12,1",170436,173117,"1,6","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Asterix potet","5,6",192862,80224,"-58,4","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Beate potet","3,7",72122,52646,"-27,0","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Pimpernell potet","1,5",20401,21718,"6,5","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bakepotet","1,9",24330,26811,"10,2","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kerrs pink potet","1,3",27705,19019,"-31,4","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Folva potet","0,4",10543,5120,"-51,4","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Ringerikspotet","0,1",1108,844,"-23,8","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Laila potet","-",348,"-","-100,0","Poteter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bær","100,0",1580599,1705542,"7,9","Bær","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Jordbær","46,7",748131,796512,"6,5","Bær","Enhed","Jordbær",4707,10347,15054,5961,9116,15077,0.001,0.051,2.8,"BÆR","Jordbær",5347896,2.82
"Blåbær","32,7",509911,556863,"9,2","Bær","Enhed","Blåbær",0,4600,4600,0,4717,4717,0.025,0.191,0.9,"BÆR","Blåbær og andre bær *",5347896,0.88
"Bringebær","17,0",261825,289364,"10,5","Bær","Enhed","Bringebær",850,1289,2139,1232,1579,2811,0.314,0.124,0.5,"BÆR","Bringebær",5347896,0.53
"Bær øvrige","1,7",30862,29195,"-5,4","Bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bjørnebær","1,6",6748,6429,"-4,7","Bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Tyttebær","0,4",23122,27179,"17,5","Bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Steinfrukter","100,0",813398,746986,"-8,2","Steinfrukter","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Morell","23,4",203374,174424,"-14,2","Steinfrukter","Enhed","Morell",449,2020,2469,433,1705,2138,-0.134,0.058,0.4,"FRUKT","Kirsebær/Moreller",5347896,0.4
"Plomme","17,6",170481,131657,"-22,8","Steinfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Nektarin","20,4",163642,152680,"-6,7","Steinfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Mango","28,7",208454,214112,"2,7","Steinfrukter","Enhed","Mango",0,7522,7522,0,7415,7415,-0.014,0.065,1.4,"FRUKT","Mango",5347896,1.39
"Steinfrukter øvrige","6,9",52810,51758,"-2,0","Steinfrukter","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Fersken","3,0",14637,22356,"52,7","Steinfrukter","Enhed","Fersken",0,8933,8933,0,8935,8935,0,-0.01,1.7,"FRUKT","Fersken/Nektariner",5347896,1.67
"Frukter øvrige","100,0",64193,70419,"9,7","Frukter øvrige","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Frukter øvrige andre","35,0",25177,24654,"-2,1","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Granateple","46,7",25608,32877,"28,4","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Pasjonsfrukt","13,9",9730,9772,"0,4","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kokosnoett","1,9",1712,1345,"-21,5","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Pitahaya","2,5",1886,1757,"-6,8","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Mangostan","0,0",70,13,"-81,4","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kaktusfiken","0,0",11,1,"-91,4","Frukter øvrige","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
