"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Kålvekster øvrige",3.6,28150,33419,18.7,"Kålvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Salat_og blad_grønnsaker",100,1449684,1502414,3.6,"Salat_og blad_grønnsaker","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Isbergsalat",25,376219,375604,-0.2,"Salat_og blad_grønnsaker","Enhed","Isbergsalat",4638,8888,13526,4519,9008,13527,0,-0.018,2.5,"Grønnsaker","Isbergsalat, issalat",5347896,2.53
"Crispi/vestfold",22,295991,330394,11.6,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Salat_og bladgrønn_saker øvrige",11.2,163205,168790,3.4,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Salatblanding",11.1,173975,167117,-3.9,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rucculasalat",11.4,169111,170726,1,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Hjertesalat",8,116580,120510,3.4,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Spinat",6.9,98056,104303,6.4,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Romano",3.8,44046,56734,28.8,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rapidsalat",0.3,6755,4469,-33.8,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Lollosalat",0.2,4556,2792,-38.7,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Friseé",0,860,642,-25.3,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Riviera",0,90,43,-52.3,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Ekebladsalat",0,243,291,19.8,"Salat_og blad_grønnsaker","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
