"Klokkeslaet","01._Bibliotek_(gnt_af_51_stk)","02._Doegninstitioner__(gnt_af_50_stk)","03._Daginstitutioner_(gnt_af_160_stk)","04._Folkeskoler_(gnt_af_582_stk)","05._Forsyningsanlaeg_(gnt_af_174_stk)","06._Camping_(Hytter/Telte)","07._Vandvaerk","08._Handel/service_(gnt_af_17_stk)","09._Hospitaler_(gnt_af_32_stk)","10._Hoteller_(gnt_af_7_stk)","11._Hustand_","12._Hustand_","13._Hustand_","14._Boligforening","15._Internatskoler/kursuscentre_(gnt_af_39_stk)","16._IT-Service_(gnt_af_21_stk)","17._Kontorer/administration_(gnt_af_322_stk)","18._Laboratorier_(gnt_af_11_stk)","19._Landmand_Kvaeg_og_maelk","20._Museér,_udstillinger_m._v._(gnt_af_23_stk)","21._Plejehjem_(gnt_af_229_stk)","22._Produktioner_(gnt_af_36_stk)","23._Restauranter_(gnt_af_8_stk)","24._Serverrum_(gnt_af_14_stk)","25._Sportsanlaeg_(gnt_af_135_stk)","26._Supermarkeder_(gnt_af_55_stk)","27._Togstationer_(gnt_af_67_stk)","28._Videregående_udd.institutioner_(gnt_af_62_stk)","29._Voksenundervisning_(gnt_af_12_stk)","30._Vaerksteder_(gnt_af_23_stk)"
"2020-01-01 12:00",82.74094391,29.13110018,4.384462714,29.13110018,70.11964035,5.436999798,204.5599976,58.117939,403.97995,14.11771441,69.09,2.2,"",12,38.42979527,279.320282,31.07085562,86.31991005,27.4,39.79060745,29.11561155,69.7780838,9.874249458,128.16185,28.64774084,47.59714508,12.55179095,193.8204498,9.967833281,23.02217388
"2020-01-01 13:00",85.46517372,28.79693985,4.247087479,28.79693985,69.70479774,5.225999832,280.3999939,59.35723495,403.7120056,12.85828543,62.1,1.86,"",11,37.18533325,281.7894287,31.1662817,86.4520874,27.5,40.61660862,28.74932337,67.52483368,9.630749702,129.7579956,29.03305149,47.01941681,12.68068695,196.300293,9.589249849,22.0804348
"2020-01-01 14:00",86.2733326,27.16541958,4.018056214,27.16541958,67.98241997,4.434000015,163.9199982,61.21617508,398.6955261,12.64685726,56.57,1.71,"",12,37.12925625,282.0266724,31.30382299,87.34518051,33.9,39.38730621,23.82490826,68.59963989,7.663249969,129.2666473,29.62997055,47.44070816,13.1608808,198.8519173,10.29858327,23.32952213
"2020-01-01 15:00",84.10494041,26.64543962,3.930712461,26.64543962,65.21336746,4.717999935,144.6399994,61.918293,398.9481812,12.16914272,58.64,1.68,"",11,37.41651249,281.7993774,31.82592726,88.16763496,41.9,39.1746521,23.66276026,68.14174652,6.21449995,130.271637,29.18629599,47.92060089,14.65405965,199.6466789,9.90625,24.00752163
"2020-01-01 16:00",82.59160614,31.41379976,4.288349986,31.41379976,65.2379818,5.948999882,250.0800018,64.15599823,404.6114807,12.65342855,65.04,1.67,"",15,37.99820518,281.8601379,32.76962376,88.54500008,51.7,37.70625973,26.17038012,68.99813843,6.627000332,130.397644,29.08753347,47.67718124,17.46165657,201.7041321,11.09616685,24.17656517
"2020-01-01 17:00",82.4282341,32.46004009,4.216724873,32.46004009,63.21446037,5.548999786,229.9600067,64.32659149,388.7432251,13.4094286,72.69,1.65,"",12,39.16956425,282.4898682,32.15784073,86.62181854,55.6,29.67426109,24.82125282,68.24063873,6.453000069,130.0294952,27.87377071,48.05483627,17.24617958,199.143631,11.31550002,26.08891296
"2020-01-01 18:00",82.10470772,31.59197998,4.143668771,31.59197998,64.05174541,5.736000061,165.3999939,63.4821167,385.0395508,13.72628593,71.39,1.69,"",13,36.99971867,281.3424377,31.83226442,87.29763794,46.6,24.43339157,25.27092123,67.94916534,6.450500011,128.891571,27.27363014,48.91136551,17.11003017,198.0426445,10.69858336,25.04404306
"2020-01-01 19:00",84.60619354,29.84422016,4.128962517,29.84422016,63.16222858,5.267000198,185.8399963,63.13647079,373.7185059,13.35242844,64.58,1.88,"",12,35.67292309,279.9898071,31.70069408,86.64999962,42,22.52830505,24.04277277,68.34686279,6.762000084,128.4336395,25.94779968,49.80810928,16.70710468,196.6399994,10.99600005,24.8442173
"2020-01-01 20:00",84.09286499,28.51538086,3.905274987,28.51538086,62.68853474,5.607999802,211.1999969,61.2219429,361.9631958,13.84657145,64.44,3.04,"",13,34.79423046,278.7727661,31.42852783,87.43809128,38.9,22.23799992,22.16308308,68.55711365,6.287749767,129.1078644,24.80388165,50.1711998,16.4235673,194.5349998,10.6937499,25.43373919
"2020-01-01 21:00",86.36407852,26.58529997,3.842737496,26.58529997,60.34352303,5.239999771,193.5200043,61.32023621,357.9977417,12.79242849,50.1,2.19,"",11,36.15512848,280.4678955,30.98249674,86.47327042,36,21.16200018,21.50146675,82.48355865,6.40474987,128.9743652,23.809659,49.41287231,16.10497046,193.20895,11.04458356,27.76639128
