"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Bønner_i_Tomatsaus420_gram","",420,"",351,83,"0,6",0,"0,1",0,14,"5,7","","",0,"3,8","1,2","","","","","","","","",""
"Carlsberg_flaske3","","","",100,25,0,0,5,"2,5","0,2",0,0,0,0,0,0,"","","","","","","","",""
"Carlsberg_pilsner5_dl","","",500,100,25,0,0,5,"2,5","0,2",0,0,0,0,0,0,"","","","","","","","",""
"Champignon1_kg__","",1000,"",92,22,"0,3",0,0,"0,1","0,3",0,"0,1","1,8","3,6",0,"","","","","","","","","",""
"Cheez_Doodles120_gr","",120,"",2192,524,31,"4,8","","",51,"2,8","","","",10,"2,1","","","","","","","","",""
"Chili_Sauce","","","",413,98,"0,2","0,1","","","21,2",18,"","","","1,4","2,4","","","","","","","","",""
"Chillikreps_med_aioli180_gr","",180,"",1504,365,"37,1","6,3","","",3,"2,6","","0,4",0,"4,7","1,1","","","","","","","","",""
"Coca_Cola_4_plastflasker4x1","","","",180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Coca_Cola_plastflaske5_dl","","",500,180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Coca_Cola1","","","",180,42,0,0,"",0,"10,6","10,6","","",0,0,0,"","","","","","","","",""
"Corona1_stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Daim_Dobbel_Freia56_gr","",56,"",2215,530,31,16,"","","59,5",59,"","","1,2","2,8","0,9","","","","","","","","",""
"Daim_Strøssel_Freia100_gr_","",100,"",2210,530,31,16,"","","59,5","58,5","","","1,2","2,8","0,9","","","","","","","","",""
"Dansk_Salami","","","",1991,476,46,16,21,6,1,0,"","","",16,4,"","","","","","","","",""
"Delikat_rekesalat200_gram","",200,"",1650,400,40,3,26,10,5,3,"","","",5,"1,3","","","","","","","","",""
"Dent_Chrush","Dent Crush","","",825,200,"0,1",0,"","",60,"0,2",59,"",24,1,"1,2","","","","","","","","",""
"Dobbeldusch_Sport250_ml","",250,"","","","","","","","","","","","","","","","","","","","","","",""
"Dolmio_Classico500_gr","",500,"",185,44,"0,6","0,1","","","7,6","5,8","","","1,3","1,3","0,8","","","","","","","","",""
"Dolmio_Intens_hvitløk500_gr","",500,"",176,42,"0,2",0,"","","7,4","6,7","","","","1,7","0,7","","","","","","","","",""
"Druer1_beger_røde","","","",262,62,"0,2",0,0,0,"13,8","","",0,"","0,7",0,"","","","","","","","",""
"Edamer850_gram","",850,"",590,141,"5,9","0,8","","","11,4","6,4","","",5,"10,4",1,"","","","","","","","",""
"Egg_billigste_type12_stk","","","",620,149,"10,6",3,"","","0,3","0,3","","","",13,"0,4","","","","","","","","",""
"Eggnudler_eget_merke250_gr","",250,"",1656,392,"3,5","1,2","","","70,8",1,"","69,8","9,8","14,4","1,9","","","","","","","","",""
"Ekte_kokt_skinke","","","",438,105,"2,9",1,"","","0,7","0,7","","","","18,9","1,8","","","","","","","","",""
"Ekte_Remulade","","","",2430,590,62,4,38,17,7,6,"","",0,1,"0,8","","","","","","","","",""
"Enchilada_the_kit657_gram","",657,"",768,182,"2,9","0,4","","","31,8","5,5","","","2,6","5,6",1,"","","","","","","","",""
"Ertestuing_5_minutter_Toro164_gr","",164,"",486,115,"0,7","0,1","","","18,7","1,7","","","1,5","7,7","0,7","","","","","","","","",""
"Familiens_Fiskegrateng1_kilo","",1000,"",620,150,6,"0,6","","",15,2,"","",1,9,"0,8","","","","","","","","",""
"Fanta_Appelsin1","","","",184,43,0,0,"","","10,6","10,6","","",0,0,0,"","","","","","","","",""
"Farris_naturell1","","","",0,0,0,0,"","",0,0,"","","",0,0,"","","","","","","","",""
"Farris_Sitron1","","","",0,0,0,0,"","",0,0,"","","",0,0,"","","","","","","","",""
"Favoritt_Salami","","","",1775,420,37,15,17,"4,9","2,7","2,7","","","",19,"4,8","","","","","","","","",""
"Fenalår_Stranda100_gram","",100,"",960,229,13,6,6,"0,5",0,0,"","","",28,"8,5","","","","","","","","",""
"Ferskgjær_original50_gram","",50,"",452,108,"1,7","0,3","","",6,"4,4","","",0,13,"0,1","","","","","","","","",""
"Firkløver_Freia200_gr","",200,"",2365,565,"36,5",18,"","","48,5","47,5","","","3,2","9,1","0,2","","","","","","","","",""
"Fisherman`s_Friend_Orig20_gr","",20,"",1619,381,0,0,"","","94,7","88,6","","","0,5","0,3",0,"","","","","","","","",""
"Fisherman`s_Friend_Salmia25_gr","",25,"",1007,241,"1,3","1,3","","","90,8","0,2","85,9","","0,7","0,6",0,"","","","","","","","",""
"Fishermans`s_Friend_Mint25_gr","",25,"",1008,242,"0,6","0,6","","","98,4","0,1","98,2","","","0,1",0,"","","","","","","","",""
"Fiskeboller_eget_merke800_gram","",800,"",388,93,"4,8","0,4","","","4,8",0,"","4,8",0,"7,6","1,2","","","","","","","","",""
"FiskekakerBilligste_type_500_gr","",500,"",498,118,"4,4","0,3","","","7,8","0,7",0,"7,1",0,"11,9","0,8","","","","","","","","",""
"Fiskepinner_Findus750_gram","",750,"",835,199,"9,2","0,5","","","18,4","0,7","","17,7",1,"10,2","0,7","","","","","","","","",""
"Fjordland_Havregrøt370_gram","",370,"",450,107,4,2,"","",12,"3,9","","","1,3","4,6","0,3","","","","","","","","",""
"Fjordland_Kylling_Sweet_&_sour460_gr","",460,"","","","","","","","","","","","","","","","","","","","","","",""
"Fjordland_Pasta_med_ost_og_skinkesaus350_gr","",350,"",542,129,"5,1","1,9","","",15,4,"","","0,7","5,4","0,7","","","","","","","","",""
"Fjordland_risgrøt970_gr","",970,"",448,106,"3,1","1,9","","","15,9","3,7","","","","3,7","0,3","","","","","","","","",""
"Flatbrød_Original_Ideal300_gram","",300,"",1500,360,"1,5","0,4","","",71,3,"","",12,"9,5",1,"","","","","","","","",""
"FløtemysostSkivet","","","",1794,433,26,18,"","",36,32,"","","",11,"0,9","","","","","","","","",""
"Fløtesaus_Toro50_gram","",50,"",204,49,3,"1,6","","","4,2","1,1","","","0,1","1,1","0,9","","","","","","","","",""
"FOX_Sitronkaramell2_biter","","","",1711,405,"7,5","7,4","","",84,65,"","","","0,6",0,"","","","","","","","",""
"Freia_Dronningsjokolade100gr","",100,"",2145,525,"28,5",18,"","",56,"54,5","","",7,"4,9",0,"","","","","","","","",""
"Freia_Regia_kakao10_stk","","","",1680,405,20,"15,5","","",14,"1,9","","","33,5",23,"0,1","","","","","","","","",""
"Freia_vaniljesukker_175_gr175_gram","",175,"",1645,385,0,0,"","",97,91,"","",0,0,0,"","","","","","","","",""
"Frydenlund_fatøl5_dl","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"Geisha_Risgrøt800_gram","",800,"",370,87,"1,1","0,7","","","15,5","3,7","","","0,3","3,9","0,1","","","","","","","","",""
"Gifflar_kanel300_gr","",300,"",1550,370,14,3,"","",53,18,"","","",7,"0,7","","","","","","","","",""
"Gilde_Fersk_leverpostei150_gram","",150,"",1000,241,20,"6,7","8,5","2,8","5,9","0,9","","","","9,4","1,5","","","","","","","","",""
"Gilde_Håndlaget_Sylte100_gram","",100,"",836,201,15,"5,8","","",1,"0,4","","","",16,"1,8","","","","","","","","",""
"Gilde_Julesylte100_gram","",100,"",994,238,13,"4,5","5,7","1,9","1,2",0,"","","",29,"2,9","","","","","","","","",""
"Gilde_original_ovnsbakt_leverpostei190_gr","",190,"",934,225,19,"6,5","7,8","2,8",5,"1,1","","","","9,1","1,4","","","","","","","","",""
"Gilde_skinnfri_kjøttpølse450gr","",450,"",921,222,18,"6,2","7,5","2,2","5,5","0,4","","","","9,5","1,7","","","","","","","","",""
"Gilde_smårettsskinke200_gr","",200,"",544,130,"5,1","1,7","2,2","0,7","1,9","0,4","","","",19,2,"","","","","","","","",""
"Go_Morgen_Skogsbær195_gr","",195,"",535,127,"3,4","1,7","","",19,"12,9","","","","4,2","0,1","","","","","","","","",""
"Go_Morgen_Vanilje_m/nøttemix195_gr","",195,"",661,158,"8,8","1,7","","",14,11,"","","","5,5","0,1","","","","","","","","",""
"Godt&Blandet_Supersur200_gr","",200,"",1503,356,"0,1","0,1",0,0,86,57,"","","","3,1","0,5","","","","","","","","",""
"Godt&Blandet220_gr","",220,"",1462,347,"0,3","0,2","0,1",0,85,59,0,0,0,0,"0,1","","","","","","","","",""
"Gorbys30_gram","",30,"",983,235,"7,3","1,7","","",33,"4,2","","","2,5","8,1","0,9","","","","","","","","",""
"Grandiosa","","","",910,217,"7,6","4,2","","",26,"2,7","","",0,11,"0,9","","","","","","","","",""
