"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"DMYI","dMY Technology Group III Inc.","$10.52","IonQ","$1,993.0","$616.0","$1,377.0","$2,096.6","$350.0","$0.2","$0.0","$5.0","$15.0","$34.0","-100.00 %","-","200.00 %","126.70 %",419.33,139.78,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1824920/000119312521072373/d142872dex992.htm"
"RACA","Therapeutics Acq. Corp.","$10.71","POINT Biopharma","$924.3","$285.1","$639.2","$989.9","$165.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1811764/000110465921035891/tm219698d1_ex99-2.htm"
"CHAQ","Chardan Healthcare Acq. 2 Corp.","$10.11","Renovacor","$197.8","$113.2","$84.6","$200.0","$30.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001799850/000121390021017131/ea138080ex99-2_chardan2.htm"
"SV","Spring Valley Acq. Corp","$10.06","AeroFarms","$1,231.0","$375.0","$856.0","$1,238.4","$125.0","","","$4.0","$13.0","$54.0","-","-","225.00 %","315.40 %",309.6,95.26,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001822966/000110465921042008/tm2110955d1_ex99-3.htm"
"VGAC","VC Acq. Corp.","$10.30","23andMe","$4,448.0","$984.0","$3,464.0","$4,581.4","$250.0","$441.0","$305.0","$218.0","$256.0","$317.0","-30.80 %","-28.50 %","17.40 %","23.80 %",21.02,17.9,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1804591/000095010321001779/dp145636_ex9902.htm"
"CCX","Churchill Capital Corp. II","$10.02","Skillsoft","$1,634.0","-$115.0","$1,749.0","$1,637.3","$530.0","$802.0","$665.0","$660.0","$700.0","","-17.10 %","-0.80 %","6.10 %","-",2.48,2.34,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1774675/000110465921003377/tm2037023d7_425.htm"
"SVAC","Starboard Value Acq. Corp.","$10.00","Cyxtera","$1,816.0","-$1,609.0","$3,425.0","$1,816.0","$250.0","$679.0","$690.0","$691.0","$719.0","","1.60 %","0.10 %","4.10 %","-",2.63,2.53,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1794905/000110465921025980/tm217463d1_ex99-2.htm"
"BOWX","BowX Acq. Corp.","$11.71","WeWork","$7,927.0","-$1,039.0","$8,966.0","$9,282.5","$800.0","$3,230.0","$3,210.0","$3,246.0","$4,584.0","$5,822.0","-0.60 %","1.10 %","41.20 %","27.00 %",2.86,2.02,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001813756/000119312521095508/d29340dex992.htm"
"CAP","Capitol Investment Corp. V","$9.96","Doma","$3,550.0","$520.0","$3,030.0","$3,535.8","$300.0","$358.1","$409.8","$416.4","$514.6","$665.3","14.40 %","1.60 %","23.60 %","29.30 %",8.49,6.87,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1722438/000121390021013067/ea136901ex99-2_capitol5.htm"
"RMGB","RMG Acq. Corp. II","$9.97","ReNew Power","$4,370.0","-$3,476.0","$7,846.0","$4,356.9","$855.0","$620.0","$681.0","$699.0","$952.0","$1,327.0","9.80 %","2.60 %","36.20 %","39.40 %",6.23,4.58,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1820143/000119312521053301/d102219dex993.htm"
"WPF","Foley Trasimene Acq. Corp.","$10.17","Alight Solutions","$5,385.0","-$1,916.0","$7,301.0","$5,476.5","$1,550.0","$2,385.0","$2,641.0","$2,720.0","$2,909.0","$3,235.0","10.70 %","3.00 %","6.90 %","11.20 %",2.01,1.88,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1809104/000110465921006843/tm214027d1_ex99-2.htm"
"LCY","Landcadia Holdings III","$10.04","Hillman Group","$1,901.0","-$741.0","$2,642.0","$1,908.6","$375.0","$1,222.0","$1,368.0","$1,440.0","$1,500.0","","11.90 %","5.30 %","4.20 %","-",1.33,1.27,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1822492/000110465921006849/tm213996d3_ex99-2.htm"
"CTAC","Cerberus Telecom Acq. Corp.","$9.90","KORE","$903.0","-$111.0","$1,014.0","$894.0","$225.0","$206.0","$207.0","$219.0","$238.0","$276.0","0.50 %","5.80 %","8.70 %","-",4.08,3.76,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1824577/000119312521079862/d153292dex992.htm"
"EMPW","Empower Ltd.","$9.98","Holley","$1,158.1","-$485.0","$1,643.1","$1,155.8","$240.0","$463.0","$583.0","$624.0","$665.0","","25.90 %","7.00 %","6.60 %","-",1.85,1.74,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001822928/000121390021015000/ea137482ex99-2_empower.htm"
"GRSV","Gores Holdings V","$10.00","Ardagh Metal Packaging","$6,073.0","-$2,449.0","$8,522.0","$6,073.0","$600.0","$3,372.0","$3,451.0","$3,820.0","$4,532.0","$5,199.0","2.30 %","10.70 %","18.60 %","14.70 %",1.59,1.34,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816816/000119312521051423/d61123dex992.htm"
"DGNR","Dragoneer Growth Opportunities Corp.","$10.27","CCC Information Services","$6,542.0","-$507.0","$7,049.0","$6,718.6","$150.0","$570.0","$598.0","$675.0","","","4.90 %","12.90 %","-","-",9.95,"","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1818201/000119312521026659/d101043dex992.htm"
"JIH","Juniper Industrial Holdings, Inc.","$12.05","Janus International","$1,362.0","-$568.0","$1,930.0","$1,641.2","$250.0","$565.0","$549.0","$622.0","$685.0","$736.0","-2.80 %","13.30 %","10.10 %","7.40 %",2.64,2.4,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1787791/000119312520323834/d57084dex992.htm"
"KSMT","Kismet Acq. One Corp.","$9.93","Nexters Global","$2,050.0","$150.0","$1,900.0","$2,035.7","$50.0","","$315.0","$358.0","$461.0","$562.0","-","13.70 %","28.80 %","21.90 %",5.69,4.42,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1814824/000121390021005589/ea134294ex99-2_kismet.htm"
"IACA","ION Acq. Corp 1 Ltd","$10.16","Taboola","$2,585.0","$585.0","$2,000.0","$2,626.4","$200.0","$296.0","$379.0","$445.0","$516.0","","28.00 %","17.40 %","16.00 %","-",5.9,5.09,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1821018/000121390021003869/ea133754ex99-2_ionacquis1.htm"
"FTIV","Fintech Acq. Corp.","$11.08","Perella Weinberg","$977.0","$15.0","$962.0","$1,082.5","$125.0","$533.0","$485.0","$575.0","$644.0","$716.0","-9.00 %","18.60 %","12.00 %","11.20 %",1.88,1.68,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1777835/000121390020045277/ea132406ex99-3_fintechacq4.htm"
"FCAC","Falcon Capital Acq. Corp.","$9.93","Sharecare","$4,151.0","$401.0","$3,750.0","$4,121.9","$425.0","$340.0","$330.0","$396.0","$512.0","$629.0","-2.90 %","20.00 %","29.30 %","22.90 %",10.41,8.05,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816233/000121390021008660/ea135097ex99-2_falcon.htm"
"ACAC","Acies Acq. Corp.","$9.88","Playstudios","$1,331.0","$290.0","$1,041.0","$1,315.0","$250.0","$239.4","$269.8","$328.0","$435.2","","12.70 %","21.60 %","32.70 %","-",4.01,3.02,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1823878/000110465921010465/tm214830d1_ex99-2.htm"
"NSTB","Northern Star Acq. Corp. II","$9.94","Apex Clearing","$5,650.0","$988.0","$4,662.0","$5,616.1","$450.0","$136.0","$236.0","$290.0","$346.0","$418.0","73.50 %","22.90 %","19.30 %","20.80 %",19.37,16.23,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1834518/000119312521049862/d137294dex992.htm"
"FAII","Fortress Value Acq. Corp.","$9.98","ATI Physical Therapy","$2,077.0","-$373.0","$2,450.0","$2,072.8","$300.0","$785.0","$591.0","$731.0","$903.0","$1,007.0","-24.70 %","23.70 %","23.50 %","11.50 %",2.84,2.3,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1815849/000119312521050079/d115588dex992.htm"
"AONE","one","$11.85","Markforged","$2,062.0","$399.0","$1,663.0","$2,443.5","$210.0","$73.0","$70.3","$87.6","$122.5","$225.7","-3.70 %","24.60 %","39.80 %","84.20 %",27.89,19.95,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816613/000110465921027194/tm217725d1_ex99-2.htm"
"FTOC","FTAC Olympus Acq. Corp.","$10.80","Payoneer","$3,796.0","$525.0","$3,271.0","$4,099.7","$300.0","$318.0","$346.0","$432.0","$540.0","","8.80 %","24.90 %","25.00 %","-",9.49,7.59,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816090/000110465921011297/tm215090d1_ex99-2.htm"
"FRX","Forest Road Acq. Corp.","$10.25","Beachbody/MYX","$3,425.0","$491.0","$2,934.0","$3,510.6","$225.0","$756.0","$880.0","$1,112.0","$1,479.0","$1,958.0","16.40 %","26.40 %","33.00 %","32.40 %",3.16,2.37,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1826889/000121390021007925/ea135103ex99-2_forestroad.htm"
"CRSA","Crescent Acq. Corp.","$10.06","LiveVox","$896.0","$56.0","$840.0","$901.4","$75.0","$92.8","$102.0","$129.0","$163.0","","10.00 %","26.50 %","26.40 %","-",6.99,5.53,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1723648/000119312521008635/d104135dex992.htm"
"SPNV","Supernova Partners Acq. Co.","$10.05","Offerpad","$3,003.0","$635.0","$2,368.0","$3,018.0","$200.0","$1,100.0","$1,100.0","$1,400.0","$2,400.0","$3,900.0","0.00 %","27.30 %","71.40 %","62.50 %",2.16,1.26,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1825024/000119312521085156/d105491dex992.htm"
"ACTC","ArcLight Clean Transition Corp.","$16.25","Proterra","$2,401.0","$801.0","$1,600.0","$3,901.6","$415.0","$181.0","$193.0","$246.0","$439.0","$838.0","6.60 %","27.50 %","78.50 %","90.90 %",15.86,8.89,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1820630/000121390021001584/ea133141ex99-2_arclight.htm"
"SSPK","Silver Spike Acquisition Corp.","$19.15","Weedmaps","$1,498.0","$100.0","$1,398.0","$2,868.7","$325.0","$144.0","$160.0","$205.0","$300.0","$440.0","11.10 %","28.10 %","46.30 %","46.70 %",13.99,9.56,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1779474/000095010320024045/dp142700_ex9902.htm"
"ACND","Ascendant Digital Acq. Corp.","$9.92","Beacon Street Group","$3,174.0","$150.0","$3,024.0","$3,148.6","$150.0","$272.2","$377.1","$484.2","$651.2","","38.50 %","28.40 %","34.50 %","-",6.5,4.84,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1805651/000119312521064519/d143828dex992.htm"
"FGNA","FG New America Acq. Corp.","$10.20","OppFi","$803.0","-$106.0","$909.0","$819.1","","$268.0","$323.0","$418.0","$656.0","$875.0","20.50 %","29.40 %","56.90 %","33.40 %",1.96,1.25,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1818502/000110465921017063/tm216066d1_ex99-2.htm"
"PACE","TPG Pace Tech Opportunities Corp.","$9.95","Nerdy","$1,702.0","$297.0","$1,405.0","$1,693.5","$150.0","$91.0","$106.0","$138.0","$198.0","$267.0","16.50 %","30.20 %","43.50 %","34.80 %",12.27,8.55,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819404/000119312521021623/d104457dex992.htm"
"APXT","Apex Technology Acq. Corp.","$11.57","AvePoint","$1,990.0","$252.0","$1,738.0","$2,302.4","$140.0","$117.0","$148.0","$193.0","$257.0","","26.50 %","30.40 %","33.20 %","-",11.93,8.96,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1777921/000121390020038638/ea130364ex99-2_apextech.htm"
"DMYD","dMY Technology Group II Inc.","$15.45","Genius Sports","$1,677.0","$152.0","$1,525.0","$2,591.0","$330.0","$115.0","$145.0","$190.0","$238.0","","26.10 %","31.00 %","25.30 %","-",13.64,10.89,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816101/000119312521019330/d118329d425.htm"
"ASPL","Aspirational Consumer Lifestyle Corp.","$10.03","Wheels Up","$2,735.0","$644.0","$2,091.0","$2,743.2","$550.0","$385.0","$690.0","$912.0","$1,140.0","$1,407.0","79.20 %","32.20 %","25.00 %","23.40 %",3.01,2.41,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819516/000110465921009670/tm214639d1_ex99-2.htm"
"FST","Fast Acq. Corp.","$12.72","Fertitta Entertainment","$3,583.0","-$3,132.0","$6,715.0","$4,557.6","$1,240.0","$3,413.0","$2,100.0","$2,801.0","$3,081.0","$3,445.0","-38.50 %","33.40 %","10.00 %","11.80 %",1.63,1.48,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1815737/000121390021005581/ea134280ex99-2_fastacq.htm"
"SPFR","JAWS Spitfire Acq. Corp.","$10.51","VELO3D","$2,086.0","$472.0","$1,614.0","$2,192.4","$155.0","$15.0","$19.0","$26.0","$89.0","$162.0","26.70 %","36.80 %","242.30 %","82.00 %",84.32,24.63,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1825079/000110465921040078/tm2110566d1_ex99-2.htm"
"TBA","Thoma Bravo Advantage","$10.40","ironSource","$11,074.0","$740.0","$10,334.0","$11,517.0","$1,300.0","$181.0","$332.0","$455.0","$622.0","","83.40 %","37.00 %","36.70 %","-",25.31,18.52,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1832459/000119312521088430/d931869dex992.htm"
"GNPK","Genesis Park Acq. Corp.","$10.55","Redwire Space","$675.0","$60.0","$615.0","$712.1","$75.0","$82.0","$119.0","$163.0","$237.0","$424.0","45.10 %","37.00 %","45.40 %","78.90 %",4.37,3,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001819810/000119312521093279/d76989dex992.htm"
"RTPZ","Reinvent Technology Partners Z","$10.18","Hippo Insurance","$6,216.0","$1,160.0","$5,056.0","$6,327.9","$550.0","$49.0","$63.0","$87.0","$151.0","$282.0","28.60 %","38.10 %","73.60 %","86.80 %",72.73,41.91,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1828105/000119312521068418/d117122dex991.htm"
