"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"MOTN","Motion Acq. Corp.","$9.93","DocGo","$1,105.0","$205.0","$900.0","$1,097.3","$125.0","$48.0","$94.0","$155.0","$267.0","","95.80 %","64.90 %","72.30 %","-",7.08,4.11,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001822359/000121390021014150/ea137180ex99-2_motionacq.htm"
"FTCV","Fintech Acq. Corp. V","$11.90","eToro","$10,391.0","$796.0","$9,595.0","$12,365.3","$650.0","$244.0","$605.0","$1,018.0","$1,196.0","$1,552.0","148.00 %","68.30 %","17.50 %","29.80 %",12.15,10.34,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1829328/000121390021015541/ea137642ex99-1_fintechacq5.htm"
"RAAC","Revolution Acceleration Acq. Corp.","$10.20","Berkshire Grey","$2,741.0","$507.0","$2,234.0","$2,795.8","$165.0","$8.0","$35.0","$59.0","$119.0","$248.0","337.50 %","68.60 %","101.70 %","108.40 %",47.39,23.49,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1824734/000121390021011268/ea136272ex99-2_revolution.htm"
"GIX","GigCapital 2, Inc.","$10.01","UpHealth","$1,456.4","$105.5","$1,350.9","$1,457.9","$285.0","$119.0","$115.0","$194.0","$346.0","","-3.40 %","68.70 %","78.40 %","-",7.51,4.21,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1770141/000119312520300620/d39021dex992.htm"
"HEC","Hudson Executive Investment Corp.","$9.92","Talkspace","$1,650.0","$250.0","$1,400.0","$1,636.8","$300.0","$38.0","$74.0","$125.0","$205.0","$285.0","94.70 %","68.90 %","64.00 %","39.00 %",13.09,7.98,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1803901/000119312521007698/d74855dex992.htm"
"TPGY","TPG Pace Beneficial Finance Corp.","$17.42","EVBox","$1,394.0","$425.0","$969.0","$2,428.3","$225.0","$72.1","$84.0","$144.0","$270.0","$446.4","16.50 %","71.40 %","87.50 %","65.30 %",16.86,8.99,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819399/000119312520315002/d48425dex992.htm"
"SPRQ","Spartan Acq. II","$10.41","Sunlight Financial","$1,349.0","$82.0","$1,267.0","$1,404.3","$250.0","$53.0","$69.6","$123.0","$157.0","$199.0","31.30 %","76.70 %","27.60 %","26.80 %",11.42,8.94,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1821850/000121390021003877/ea133748ex99-3_spartanacq2.htm"
"JWS","Jaws Acq. Corp.","$13.68","Cano Health","$4,695.0","$256.0","$4,439.0","$6,422.8","$800.0","$365.0","$812.0","$1,453.0","$2,227.0","$3,079.0","122.50 %","78.90 %","53.30 %","38.30 %",4.42,2.88,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1800682/000110465920124050/tm2035668d1_ex99-2.htm"
"CGRO","Collective Growth Corp.","$9.98","Innoviz Technologies","$1,403.0","$370.0","$1,033.0","$1,400.2","$200.0","$1.6","$5.0","$9.0","$23.0","$79.0","217.50 %","80.00 %","155.60 %","243.50 %",155.58,60.88,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1799611/000121390020042369/ea131483ex99-2_collective.htm"
"FSRV","Finserv Acq. Corp.","$13.86","Katapult","$962.0","-$32.0","$994.0","$1,333.3","$150.0","$92.0","$250.0","$455.0","$799.0","$1,133.0","171.70 %","82.00 %","75.60 %","41.80 %",2.93,1.67,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1785424/000121390020043416/ea131891ex99-2_finserv.htm"
