time,power,vind,Tamb,luftfugtighed,GHI,DHI,nedboer,aoi,poa,solar_time,time_aware,Timestamp
2019-01-01 00:00:00,,,30.020723342895998,20.125513076782,1.5437868833542,1.3498475551605,,151.64900568433242,1.5627987375769243,2019-01-01 23:22:28,2019-01-01 00:00:00+09:30,2019-01-01 00:00:00
2019-01-01 00:05:00,,,29.958652496338,20.040048599243,1.3733695745468,1.244122505188,,152.0191537302931,1.3755336107862202,2019-01-01 23:27:28,2019-01-01 00:05:00+09:30,2019-01-01 00:05:00
2019-01-01 00:10:00,,,29.884490966797,20.013313293457,1.1429529190063001,0.99284881353378,,152.3404608960093,1.158981319934433,2019-01-01 23:32:28,2019-01-01 00:10:00+09:30,2019-01-01 00:10:00
2019-01-01 00:15:00,,,29.831554412842003,20.06823348999,0.70903557538986,0.61153334379196,,152.61120281361522,0.7203914629743131,2019-01-01 23:37:28,2019-01-01 00:15:00+09:30,2019-01-01 00:15:00
2019-01-01 00:20:00,,,29.750329971313,20.086566925049,1.0586233139038002,0.81459927558899,,152.82986327331707,1.1085075305507042,2019-01-01 23:42:28,2019-01-01 00:20:00+09:30,2019-01-01 00:20:00
2019-01-01 00:25:00,,,29.532783508301,20.429800033569,1.4584478139877,1.2635903358459,,152.9951734098714,1.4797190532485993,2019-01-01 23:47:28,2019-01-01 00:25:00+09:30,2019-01-01 00:25:00
2019-01-01 00:30:00,,,29.333589553832997,20.735050201415998,1.6845316886901998,1.4875284433365,,153.10614656647795,1.699653896114953,2019-01-01 23:52:28,2019-01-01 00:30:00+09:30,2019-01-01 00:30:00
2019-01-01 00:35:00,,,29.115730285645,20.767770767212,1.7852724790573,1.6077982187271003,,153.1621067257343,1.7907996226222045,2019-01-01 23:57:28,2019-01-01 00:35:00+09:30,2019-01-01 00:35:00
2019-01-01 00:40:00,,,28.895196914673,21.143363952637,1.5076394081116,1.2796251773834,,153.16270866305686,1.538441344088815,2019-01-01 0:02:28,2019-01-01 00:40:00+09:30,2019-01-01 00:40:00
2019-01-01 00:45:00,,,28.87038230896,21.860403060913,1.13665163517,0.86531603336334,,153.10794845040272,1.1931626125091155,2019-01-01 0:07:28,2019-01-01 00:45:00+09:30,2019-01-01 00:45:00
2019-01-01 00:50:00,,,28.844110488892003,22.8459815979,1.1517934799193998,0.93974721431732,,152.9981635744807,1.188062839568631,2019-01-01 0:12:27,2019-01-01 00:50:00+09:30,2019-01-01 00:50:00
2019-01-01 00:55:00,,,28.717376708984,23.092876434326,1.3624976873398,1.1606793403625,,152.83402266110005,1.3890642653739753,2019-01-01 0:17:27,2019-01-01 00:55:00+09:30,2019-01-01 00:55:00
2019-01-01 01:00:00,,,28.702896118164002,22.910829544067003,1.4067277908324998,1.1397072076797,,152.6165055258877,1.4539507225400685,2019-01-01 0:22:27,2019-01-01 01:00:00+09:30,2019-01-01 01:00:00
2019-01-01 01:05:00,,,28.701187133789002,22.651330947876,1.1400463581084999,0.9392619132995601,,152.34687491078077,1.173201270904549,2019-01-01 0:27:27,2019-01-01 01:05:00+09:30,2019-01-01 01:05:00
2019-01-01 01:10:00,,,28.662622451782,21.774225234985,0.94926846027374,0.7987981438636801,,152.02664174251535,0.9713680348300328,2019-01-01 0:32:27,2019-01-01 01:10:00+09:30,2019-01-01 01:10:00
2019-01-01 01:15:00,,,28.844804763794,21.462774276733,0.7367846965789799,0.62774872779846,,151.65752601982163,0.7514215134413178,2019-01-01 0:37:27,2019-01-01 01:15:00+09:30,2019-01-01 01:15:00
2019-01-01 01:20:00,,,29.389600753784,20.178634643555,0.37204352021216996,0.6001787781715401,,151.24141549162263,0.5820811735858195,2019-01-01 0:42:27,2019-01-01 01:20:00+09:30,2019-01-01 01:20:00
2019-01-01 01:25:00,,,30.003379821777,19.424627304077,0.35159415006638,0.60341221094131,,150.78032415182878,0.5852171064274845,2019-01-01 0:47:27,2019-01-01 01:25:00+09:30,2019-01-01 01:25:00
2019-01-01 01:30:00,,,30.191591262817003,19.369424819946,0.50769698619843,0.61006486415863,,150.27635229329132,0.5916691576046261,2019-01-01 0:52:27,2019-01-01 01:30:00+09:30,2019-01-01 01:30:00
2019-01-01 01:35:00,,,30.349761962891,19.277097702026,0.49621093273163,0.61384445428848,,149.73164949045704,0.5953347791468587,2019-01-01 0:57:27,2019-01-01 01:35:00+09:30,2019-01-01 01:35:00
2019-01-01 01:40:00,,,30.253324508667003,19.428796768188,0.56072729825974,0.61267513036728,,149.14838147318852,0.5942007146562288,2019-01-01 1:02:26,2019-01-01 01:40:00+09:30,2019-01-01 01:40:00
2019-01-01 01:45:00,,,29.66809463501,20.064315795898,1.2064465284348,1.001624584198,,148.52870146075387,1.2410100588050528,2019-01-01 1:07:26,2019-01-01 01:45:00+09:30,2019-01-01 01:45:00
2019-01-01 01:50:00,,,29.148050308228,20.747871398926,1.3644429445267001,1.177960395813,,147.87472617785693,1.3882514498971719,2019-01-01 1:12:26,2019-01-01 01:50:00+09:30,2019-01-01 01:50:00
2019-01-01 01:55:00,,,29.482158660889002,20.583192825317,0.65376389026642,0.7127673625946,,147.1885164942639,0.6912747967808899,2019-01-01 1:17:26,2019-01-01 01:55:00+09:30,2019-01-01 01:55:00
2019-01-01 02:00:00,,,29.759038925170998,20.139928817749,0.83134323358536,0.68753123283386,,146.4720624212343,0.8569965638305151,2019-01-01 1:22:26,2019-01-01 02:00:00+09:30,2019-01-01 02:00:00
