"Vare","Vare_2"
"Krystal Original750 ml",""
"Kulturmelk",""
"Kvikk lunsj47gr",""
"Kyllingfilet1 kg",""
"Kålrotkg",""
"Laban Seigmenn300 gr",""
"Laks4 pakning pris per 500 gr",""
"Lambi tørkerull4 pk",""
"Lano Dusjsåpe Refill",""
"Lano Håndsåpe300ml",""
"Lasagne Toro310 gr Familiepakning",""
"Lettmelk Tine1 liter",""
"Lettrømme Tine3 dl",""
"Leverpostei",""
"Leverpostei 6 stk6x22gr",""
"Leverpostei100 gr",""
"Limekg",""
"Lion King sjokolade60 gram",""
"Lipton Iste",""
"Lipton Te Yellow25 poser",""
"Litago Melk Jordbær5 dl",""
"Litago Sjokolademelk 0",""
"Lofoten Fiskesuppe69 gram",""
"Lutefisk helside",""
"Mager Cottage Cheese Tine400 gr mager",""
"Mais 2 pk2 stk",""
"Mais eget merke3 pk",""
"Maizena maisstivelse400 gr",""
"Makrell i tomat 6 pk6 stk",""
"Makrell i tomatStabburet",""
"Mandelstang Freia43 gr",""
"Mandler løsvekt500 gram",""
"Mariekjeks200 gram",""
"Matfløte 20%3 dl",""
"Meksikansk Gryte Toro190 gr",""
"Meksikansk tomatsuppePose",""
"Melange Flytende520 ml",""
"Melange Margarin",""
"Melange margarin500 gram",""
"Melis billigste type500 gram",""
"Melkehjerter Freia130 gr",""
"Melkerull Freia74 gr",""
"Melkesjokolade Freia200 gr",""
"Meller38 gram",""
"Mills Kaviar185 gr",""
"Mills Majones tubetube 160 gram",""
"Mills Majones330 gr (2 poser)",""
"Mills Peanøttsmør350 gram",""
"Minde Risbrød290 gram",""
"Mr Lee Nudler Kjøttsmak85 gram",""
"Mr Lee Nudler Kylling koppkopp",""
"Mr Lee Nudler Kyllingstk",""
"Mr.Lee Nudler m/kjøtt kopp65 gr",""
"Møllers Tran500 ml Naturell",""
"Maarud Tortilla",""
"Nakkekoteletter eget merke1 kg",""
"Nektarin1 Kilo",""
"Nescafe Gull",""
"Nescafé Gull refill100 gr",""
"New Energy45 gr",""
"Nidar Marsipanpølse5 stk",""
"Nidar Påskefavoritter300 gram",""
"Nidar Påskemarsipan5 pk",""
"Nidar stor Julegris193 gram",""
"Nonstop180 gram",""
"Nora Agurk Pariser580 gram",""
"Nora Sviskekompott455 gram",""
"Norske Jordbær500 gram",""
"Norvegia skivet300gr",""
"Norvegia1 kg",""
"Nugatti Original500 gram",""
"Oboy450 gr pose",""
"OMO Color Refill490 ml",""
"Omo Color1",""
"Omo Ultra Hvitt1",""
"Oppvasktabletter",""
"Oreo Double157 gram",""
"Ostegrill",""
"Oyster Spring Onion120 gr",""
"Panda Lakris200 gr",""
"Pannekaker Øko. Toro540 gr Familiepakning",""
"Paprika1 kg løsvekt",""
"Peanøttkubbe60gr",""
"Pepe Lakris Big32 gram",""
"Pepperkakedeig1 kilo",""
"Pepperoni Grilstad100 gram",""
"Peppersaus",""
"Peppes originale pizzabunn550 gram",""
"Peppes saus Original180 gram",""
"Peppes Triple Meat545 gram",""
"Pepsi Max1",""
"Philadelphia light200gr",""
"Piano Jordbærgele10 dl",""
"Piano Sjokoladepudding1 liter",""
"Piano Vaniljesaus",""
"Piano vaniljesaus1 liter",""
"Picnicskinke Stabburet325 gr",""
"Pinnekjøtt",""
"Pizza/ bakeark18",""
"Pizzafyll Mexicana",""
"Pizzafyll Tomat og løk50 gr",""
"Pizzafyll tomat og urter58 gr",""
"Pizzasaus",""
"Plastfolie Glad50 m",""
"Polarbrød Havre16 pk",""
"Polarbrød Hvete16 pk",""
"Polly peanøtter330 gram",""
"Potetgull Maarud Paprika250 gram",""
"Potetgull Maarud Salt240 gr Salt",""
"Potetkaker",""
"Potetmel500 gr",""
"Potetmos MillsVanlig",""
"Potetsalat Klassisk500 gr",""
"Prim original Tine300 gr",""
"Pringles Original200 gr",""
"Prior Kalkun",""
"Prior Kalkunfilet m pepper100 gram",""
"PS sprøstekt løk100 gr",""
"Purreløkkg",""
"Pærerkg",""
"Q frokost Yoghurt",""
"Quaker Cruesli Solfrokost500 gram",""
"Raspeballer Stangeland1 kilo",""
"Revet ost original Tine300gr",""
"Ribberull Gilde100 gr",""
"Ringnes juleøl5 dl",""
"Ringnes Lite5 dl",""
"Ringnes pils1 stk 0",""
"Rislunsj m/bringebær & rips150 gr",""
"Rislunsj m/jordbær150 gr",""
"Ritz kjeks200 gram",""
"Rosenkål400 gram",""
"Rosiner eget merke250 gram",""
"Rødbetsalat",""
"Rødkål450",""
"Rømmedressing",""
"Saltstenger Soletti250 gram",""
"Sennep Maille Dijon380 gram",""
"Servelat eget merke250 gram",""
"Sitrongele125 gram",""
"Skivet Ridderost Tine170 gr",""
"Skummet melk Tine1 liter",""
"Skyr luftig bringebær130 gram",""
"Skyr luftig sitron130 gram",""
"Smacks Honnikorn375 gr",""
"Smash200 gr",""
"Smil Sjokolade78 gram",""
"Smøreost Bacon tube175 gr",""
"Smøreost Skinke tube175 gr",""
"Smågodt1 hg",""
"Snøfrisk125 gr",""
