34,3413,"04","HEDMARK","0417","STANGE","INNLANDET","STANGE","Østre Østland","Østre Østland","stange"
34,3414,"04","HEDMARK","0418","NORD-ODAL","INNLANDET","NORD-ODAL","Østre Østland","Østre Østland","nord-odal"
34,3415,"04","HEDMARK","0419","SØR-ODAL","INNLANDET","SØR-ODAL","Østre Østland","Østre Østland","sør-odal"
34,3416,"04","HEDMARK","0420","EIDSKOG","INNLANDET","EIDSKOG","Østre Østland","Østre Østland","eidskog"
34,3417,"04","HEDMARK","0423","GRUE","INNLANDET","GRUE","Østre Østland","Østre Østland","grue"
34,3418,"04","HEDMARK","0425","ÅSNES","INNLANDET","ÅSNES","Østre Østland","Østre Østland","åsnes"
34,3419,"04","HEDMARK","0426","VÅLER (HEDM.)","INNLANDET","VÅLER (INNLANDET)","Østre Østland","Østre Østland","våler (innlandet)"
34,3420,"04","HEDMARK","0427","ELVERUM","INNLANDET","ELVERUM","Østre Østland","Østre Østland","elverum"
34,3421,"04","HEDMARK","0428","TRYSIL","INNLANDET","TRYSIL","Østre Østland","Østre Østland","trysil"
34,3422,"04","HEDMARK","0429","ÅMOT","INNLANDET","ÅMOT","Østre Østland","Østre Østland","åmot"
34,3423,"04","HEDMARK","0430","STOR-ELVDAL","INNLANDET","STOR-ELVDAL","Østre Østland","Østre Østland","stor-elvdal"
34,3424,"04","HEDMARK","0432","RENDALEN","INNLANDET","RENDALEN","Østre Østland","Østre Østland","rendalen"
34,3425,"04","HEDMARK","0434","ENGERDAL","INNLANDET","ENGERDAL","Østre Østland","Østre Østland","engerdal"
34,3426,"04","HEDMARK","0436","TOLGA","INNLANDET","TOLGA","Østre Østland","Østre Østland","tolga"
34,3427,"04","HEDMARK","0437","TYNSET","INNLANDET","TYNSET","Østre Østland","Østre Østland","tynset"
34,3428,"04","HEDMARK","0438","ALVDAL","INNLANDET","ALVDAL","Østre Østland","Østre Østland","alvdal"
34,3429,"04","HEDMARK","0439","FOLLDAL","INNLANDET","FOLLDAL","Østre Østland","Østre Østland","folldal"
34,3430,"04","HEDMARK","0441","OS (HEDM.)","INNLANDET","OS (INNLANDET)","Østre Østland","Østre Østland","os (innlandet)"
34,3405,"05","OPPLAND","0501","LILLEHAMMER","INNLANDET","LILLEHAMMER","Østre Østland","Østre Østland","lillehammer"
34,3407,"05","OPPLAND","0502","GJØVIK","INNLANDET","GJØVIK","Østre Østland","Østre Østland","gjøvik"
34,3431,"05","OPPLAND","0511","DOVRE","INNLANDET","DOVRE","Østre Østland","Østre Østland","dovre"
34,3432,"05","OPPLAND","0512","LESJA","INNLANDET","LESJA","Østre Østland","Østre Østland","lesja"
34,3433,"05","OPPLAND","0513","SKJÅK","INNLANDET","SKJÅK","Østre Østland","Østre Østland","skjåk"
34,3434,"05","OPPLAND","0514","LOM","INNLANDET","LOM","Østre Østland","Østre Østland","lom"
34,3435,"05","OPPLAND","0515","VÅGÅ","INNLANDET","VÅGÅ","Østre Østland","Østre Østland","vågå"
34,3436,"05","OPPLAND","0516","NORD-FRON","INNLANDET","NORD-FRON","Østre Østland","Østre Østland","nord-fron"
34,3437,"05","OPPLAND","0517","SEL","INNLANDET","SEL","Østre Østland","Østre Østland","sel"
34,3438,"05","OPPLAND","0519","SØR-FRON","INNLANDET","SØR-FRON","Østre Østland","Østre Østland","sør-fron"
34,3439,"05","OPPLAND","0520","RINGEBU","INNLANDET","RINGEBU","Østre Østland","Østre Østland","ringebu"
34,3440,"05","OPPLAND","0521","ØYER","INNLANDET","ØYER","Østre Østland","Østre Østland","øyer"
34,3441,"05","OPPLAND","0522","GAUSDAL","INNLANDET","GAUSDAL","Østre Østland","Østre Østland","gausdal"
34,3442,"05","OPPLAND","0528","ØSTRE TOTEN","INNLANDET","ØSTRE TOTEN","Østre Østland","Østre Østland","østre toten"
34,3443,"05","OPPLAND","0529","VESTRE TOTEN","INNLANDET","VESTRE TOTEN","Østre Østland","Østre Østland","vestre toten"
30,3053,"05","OPPLAND","0532","JEVNAKER","VIKEN","JEVNAKER","Østre Østland","Østre Østland","jevnaker"
30,3054,"05","OPPLAND","0533","LUNNER","VIKEN","LUNNER","Østre Østland","Østre Østland","lunner"
34,3446,"05","OPPLAND","0534","GRAN","INNLANDET","GRAN","Østre Østland","Østre Østland","gran"
34,3447,"05","OPPLAND","0536","SØNDRE LAND","INNLANDET","SØNDRE LAND","Østre Østland","Østre Østland","søndre land"
34,3448,"05","OPPLAND","0538","NORDRE LAND","INNLANDET","NORDRE LAND","Østre Østland","Østre Østland","nordre land"
