"Indeks","City","Country","Population","Last update","Time zone","addresse","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political"
227,"Kabelvåg","Norway","1,638","5/24/13","Europe/Oslo","Kabelvåg",68.2103879,14.477105,0,0,"none","none"
228,"Skodje","Norway","1,634","8/19/14","Europe/Oslo","Skodje",62.5046328,6.6317302,0,0,"Møre og Romsdal","none"
229,"Øystese","Norway","1,634","10/14/10","Europe/Oslo","Øystese",60.386696,6.2007756,0,0,"none","none"
230,"Skoppum","Norway","1,633","5/24/13","Europe/Oslo","Skoppum",59.3833946,10.4238612,0,0,"none","none"
231,"Justvik","Norway","1,630","8/19/14","Europe/Oslo","Justvik",58.1976511,8.0332395,0,0,"none","none"
232,"Gravdal","Norway","1,624","5/24/13","Europe/Oslo","Gravdal",68.1203112,13.5365569,0,0,"none","none"
233,"Frekhaug","Norway","1,610","8/19/14","Europe/Oslo","Frekhaug",60.511941,5.2397138,0,0,"none","none"
234,"Vatne","Norway","1,609","5/24/13","Europe/Oslo","Vatne",62.5581792,6.6187002,0,0,"none","none"
235,"Otta","Norway","1,602","12.07.2010","Europe/Oslo","Otta",61.7732404,9.5389584,0,0,"none","none"
236,"Ørnes","Norway","1,538","8/19/14","Europe/Oslo","Ørnes",66.86878,13.7040872,0,0,"none","none"
237,"Årdalstangen","Norway","1,510","8/19/14","Europe/Oslo","Årdalstangen",61.239558,7.7121033,0,0,"none","none"
238,"Sjølyststranda","Norway","1,500","10/15/10","Europe/Oslo","Sjølyststranda",60.1975501,11.1004152,"Gardermoen",0,"Viken","none"
239,"Melsomvik","Norway","1,498","9/20/17","Europe/Oslo","Melsomvik",59.2143701,10.3356955,0,0,"none","none"
240,"Grua","Norway","1,477","5/24/13","Europe/Oslo","Grua",60.2595957,10.6633915,0,0,"none","none"
241,"Kolvereid","Norway","1,467","05.08.2018","Europe/Oslo","Kolvereid",64.8654945,11.6046459,0,0,"none","none"
242,"Vågåmo","Norway","1,463","12.07.2010","Europe/Oslo","Vågåmo",61.8751701,9.0966266,0,0,"none","none"
243,"Borkenes","Norway","1,460","8/19/14","Europe/Oslo","Borkenes",68.7739605,16.1739122,0,0,"none","none"
244,"Storslett","Norway","1,455","7/13/13","Europe/Oslo","Storslett",69.767828,21.0246586,0,0,"none","none"
245,"Lunde","Norway","1,422","8/19/14","Europe/Oslo","Lunde",59.2977586,9.1008571,0,0,"none","none"
246,"Eike","Norway","1,408","1/19/12","Europe/Oslo","Eike",59.392189,5.3719021,0,0,"none","none"
247,"Tveit","Norway","1,397","10/15/10","Europe/Oslo","Tveit",58.2217357,8.109061,0,0,"none","none"
248,"Sande","Norway","1,389","12.07.2010","Europe/Oslo","Sande",59.5867918,10.2080222,0,0,"Vestfold og Telemark","none"
249,"Larkollen","Norway","1,373","07.05.2013","Europe/Oslo","Larkollen",59.3320982,10.6669774,0,0,"none","none"
250,"Åneby","Norway","1,373","5/24/13","Europe/Oslo","Åneby",60.0887304,10.8721066,0,0,"none","none"
251,"Skotterud","Norway","1,361","12.07.2010","Europe/Oslo","Skotterud",59.982812,12.1282523,0,0,"none","none"
252,"Herre","Norway","1,356","5/24/13","Europe/Oslo","Herre",59.1043676,9.5579461,0,0,"none","none"
253,"Ågotnes","Norway","1,344","5/24/13","Europe/Oslo","Ågotnes",60.4038603,5.0105072,0,0,"none","none"
254,"Tomter","Norway","1,307","8/19/14","Europe/Oslo","Tomter",59.6590981,10.9948724,0,0,"none","none"
255,"Hagavik","Norway","1,305","07.05.2013","Europe/Oslo","Hagavik",60.169286,5.415239,0,0,"none","none"
256,"Skreia","Norway","1,285","5/24/13","Europe/Oslo","Skreia",60.6526008,10.9355469,0,0,"none","none"
257,"Fitjar","Norway","1,280","01.08.2019","Europe/Oslo","Fitjar",59.9178338,5.3170349,0,0,"none","none"
258,"Strai","Norway","1,266","07.05.2013","Europe/Oslo","Strai",58.188579,7.9289969,0,0,"none","none"
259,"Vigeland","Norway","1,258","12.07.2010","Europe/Oslo","Vigeland",58.0843691,7.3049792,0,0,"none","none"
260,"Kirkenær","Norway","1,252","8/19/14","Europe/Oslo","Kirkenær",60.4577642,12.0604581,0,0,"none","none"
261,"Hemnesberget","Norway","1,243","8/19/14","Europe/Oslo","Hemnesberget",66.2241625,13.6244501,0,0,"none","none"
262,"Barkåker","Norway","1,238","7/13/13","Europe/Oslo","Barkåker",59.3186192,10.3897073,0,0,"none","none"
263,"Malm","Norway","1,230","05.08.2018","Europe/Oslo","Malm",64.0721372,11.2171582,0,0,"none","none"
264,"Bjerkvik","Norway","1,220","07.07.2013","Europe/Oslo","Bjerkvik",68.5492955,17.5575034,0,0,"none","none"
265,"Prestestranda","Norway","1,215","12.07.2010","Europe/Oslo","Prestestranda",59.0977308,9.0586623,0,0,"none","none"
266,"Nesna","Norway","1,211","8/19/14","Europe/Oslo","Nesna",66.1981607,13.0184349,0,0,"none","none"
267,"Glomfjord","Norway","1,204","5/24/13","Europe/Oslo","Glomfjord",66.8166325,13.9440435,0,0,"none","none"
268,"Våler","Norway","1,188","8/19/14","Europe/Oslo","Våler",60.6713893,11.8344064,0,0,"none","none"
269,"Seljord","Norway","1,185","01.12.2019","Europe/Oslo","Seljord",59.7140129,8.357498,0,0,"none","none"
270,"Koppang","Norway","1,182","8/19/14","Europe/Oslo","Koppang",61.5706544,11.055484,0,0,"none","none"
271,"Leirsund","Norway","1,177","5/24/13","Europe/Oslo","Leirsund",59.9968232,11.0883665,0,0,"none","none"
272,"Svelgen","Norway","1,173","8/19/14","Europe/Oslo","Svelgen",61.7685237,5.2955095,0,0,"none","none"
273,"Syfteland","Norway","1,170","5/24/13","Europe/Oslo","Syfteland",60.2360157,5.4525014,0,0,"none","none"
274,"Tomra","Norway","1,167","01.10.2019","Europe/Oslo","Tomra",59.7566752,10.2565142,"Lier","Lier","Viken","none"
275,"Mosterhamn","Norway","1,167","01.08.2019","Europe/Oslo","Mosterhamn",59.6991859,5.3857836,0,0,"none","none"
276,"Dale","Norway","1,167","10/17/17","Europe/Oslo","Dale",60.59380854,5.807251632,0,0,"none","La Cité-Limoilou"
277,"Neskollen","Norway","1,157","10/15/10","Europe/Oslo","Neskollen",60.121591,11.340487,0,0,"none","none"
278,"Gaupne","Norway","1,157","10/13/17","Europe/Oslo","Gaupne",61.4083076,7.2855965,0,0,"none","none"
279,"Dombås","Norway","1,156","8/19/14","Europe/Oslo","Dombås",62.0757681,9.1279644,0,0,"none","none"
280,"Eide","Norway","1,155","12.07.2010","Europe/Oslo","Eide",62.9192893,7.443932,0,0,"Møre og Romsdal","none"
281,"Straumen","Norway","1,147","05.08.2018","Europe/Oslo","Straumen",63.8708606,11.2998865,0,0,"none","none"
282,"Reinsvoll","Norway","1,145","5/24/13","Europe/Oslo","Reinsvoll",60.6809602,10.6246169,0,0,"none","none"
283,"Å i Åfjord","Norway","1,145","05.08.2018","Europe/Oslo","Å i Åfjord",63.9673744,10.2188477,0,0,"none","none"
284,"Botngård","Norway","1,144","05.08.2018","Europe/Oslo","Botngård",63.7688697,9.8113943,0,0,"none","none"
285,"Åros","Norway","1,142","5/24/13","Europe/Oslo","Åros",59.7066879,10.5030989,0,0,"none","none"
286,"Ávanuorri","Norway","1,138","7/13/13","Europe/Oslo","Ávanuorri",70.9963394,24.6621398,0,0,"none","none"
287,"Sjøholt","Norway","1,133","8/19/14","Europe/Oslo","Sjøholt",62.4826418,6.8163821,0,0,"none","none"
288,"Knappstad","Norway","1,133","8/19/14","Europe/Oslo","Knappstad",59.626247,11.0256388,0,0,"none","none"
289,"Rubbestadneset","Norway","1,130","5/24/13","Europe/Oslo","Rubbestadneset",59.8156024,5.2681295,0,0,"none","none"
290,"Lærdalsøyri","Norway","1,110","8/19/14","Europe/Oslo","Lærdalsøyri",61.0986549,7.4815787,0,0,"none","none"
291,"Frogner","Norway","1,108","5/24/13","Europe/Oslo","Frogner",59.9167392,10.706842,0,0,"Oslo","none"
292,"Berger","Norway","1,108","3/17/13","Europe/Oslo","Berger",60.3912628,5.3220544,0,0,"none","none"
293,"Lena","Norway","1,092","8/19/14","Europe/Oslo","Lena",60.6746719,10.8132517,0,0,"none","none"
294,"Lindås","Norway","1,087","01.08.2019","Europe/Oslo","Lindås",60.6165932,5.300212,0,0,"Vestland","none"
295,"Berlevåg","Norway","1,085","12/20/15","Europe/Oslo","Berlevåg",70.7198284,29.0300862,0,0,"none","none"
296,"Vestbygd","Norway","1,083","5/24/13","Europe/Oslo","Vestbygd",68.3475622,15.509756,0,0,"none","none"
297,"Skoger","Norway","1,082","5/24/13","Europe/Oslo","Skoger",59.675388,10.244604,0,0,"none","none"
298,"Tysvær","Norway","1,077","12.02.2016","Europe/Oslo","Tysvær",59.3741884,5.6212206,0,0,"none","none"
299,"Naustdal","Norway","1,071","8/19/14","Europe/Oslo","Naustdal",61.552281,5.8448236,0,0,"Vestland","none"
300,"Sandsli","Norway","1,070","10/15/10","Europe/Oslo","Sandsli",60.291371,5.2619943,0,0,"Vestland","none"
301,"Lundamo","Norway","1,063","05.08.2018","Europe/Oslo","Lundamo",63.1519495,10.2845172,0,0,"none","none"
302,"Grong","Norway","1,052","01.04.2019","Europe/Oslo","Grong",64.4690002,12.2162719,0,0,"none","none"
303,"Knappskog","Norway","1,045","5/24/13","Europe/Oslo","Knappskog",60.3792754,5.0562652,0,0,"none","none"
304,"Ask","Norway","1,038","8/19/14","Europe/Oslo","Ask",60.481061,5.2122965,0,0,"none","none"
305,"Fjellfoten","Norway","1,029","10/15/10","Europe/Oslo","Fjellfoten",60.0903308,11.4694672,0,0,"none","none"
306,"Storebø","Norway","1,026","12.07.2010","Europe/Oslo","Storebø",60.0929455,5.2317941,0,0,"none","none"
307,"Hvittingfoss","Norway","1,016","5/24/13","Europe/Oslo","Hvittingfoss",59.4857048,10.0117496,0,0,"none","none"
308,"Hjelset","Norway","1,011","5/24/13","Europe/Oslo","Hjelset",62.7805086,7.4927768,0,0,"none","none"
309,"Tingvoll","Norway","1,005","12.07.2010","Europe/Oslo","Tingvoll",62.9157293,8.2411484,0,0,"none","none"
310,"Etne","Norway","1,002","8/19/14","Europe/Oslo","Etne",59.6653048,5.9370294,0,0,"none","none"
311,"Dale","Norway",988,"8/19/14","Europe/Oslo","Dale",60.59380854,5.807251632,0,0,"none","La Cité-Limoilou"
312,"Kjøllefjord","Norway",975,"12.07.2010","Europe/Oslo","Kjøllefjord",70.9457696,27.3467913,0,0,"none","none"
313,"Meråker","Norway",961,"05.08.2018","Europe/Oslo","Meråker",63.4138606,11.7424272,0,0,"none","none"
314,"Sveio","Norway",960,"01.09.2019","Europe/Oslo","Sveio",59.5930974,5.3599706,0,0,"none","none"
315,"Kjøpsvik","Norway",960,"12.07.2010","Europe/Oslo","Kjøpsvik",68.0969598,16.3741587,0,0,"none","none"
316,"Ballangen","Norway",956,"12.02.2016","Europe/Oslo","Ballangen",68.3429339,16.8314179,0,0,"none","none"
317,"Sand","Norway",946,"12.07.2010","Europe/Oslo","Sand",59.4847478,6.2512108,0,0,"none","none"
318,"Rosendal","Norway",945,"8/19/14","Europe/Oslo","Rosendal",59.9858956,6.0115683,0,0,"none","none"
319,"Berkåk","Norway",914,"05.08.2018","Europe/Oslo","Berkåk",62.8249533,10.0117697,0,0,"none","none"
320,"Siljan","Norway",891,"12.07.2010","Europe/Oslo","Siljan",59.2793231,9.7337923,0,0,"none","none"
321,"Ølen","Norway",891,"12.07.2010","Europe/Oslo","Ølen",59.6043684,5.8080046,0,0,"none","none"
322,"Eidsvåg","Norway",891,"8/19/14","Europe/Oslo","Eidsvåg",62.7767046,8.0668143,0,0,"none","none"
323,"Storsteinnes","Norway",890,"12.07.2010","Europe/Oslo","Storsteinnes",69.2408122,19.2343694,0,0,"none","none"
324,"Gvarv","Norway",871,"8/19/14","Europe/Oslo","Gvarv",59.3878755,9.1700282,0,0,"none","none"
325,"Tretten","Norway",859,"12.07.2010","Europe/Oslo","Tretten",61.3142298,10.3006571,0,0,"none","none"
326,"Korgen","Norway",858,"8/19/14","Europe/Oslo","Korgen",66.0771317,13.81531,0,0,"none","none"
327,"Moen","Norway",840,"12.07.2010","Europe/Oslo","Moen",69.1304341,18.6122567,0,0,"none","none"
328,"Straumen","Norway",827,"12.07.2010","Europe/Oslo","Straumen",63.8708606,11.2998865,0,0,"none","none"
329,"Lyngseidet","Norway",821,"12.07.2010","Europe/Oslo","Lyngseidet",69.5763392,20.2187063,0,0,"none","none"
330,"Manger","Norway",814,"12.07.2010","Europe/Oslo","Manger",60.6414474,5.0413925,0,0,"none","none"
331,"Trofors","Norway",808,"12.07.2010","Europe/Oslo","Trofors",65.5350526,13.4070111,0,0,"none","none"
332,"Dalen","Norway",801,"8/19/14","Europe/Oslo","Dalen",59.4450745,8.0053846,0,0,"none","none"
333,"Balestrand","Norway",769,"12.02.2016","Europe/Oslo","Balestrand",61.198041,6.4248908,0,0,"none","none"
334,"Tonstad","Norway",751,"12.07.2010","Europe/Oslo","Tonstad",58.6626308,6.7169483,0,0,"none","none"
335,"Mehamn","Norway",742,"8/19/14","Europe/Oslo","Mehamn",71.0357069,27.848941,0,0,"none","none"
336,"Snåase","Norway",733,"01.04.2019","Europe/Oslo","Snåase",64.2465027,12.3822602,0,0,"none","none"
337,"Sjøvegan","Norway",723,"8/19/14","Europe/Oslo","Sjøvegan",68.8726063,17.8474392,0,0,"none","none"
338,"Vikeså","Norway",715,"12.07.2010","Europe/Oslo","Vikeså",58.6375907,6.0913457,0,0,"none","none"
339,"Selje","Norway",694,"8/19/14","Europe/Oslo","Selje",62.043745,5.3491755,0,0,"none","none"
340,"Sistranda","Norway",685,"05.08.2018","Europe/Oslo","Sistranda",63.725535,8.8340042,0,0,"none","none"
341,"Alvdal","Norway",677,"12.07.2010","Europe/Oslo","Alvdal",62.108617,10.6340347,0,0,"none","none"
342,"Ulvik","Norway",675,"01.09.2019","Europe/Oslo","Ulvik",60.5678843,6.9164435,0,0,"none","none"
343,"Inndyr","Norway",666,"8/19/14","Europe/Oslo","Inndyr",67.031947,14.0280582,0,0,"none","none"
344,"Rindal","Norway",649,"8/19/14","Europe/Oslo","Rindal",63.0563408,9.2115164,0,0,"none","none"
345,"Tolga","Norway",646,"01.08.2019","Europe/Oslo","Tolga",62.4093223,10.9974093,0,0,"none","none"
346,"Skjærhalden","Norway",642,"7/13/13","Europe/Oslo","Skjærhalden",59.0252588,11.0368498,0,0,"none","none"
347,"Kviteseid","Norway",640,"12.07.2010","Europe/Oslo","Kviteseid",59.4013669,8.4967827,0,0,"none","none"
348,"Os","Norway",626,"01.08.2019","Europe/Oslo","Os",60.2146731,5.4607886,0,0,"Vestland","none"
349,"Terråk","Norway",623,"12.07.2010","Europe/Oslo","Terråk",65.0870006,12.3714797,0,0,"none","none"
350,"Hundorp","Norway",615,"12.07.2010","Europe/Oslo","Hundorp",61.555223,9.9407864,0,0,"none","none"
351,"Bagn","Norway",607,"12.07.2010","Europe/Oslo","Bagn",60.8224904,9.5520724,0,0,"none","none"
352,"Evenskjer","Norway",601,"8/19/14","Europe/Oslo","Evenskjer",68.5849183,16.5728144,0,0,"none","none"
353,"Aure","Norway",596,"12.02.2016","Europe/Oslo","Aure",63.2874911,8.3757075,0,0,"none","none"
354,"Folldal","Norway",586,"01.08.2019","Europe/Oslo","Folldal",62.1324425,9.9967889,0,0,"none","none"
