"Indeks","City","Country","Population","Last update","Time zone","addresse","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political"
51,"Namsos","Norway","9,035","05.08.2018","Europe/Oslo","Namsos",64.5176895,11.3364042,0,0,"none","none"
52,"Søgne","Norway","9,000","5/24/13","Europe/Oslo","Søgne",58.0907773,7.7857414,0,0,"none","none"
53,"Råholt","Norway","8,593","5/24/13","Europe/Oslo","Råholt",60.2751331,11.1790131,0,0,"none","none"
54,"Førde","Norway","8,510","04.12.2013","Europe/Oslo","Førde",61.4530923,5.85092,0,0,"Vestland","none"
55,"Brumunddal","Norway","8,441","12.07.2010","Europe/Oslo","Brumunddal",60.8809476,10.9394781,0,0,"none","none"
56,"Levanger","Norway","8,411","05.08.2018","Europe/Oslo","Levanger",63.7464265,11.3004458,0,0,"none","none"
57,"Notodden","Norway","8,306","1/14/18","Europe/Oslo","Notodden",59.6566563,9.2094053,0,0,"none","none"
58,"Florø","Norway","8,230","12.07.2010","Europe/Oslo","Florø",61.5994886,5.0314409,0,0,"none","none"
59,"Bryne","Norway","8,006","12.07.2010","Europe/Oslo","Bryne",58.735793,5.6477347,0,0,"none","none"
60,"Ås","Norway","7,961","12.07.2010","Europe/Oslo","Ås",59.6864303,10.7930107,0,0,"none","none"
61,"Sæveland","Norway","7,736","10/23/17","Europe/Oslo","Sæveland",59.9256494,10.7467103,"Oslo","Oslo","Oslo","none"
62,"Verdal","Norway","7,154","05.08.2018","Europe/Oslo","Verdal",63.7505981,11.916895,0,0,"none","none"
63,"Hammerfest","Norway","6,788","12.02.2016","Europe/Oslo","Hammerfest",70.5308038,23.5717079,0,0,"none","none"
64,"Sogndal","Norway","6,700","4/27/17","Europe/Oslo","Sogndal",61.2974338,6.7880661,0,0,"none","none"
65,"Kopervik","Norway","6,507","12.07.2010","Europe/Oslo","Kopervik",59.2837067,5.306874,0,0,"none","none"
66,"Fetsund","Norway","6,441","8/19/14","Europe/Oslo","Fetsund",59.928982,11.1624746,0,0,"none","none"
67,"Malvik","Norway","6,419","05.08.2018","Europe/Oslo","Malvik",63.3901938,10.7350563,0,0,"none","none"
68,"Ørsta","Norway","6,337","4/27/17","Europe/Oslo","Ørsta",62.261088,6.2921523,0,0,"none","none"
69,"Holmestrand","Norway","6,135","05.08.2018","Europe/Oslo","Holmestrand",59.4899189,10.3150349,0,0,"none","none"
70,"Indre Arna","Norway","6,117","5/24/13","Europe/Oslo","Indre Arna",60.4113482,5.4771334,0,0,"none","none"
71,"Lillesand","Norway","6,081","12/18/12","Europe/Oslo","Lillesand",58.2494031,8.3757798,0,0,"none","none"
72,"Raufoss","Norway","6,052","8/19/14","Europe/Oslo","Raufoss",60.7263781,10.6171806,0,0,"none","none"
73,"Fauske","Norway","5,953","12.07.2010","Europe/Oslo","Fauske",67.2591843,15.3916321,0,0,"none","none"
74,"Kløfta","Norway","5,942","07.05.2013","Europe/Oslo","Kløfta",60.076581,11.1432147,0,0,"none","none"
75,"Tananger","Norway","5,817","5/24/13","Europe/Oslo","Tananger",58.9361824,5.5740963,0,0,"none","none"
76,"Sandnessjøen","Norway","5,778","10/25/15","Europe/Oslo","Sandnessjøen",66.0215534,12.6314628,0,0,"none","none"
77,"Hommersåk","Norway","5,692","07.05.2013","Europe/Oslo","Hommersåk",58.9281926,5.8506145,0,0,"none","none"
78,"Flekkefjord","Norway","5,615","12.02.2016","Europe/Oslo","Flekkefjord",58.2971823,6.6599809,0,0,"none","none"
79,"Stavern","Norway","5,593","05.08.2018","Europe/Oslo","Stavern",58.9982871,10.0355945,0,0,"none","none"
80,"Voss","Norway","5,571","12.02.2016","Europe/Oslo","Voss",60.7010992,6.549636,0,0,"none","none"
81,"Tranby","Norway","5,552","5/24/13","Europe/Oslo","Tranby",59.8081688,10.2666829,0,0,"none","none"
82,"Jørpeland","Norway","5,537","12.07.2010","Europe/Oslo","Jørpeland",59.0220847,6.0414875,0,0,"none","none"
83,"Mysen","Norway","5,516","12.07.2010","Europe/Oslo","Mysen",59.5537841,11.3257465,0,0,"none","none"
84,"Volda","Norway","5,376","12.02.2016","Europe/Oslo","Volda",62.0817592,6.0912091,0,0,"none","none"
85,"Odda","Norway","5,359","12.07.2010","Europe/Oslo","Odda",59.9373124,6.917668,0,0,"Vestland","none"
86,"Vestby","Norway","5,330","12.02.2016","Europe/Oslo","Vestby",59.5670114,10.6851093,0,0,"none","none"
87,"Kragerø","Norway","5,158","12.02.2016","Europe/Oslo","Kragerø",58.8694218,9.4148662,0,0,"none","none"
88,"Vadsø","Norway","5,139","01.06.2014","Europe/Oslo","Vadsø",70.1583341,29.8116708,0,0,"none","none"
89,"Ulsteinvik","Norway","5,103","12.07.2010","Europe/Oslo","Ulsteinvik",62.3433146,5.8488429,0,0,"none","none"
90,"Åkrehamn","Norway","5,018","3/15/13","Europe/Oslo","Åkrehamn",59.2604421,5.1869637,0,0,"none","none"
91,"Ulsteinvik weather pws station","Norway","5,000","2/25/13","Europe/Oslo","Ulsteinvik weather pws station",62.347076,5.862103,"Ulsteinvik","Ulstein","Møre og Romsdal","none"
92,"Fevik","Norway","4,989","8/19/14","Europe/Oslo","Fevik",58.3782012,8.6760206,0,0,"none","none"
93,"Nærbø","Norway","4,975","5/24/13","Europe/Oslo","Nærbø",58.6682902,5.6425343,0,0,"none","none"
94,"Rotnes","Norway","4,705","12.07.2010","Europe/Oslo","Rotnes",60.0532162,10.8702922,0,0,"none","none"
95,"Tjøme","Norway","4,663","1/14/19","Europe/Oslo","Tjøme",59.1105777,10.4025993,0,0,"Vestfold og Telemark","none"
96,"Sortland","Norway","4,620","12.02.2016","Europe/Oslo","Sortland",68.7062789,15.4127224,0,0,"none","none"
97,"Melhus","Norway","4,593","01.04.2019","Europe/Oslo","Melhus",63.1580389,10.3296763,0,0,"none","none"
98,"Risør","Norway","4,475","12.02.2016","Europe/Oslo","Risør",58.6982576,9.3213796,0,0,"none","none"
99,"Brønnøysund","Norway","4,366","12.11.2017","Europe/Oslo","Brønnøysund",65.4735577,12.2077354,0,0,"none","none"
100,"Jevnaker","Norway","4,308","01.11.2019","Europe/Oslo","Jevnaker",60.2406865,10.4484779,0,0,"none","none"
101,"Sauda","Norway","4,290","2/13/17","Europe/Oslo","Sauda",59.6507178,6.3541435,0,0,"none","none"
102,"Knarvik","Norway","4,265","07.05.2013","Europe/Oslo","Knarvik",60.5478133,5.2914456,0,0,"none","none"
103,"Svolvær","Norway","4,197","12.07.2010","Europe/Oslo","Svolvær",68.2343088,14.5682237,0,0,"none","none"
104,"Sunndalsøra","Norway","4,159","8/19/14","Europe/Oslo","Sunndalsøra",62.6735166,8.5661121,0,0,"none","none"
105,"Moelv","Norway","4,049","1/19/12","Europe/Oslo","Moelv",60.9382268,10.6998338,0,0,"none","none"
106,"Hommelvik","Norway","4,000","05.08.2018","Europe/Oslo","Hommelvik",63.4108294,10.7942418,0,0,"none","none"
107,"Svelvik","Norway","3,926","12.07.2010","Europe/Oslo","Svelvik",59.6138561,10.4088838,0,0,"none","none"
108,"Finnsnes","Norway","3,907","12.07.2010","Europe/Oslo","Finnsnes",69.232038,17.9808554,0,0,"none","none"
109,"Rakkestad","Norway","3,779","12.07.2010","Europe/Oslo","Rakkestad",59.4255261,11.3432131,0,0,"none","none"
110,"Oppdal","Norway","3,706","01.04.2019","Europe/Oslo","Oppdal",62.5941815,9.6912337,0,0,"none","none"
111,"Nordstranda","Norway","3,700","2/26/18","Europe/Oslo","Nordstranda",62.5101633,6.1278449,0,0,"none","none"
112,"Lyngdal","Norway","3,671","12.07.2010","Europe/Oslo","Lyngdal",58.1378983,7.0704361,0,0,"none","none"
113,"Hareid","Norway","3,626","8/19/14","Europe/Oslo","Hareid",62.3644476,6.0338734,0,0,"none","none"
114,"Rjukan","Norway","3,568","12.07.2010","Europe/Oslo","Rjukan",59.8800821,8.6141339,0,0,"none","none"
115,"Sørumsand","Norway","3,563","8/19/14","Europe/Oslo","Sørumsand",59.9850923,11.2398059,0,0,"none","none"
116,"Røros","Norway","3,496","05.08.2018","Europe/Oslo","Røros",62.5749358,11.3842621,0,0,"none","none"
117,"Skui","Norway","3,487","01.05.2019","Europe/Oslo","Skui",59.930962,10.4481511,0,0,"none","none"
118,"Farnes","Norway","3,465","07.05.2013","Europe/Oslo","Farnes",61.3096293,7.7968528,0,0,"none","none"
119,"Lysaker","Norway","3,439","2/28/12","Europe/Oslo","Lysaker",59.9131287,10.640499,0,0,"Viken","none"
120,"Årnes","Norway","3,289","8/19/14","Europe/Oslo","Årnes",60.1210501,11.4663429,0,0,"none","none"
121,"Sagvåg","Norway","3,288","5/24/13","Europe/Oslo","Sagvåg",59.7813875,5.3899627,0,0,"none","none"
122,"Kirkenes","Norway","3,282","7/21/14","Europe/Oslo","Kirkenes",69.7269192,30.0450432,0,0,"none","none"
123,"Skudeneshavn","Norway","3,187","11.06.2011","Europe/Oslo","Skudeneshavn",59.1500822,5.2571151,0,0,"none","none"
124,"Flateby","Norway","3,175","5/24/13","Europe/Oslo","Flateby",59.8341598,11.1401136,0,0,"none","none"
125,"Spydeberg","Norway","3,166","01.11.2019","Europe/Oslo","Spydeberg",59.6135026,11.0760821,0,0,"Viken","none"
126,"Farsund","Norway","3,151","12.07.2010","Europe/Oslo","Farsund",58.0957142,6.804546,0,0,"none","none"
127,"Stokmarknes","Norway","3,119","12.07.2010","Europe/Oslo","Stokmarknes",68.5648383,14.9098716,0,0,"none","none"
128,"Tofte","Norway","3,109","12.07.2010","Europe/Oslo","Tofte",59.5416615,10.5575286,0,0,"none","none"
129,"Måløy","Norway","3,062","12.07.2010","Europe/Oslo","Måløy",61.9355433,5.1135542,0,0,"none","none"
130,"Sætre","Norway","3,009","5/24/13","Europe/Oslo","Sætre",59.6812444,10.5270244,0,0,"none","none"
131,"Åsgårdstrand","Norway","2,934","1/19/12","Europe/Oslo","Åsgårdstrand",59.3489065,10.4679242,0,0,"none","none"
132,"Vik","Norway","2,899","10/15/10","Europe/Oslo","Vik",61.027509,6.564347,0,0,"none","none"
133,"Løding","Norway","2,835","07.05.2013","Europe/Oslo","Løding",67.2991685,14.7380527,0,0,"none","none"
134,"Dokka","Norway","2,796","8/19/14","Europe/Oslo","Dokka",60.8400064,10.061805,0,0,"none","none"
135,"Røyken","Norway","2,775","01.08.2019","Europe/Oslo","Røyken",59.7463906,10.389261,0,0,"Viken","none"
136,"Vormedal","Norway","2,774","5/24/13","Europe/Oslo","Vormedal",59.3576384,5.3165806,0,0,"none","none"
137,"Andenes","Norway","2,766","12.07.2010","Europe/Oslo","Andenes",69.3160799,16.1202285,0,0,"none","none"
138,"Vedavågen","Norway","2,728","8/19/14","Europe/Oslo","Vedavågen",59.2942259,5.2175092,0,0,"none","none"
139,"Ulefoss","Norway","2,697","8/19/14","Europe/Oslo","Ulefoss",59.283823,9.2645949,0,0,"none","none"
140,"Auli","Norway","2,638","10/14/10","Europe/Oslo","Auli",60.0335285,11.3556332,0,0,"none","none"
141,"Stokke","Norway","2,618","1/14/19","Europe/Oslo","Stokke",59.2242758,10.3187708,0,0,"none","none"
142,"Rørvik","Norway","2,615","05.08.2018","Europe/Oslo","Rørvik",64.8620756,11.2373374,0,0,"none","none"
143,"Skålevik","Norway","2,599","07.08.2013","Europe/Oslo","Skålevik",58.0800655,8.0161466,0,0,"none","none"
144,"Rygge","Norway","2,567","8/19/14","Europe/Oslo","Rygge",59.3794435,10.7558354,0,0,"Viken","none"
145,"Nordfjordeid","Norway","2,553","8/19/14","Europe/Oslo","Nordfjordeid",61.9062629,5.9915548,0,0,"none","none"
146,"Tau","Norway","2,548","5/24/13","Europe/Oslo","Tau",59.0647761,5.9224759,0,0,"none","none"
147,"Honningsvåg","Norway","2,541","12.07.2010","Europe/Oslo","Honningsvåg",70.9822909,25.9702075,0,0,"none","none"
148,"Gol","Norway","2,530","01.07.2019","Europe/Oslo","Gol",60.7999062,8.8877782,0,0,"none","none"
149,"Bø","Norway","2,522","12.07.2010","Europe/Oslo","Bø",59.4601654,9.0281323,0,0,"Vestfold og Telemark","none"
150,"Stranda","Norway","2,499","8/19/14","Europe/Oslo","Stranda",62.3091141,6.9424091,0,0,"none","none"
151,"Rognan","Norway","2,499","8/19/14","Europe/Oslo","Rognan",67.095278,15.3877832,0,0,"none","none"
152,"Frosta","Norway","2,495","01.04.2019","Europe/Oslo","Frosta",63.5809813,10.7395627,0,0,"none","none"
153,"Ytre Arna","Norway","2,484","3/17/13","Europe/Oslo","Ytre Arna",60.4617977,5.432769,0,0,"Vestland","none"
154,"Varhaug","Norway","2,484","8/19/14","Europe/Oslo","Varhaug",58.61471,5.6457295,0,0,"none","none"
