"City","Country","Population","Last update","Time zone"
"Jevnaker","Norway","4,308","01.11.2019","Europe/Oslo"
"Sauda","Norway","4,290","2/13/17","Europe/Oslo"
"Knarvik","Norway","4,265","07.05.2013","Europe/Oslo"
"Svolvær","Norway","4,197","12.07.2010","Europe/Oslo"
"Sunndalsøra","Norway","4,159","8/19/14","Europe/Oslo"
"Moelv","Norway","4,049","1/19/12","Europe/Oslo"
"Hommelvik","Norway","4,000","05.08.2018","Europe/Oslo"
"Svelvik","Norway","3,926","12.07.2010","Europe/Oslo"
"Finnsnes","Norway","3,907","12.07.2010","Europe/Oslo"
"Rakkestad","Norway","3,779","12.07.2010","Europe/Oslo"
"Oppdal","Norway","3,706","01.04.2019","Europe/Oslo"
"Nordstranda","Norway","3,700","2/26/18","Europe/Oslo"
"Lyngdal","Norway","3,671","12.07.2010","Europe/Oslo"
"Hareid","Norway","3,626","8/19/14","Europe/Oslo"
"Rjukan","Norway","3,568","12.07.2010","Europe/Oslo"
"Sørumsand","Norway","3,563","8/19/14","Europe/Oslo"
"Røros","Norway","3,496","05.08.2018","Europe/Oslo"
"Skui","Norway","3,487","01.05.2019","Europe/Oslo"
"Farnes","Norway","3,465","07.05.2013","Europe/Oslo"
"Lysaker","Norway","3,439","2/28/12","Europe/Oslo"
"Årnes","Norway","3,289","8/19/14","Europe/Oslo"
"Sagvåg","Norway","3,288","5/24/13","Europe/Oslo"
"Kirkenes","Norway","3,282","7/21/14","Europe/Oslo"
"Skudeneshavn","Norway","3,187","11.06.2011","Europe/Oslo"
"Flateby","Norway","3,175","5/24/13","Europe/Oslo"
"Spydeberg","Norway","3,166","01.11.2019","Europe/Oslo"
"Farsund","Norway","3,151","12.07.2010","Europe/Oslo"
"Stokmarknes","Norway","3,119","12.07.2010","Europe/Oslo"
"Tofte","Norway","3,109","12.07.2010","Europe/Oslo"
"Måløy","Norway","3,062","12.07.2010","Europe/Oslo"
"Sætre","Norway","3,009","5/24/13","Europe/Oslo"
"Åsgårdstrand","Norway","2,934","1/19/12","Europe/Oslo"
"Vik","Norway","2,899","10/15/10","Europe/Oslo"
"Løding","Norway","2,835","07.05.2013","Europe/Oslo"
"Dokka","Norway","2,796","8/19/14","Europe/Oslo"
"Røyken","Norway","2,775","01.08.2019","Europe/Oslo"
"Vormedal","Norway","2,774","5/24/13","Europe/Oslo"
"Andenes","Norway","2,766","12.07.2010","Europe/Oslo"
"Vedavågen","Norway","2,728","8/19/14","Europe/Oslo"
"Ulefoss","Norway","2,697","8/19/14","Europe/Oslo"
"Auli","Norway","2,638","10/14/10","Europe/Oslo"
"Stokke","Norway","2,618","1/14/19","Europe/Oslo"
"Rørvik","Norway","2,615","05.08.2018","Europe/Oslo"
"Skålevik","Norway","2,599","07.08.2013","Europe/Oslo"
"Rygge","Norway","2,567","8/19/14","Europe/Oslo"
"Nordfjordeid","Norway","2,553","8/19/14","Europe/Oslo"
"Tau","Norway","2,548","5/24/13","Europe/Oslo"
"Honningsvåg","Norway","2,541","12.07.2010","Europe/Oslo"
"Gol","Norway","2,530","01.07.2019","Europe/Oslo"
"Bø","Norway","2,522","12.07.2010","Europe/Oslo"
"Stranda","Norway","2,499","8/19/14","Europe/Oslo"
"Rognan","Norway","2,499","8/19/14","Europe/Oslo"
"Frosta","Norway","2,495","01.04.2019","Europe/Oslo"
"Ytre Arna","Norway","2,484","3/17/13","Europe/Oslo"
"Varhaug","Norway","2,484","8/19/14","Europe/Oslo"
"Kyrksæterøra","Norway","2,471","05.08.2018","Europe/Oslo"
"Løten","Norway","2,458","01.08.2019","Europe/Oslo"
"Vinstra","Norway","2,449","8/19/14","Europe/Oslo"
"Vikersund","Norway","2,448","5/26/16","Europe/Oslo"
"Stange","Norway","2,416","12.07.2010","Europe/Oslo"
"Ryggebyen","Norway","2,416","2/22/19","Europe/Oslo"
"Setermoen","Norway","2,410","12.07.2010","Europe/Oslo"
"Fossbergom","Norway","2,406","12.02.2016","Europe/Oslo"
"Maura","Norway","2,400","5/24/13","Europe/Oslo"
"Bjørnevatn","Norway","2,392","8/19/14","Europe/Oslo"
"Skjervøy","Norway","2,376","1/13/19","Europe/Oslo"
"Elnesvågen","Norway","2,362","8/30/14","Europe/Oslo"
"Tynset","Norway","2,356","12.02.2016","Europe/Oslo"
"Billingstad","Norway","2,349","5/24/13","Europe/Oslo"
"Bjørkelangen","Norway","2,346","8/19/14","Europe/Oslo"
"Lervik","Norway","2,331","7/13/13","Europe/Oslo"
"Løpsmarka","Norway","2,308","7/13/13","Europe/Oslo"
