"Nr","navn","city","lat","lng","country","iso2","admin","capital","population","population_proper","","Groupid","ID","Type","Size"
46,"REKO-RINGEN VOSS","Voss",60.63182,6.41669,"Norway","NO","Hordaland","minor","","","60.63182,6.41669","",1398173936955500,"privat",5
47,"REKO-RINGEN Fauske","Fauske",67.25,15.4,"Norway","NO","Nordland","minor","","","67.25,15.4","",2102887583103480,"privat",5
48,"REKO-ringen Mandal - velkommen!","Mandal",58.033333,7.45,"Norway","NO","Vest-Agder","minor","","","58.033333,7.45","",355384558358244,"privat",5
49,"REKO-Ring Lund","","","","","","","","","","","",652752628264300,"privat",5
50,"REKO-ringen Sykkylven","Sykkylven",62.39723,6.58321,"Norway","NO","Møre og Romsdal","minor","","","62.39723,6.58321","",244330229646613,"privat",5
52,"REKO-ring Skellefteå","","","","","","","","","","","",346087959537528,"privat",5
53,"REKO-Ringen Midt-Telemark","","","","","","","","","","","",2979035428989200,"privat",5
54,"REKO-ringen Stjørdal","Stjørdal",63.47025,10.91215,"Norway","NO","Nord-Trøndelag","minor","","","63.47025,10.91215","",790055358095663,"privat",5
55,"Reko-ring Åredalen","","","","","","","","","","","",348541095860414,"privat",5
56,"REKO-ringen Narvik og Bjerkvik","Narvik",68.435556,17.437222,"Norway","NO","Nordland","minor",20000,18473,"68.435556,17.437222","",632673697460934,"privat",5
57,"Reko-ringen Kristiansund","Kristiansund",63.116667,7.75,"Norway","NO","Møre og Romsdal","minor","","","63.116667,7.75","","rekokristiansund","privat",5
