,Category,Menn,Kvinner,kommune
0,0-4 år,-761,714,halden
1,5-9 år,-888,835,halden
2,10-14 år,-947,919,halden
3,15-19 år,-1029,895,halden
4,20-24 år,-1020,916,halden
5,25-29 år,-1049,874,halden
6,30-34 år,-932,917,halden
7,35-39 år,-887,931,halden
8,40-44 år,-1031,951,halden
9,45-49 år,-1097,1085,halden
10,50-54 år,-1172,1151,halden
11,55-59 år,-1041,997,halden
12,60-64 år,-984,988,halden
13,65-69 år,-903,910,halden
14,70-74 år,-932,968,halden
15,75-79 år,-534,604,halden
16,80-84 år,-316,422,halden
17,85-89 år,-197,289,halden
18,90-94 år,-73,147,halden
19,95-99 år,-13,49,halden
20,100 år eller eldre,0,5,halden
0,0-4 år,-1201,1094,moss
1,5-9 år,-1372,1354,moss
2,10-14 år,-1523,1461,moss
3,15-19 år,-1568,1422,moss
4,20-24 år,-1475,1235,moss
5,25-29 år,-1409,1252,moss
6,30-34 år,-1462,1413,moss
7,35-39 år,-1483,1456,moss
8,40-44 år,-1601,1630,moss
9,45-49 år,-1857,1873,moss
10,50-54 år,-1905,1948,moss
11,55-59 år,-1706,1662,moss
12,60-64 år,-1485,1539,moss
13,65-69 år,-1321,1477,moss
14,70-74 år,-1313,1520,moss
15,75-79 år,-846,1054,moss
16,80-84 år,-559,694,moss
17,85-89 år,-273,439,moss
18,90-94 år,-108,190,moss
19,95-99 år,-15,69,moss
20,100 år eller eldre,-2,7,moss
0,0-4 år,-1539,1403,sarpsborg
1,5-9 år,-1677,1596,sarpsborg
2,10-14 år,-1869,1699,sarpsborg
3,15-19 år,-1813,1705,sarpsborg
4,20-24 år,-1676,1604,sarpsborg
5,25-29 år,-1808,1741,sarpsborg
6,30-34 år,-1777,1735,sarpsborg
7,35-39 år,-1802,1765,sarpsborg
8,40-44 år,-1838,1806,sarpsborg
9,45-49 år,-2076,2047,sarpsborg
10,50-54 år,-2139,1894,sarpsborg
11,55-59 år,-1843,1779,sarpsborg
12,60-64 år,-1675,1696,sarpsborg
13,65-69 år,-1468,1505,sarpsborg
14,70-74 år,-1499,1602,sarpsborg
15,75-79 år,-914,1127,sarpsborg
16,80-84 år,-569,789,sarpsborg
17,85-89 år,-293,496,sarpsborg
18,90-94 år,-114,265,sarpsborg
19,95-99 år,-29,50,sarpsborg
20,100 år eller eldre,-1,9,sarpsborg
0,0-4 år,-2050,2000,fredrikstad
1,5-9 år,-2327,2166,fredrikstad
2,10-14 år,-2593,2430,fredrikstad
3,15-19 år,-2676,2423,fredrikstad
4,20-24 år,-2559,2506,fredrikstad
5,25-29 år,-2642,2370,fredrikstad
6,30-34 år,-2546,2495,fredrikstad
7,35-39 år,-2351,2430,fredrikstad
8,40-44 år,-2598,2537,fredrikstad
9,45-49 år,-2992,3046,fredrikstad
10,50-54 år,-3151,3100,fredrikstad
11,55-59 år,-2848,2711,fredrikstad
12,60-64 år,-2558,2573,fredrikstad
13,65-69 år,-2234,2377,fredrikstad
14,70-74 år,-2120,2280,fredrikstad
15,75-79 år,-1335,1554,fredrikstad
16,80-84 år,-855,1139,fredrikstad
17,85-89 år,-435,718,fredrikstad
18,90-94 år,-157,371,fredrikstad
19,95-99 år,-26,96,fredrikstad
20,100 år eller eldre,-1,9,fredrikstad
0,0-4 år,-89,66,hvaler
1,5-9 år,-105,104,hvaler
2,10-14 år,-134,124,hvaler
3,15-19 år,-129,108,hvaler
4,20-24 år,-115,102,hvaler
5,25-29 år,-96,73,hvaler
6,30-34 år,-85,85,hvaler
7,35-39 år,-93,117,hvaler
8,40-44 år,-140,143,hvaler
9,45-49 år,-155,154,hvaler
10,50-54 år,-174,163,hvaler
11,55-59 år,-183,194,hvaler
12,60-64 år,-221,233,hvaler
13,65-69 år,-217,229,hvaler
14,70-74 år,-228,191,hvaler
15,75-79 år,-110,99,hvaler
16,80-84 år,-58,61,hvaler
17,85-89 år,-27,26,hvaler
18,90-94 år,-7,23,hvaler
19,95-99 år,-2,5,hvaler
20,100 år eller eldre,0,0,hvaler
0,0-4 år,-23,25,aremark
1,5-9 år,-35,33,aremark
2,10-14 år,-42,28,aremark
3,15-19 år,-47,43,aremark
4,20-24 år,-31,30,aremark
5,25-29 år,-39,25,aremark
6,30-34 år,-27,32,aremark
7,35-39 år,-36,28,aremark
8,40-44 år,-27,35,aremark
9,45-49 år,-45,43,aremark
10,50-54 år,-68,56,aremark
11,55-59 år,-53,58,aremark
12,60-64 år,-54,51,aremark
13,65-69 år,-56,33,aremark
14,70-74 år,-43,42,aremark
15,75-79 år,-27,26,aremark
16,80-84 år,-19,28,aremark
17,85-89 år,-12,9,aremark
18,90-94 år,-2,8,aremark
19,95-99 år,-3,2,aremark
20,100 år eller eldre,0,1,aremark
0,0-4 år,-80,72,marker
1,5-9 år,-93,83,marker
2,10-14 år,-93,81,marker
3,15-19 år,-120,94,marker
4,20-24 år,-98,85,marker
5,25-29 år,-98,78,marker
6,30-34 år,-93,92,marker
7,35-39 år,-82,79,marker
8,40-44 år,-110,92,marker
9,45-49 år,-127,119,marker
10,50-54 år,-135,136,marker
11,55-59 år,-145,131,marker
12,60-64 år,-126,115,marker
13,65-69 år,-120,121,marker
14,70-74 år,-134,134,marker
15,75-79 år,-88,97,marker
16,80-84 år,-50,80,marker
17,85-89 år,-35,37,marker
18,90-94 år,-11,19,marker
19,95-99 år,-3,8,marker
20,100 år eller eldre,0,1,marker
0,0-4 år,-443,441,aurskog-høland
1,5-9 år,-484,520,aurskog-høland
2,10-14 år,-512,528,aurskog-høland
3,15-19 år,-550,512,aurskog-høland
4,20-24 år,-503,385,aurskog-høland
5,25-29 år,-482,449,aurskog-høland
6,30-34 år,-517,544,aurskog-høland
7,35-39 år,-551,541,aurskog-høland
8,40-44 år,-577,583,aurskog-høland
9,45-49 år,-695,657,aurskog-høland
10,50-54 år,-723,647,aurskog-høland
11,55-59 år,-592,538,aurskog-høland
12,60-64 år,-538,479,aurskog-høland
13,65-69 år,-479,485,aurskog-høland
14,70-74 år,-456,515,aurskog-høland
15,75-79 år,-313,346,aurskog-høland
16,80-84 år,-177,224,aurskog-høland
17,85-89 år,-107,140,aurskog-høland
18,90-94 år,-41,76,aurskog-høland
19,95-99 år,-10,25,aurskog-høland
20,100 år eller eldre,-1,4,aurskog-høland
0,0-4 år,-1154,1121,indre østfold
1,5-9 år,-1379,1311,indre østfold
2,10-14 år,-1414,1316,indre østfold
3,15-19 år,-1387,1267,indre østfold
4,20-24 år,-1315,1089,indre østfold
5,25-29 år,-1302,1246,indre østfold
6,30-34 år,-1428,1329,indre østfold
7,35-39 år,-1456,1451,indre østfold
8,40-44 år,-1486,1410,indre østfold
9,45-49 år,-1736,1596,indre østfold
10,50-54 år,-1768,1696,indre østfold
11,55-59 år,-1470,1379,indre østfold
12,60-64 år,-1354,1393,indre østfold
13,65-69 år,-1195,1296,indre østfold
14,70-74 år,-1164,1275,indre østfold
15,75-79 år,-793,900,indre østfold
16,80-84 år,-411,513,indre østfold
17,85-89 år,-219,366,indre østfold
18,90-94 år,-101,227,indre østfold
19,95-99 år,-16,55,indre østfold
20,100 år eller eldre,-1,7,indre østfold
0,0-4 år,-1154,1121,indre østfold
1,5-9 år,-1379,1311,indre østfold
2,10-14 år,-1414,1316,indre østfold
3,15-19 år,-1387,1267,indre østfold
4,20-24 år,-1315,1089,indre østfold
5,25-29 år,-1302,1246,indre østfold
6,30-34 år,-1428,1329,indre østfold
7,35-39 år,-1456,1451,indre østfold
8,40-44 år,-1486,1410,indre østfold
9,45-49 år,-1736,1596,indre østfold
10,50-54 år,-1768,1696,indre østfold
11,55-59 år,-1470,1379,indre østfold
12,60-64 år,-1354,1393,indre østfold
13,65-69 år,-1195,1296,indre østfold
14,70-74 år,-1164,1275,indre østfold
15,75-79 år,-793,900,indre østfold
16,80-84 år,-411,513,indre østfold
17,85-89 år,-219,366,indre østfold
18,90-94 år,-101,227,indre østfold
19,95-99 år,-16,55,indre østfold
20,100 år eller eldre,-1,7,indre østfold
0,0-4 år,-1154,1121,indre østfold
1,5-9 år,-1379,1311,indre østfold
2,10-14 år,-1414,1316,indre østfold
3,15-19 år,-1387,1267,indre østfold
4,20-24 år,-1315,1089,indre østfold
5,25-29 år,-1302,1246,indre østfold
6,30-34 år,-1428,1329,indre østfold
7,35-39 år,-1456,1451,indre østfold
8,40-44 år,-1486,1410,indre østfold
9,45-49 år,-1736,1596,indre østfold
10,50-54 år,-1768,1696,indre østfold
11,55-59 år,-1470,1379,indre østfold
12,60-64 år,-1354,1393,indre østfold
13,65-69 år,-1195,1296,indre østfold
14,70-74 år,-1164,1275,indre østfold
15,75-79 år,-793,900,indre østfold
16,80-84 år,-411,513,indre østfold
17,85-89 år,-219,366,indre østfold
18,90-94 år,-101,227,indre østfold
19,95-99 år,-16,55,indre østfold
20,100 år eller eldre,-1,7,indre østfold
0,0-4 år,-1154,1121,indre østfold
1,5-9 år,-1379,1311,indre østfold
2,10-14 år,-1414,1316,indre østfold
3,15-19 år,-1387,1267,indre østfold
4,20-24 år,-1315,1089,indre østfold
5,25-29 år,-1302,1246,indre østfold
6,30-34 år,-1428,1329,indre østfold
7,35-39 år,-1456,1451,indre østfold
8,40-44 år,-1486,1410,indre østfold
9,45-49 år,-1736,1596,indre østfold
10,50-54 år,-1768,1696,indre østfold
11,55-59 år,-1470,1379,indre østfold
12,60-64 år,-1354,1393,indre østfold
13,65-69 år,-1195,1296,indre østfold
14,70-74 år,-1164,1275,indre østfold
15,75-79 år,-793,900,indre østfold
16,80-84 år,-411,513,indre østfold
17,85-89 år,-219,366,indre østfold
18,90-94 år,-101,227,indre østfold
19,95-99 år,-16,55,indre østfold
20,100 år eller eldre,-1,7,indre østfold
0,0-4 år,-100,91,skiptvet
1,5-9 år,-125,115,skiptvet
2,10-14 år,-126,135,skiptvet
3,15-19 år,-128,119,skiptvet
4,20-24 år,-111,113,skiptvet
5,25-29 år,-110,105,skiptvet
6,30-34 år,-105,106,skiptvet
7,35-39 år,-114,131,skiptvet
8,40-44 år,-145,119,skiptvet
9,45-49 år,-153,116,skiptvet
10,50-54 år,-133,130,skiptvet
11,55-59 år,-144,118,skiptvet
12,60-64 år,-112,120,skiptvet
13,65-69 år,-101,100,skiptvet
14,70-74 år,-119,104,skiptvet
15,75-79 år,-52,58,skiptvet
16,80-84 år,-22,41,skiptvet
17,85-89 år,-14,29,skiptvet
18,90-94 år,-18,16,skiptvet
19,95-99 år,-3,4,skiptvet
20,100 år eller eldre,0,0,skiptvet
0,0-4 år,-216,202,rakkestad
1,5-9 år,-233,237,rakkestad
2,10-14 år,-238,239,rakkestad
3,15-19 år,-295,251,rakkestad
4,20-24 år,-237,216,rakkestad
5,25-29 år,-224,230,rakkestad
6,30-34 år,-222,207,rakkestad
7,35-39 år,-272,258,rakkestad
8,40-44 år,-288,241,rakkestad
9,45-49 år,-308,278,rakkestad
10,50-54 år,-301,276,rakkestad
11,55-59 år,-271,280,rakkestad
12,60-64 år,-295,262,rakkestad
13,65-69 år,-256,261,rakkestad
14,70-74 år,-239,230,rakkestad
15,75-79 år,-132,156,rakkestad
16,80-84 år,-74,112,rakkestad
17,85-89 år,-53,84,rakkestad
18,90-94 år,-25,39,rakkestad
19,95-99 år,-6,10,rakkestad
20,100 år eller eldre,0,1,rakkestad
0,0-4 år,-210,164,råde
1,5-9 år,-239,190,råde
2,10-14 år,-247,197,råde
3,15-19 år,-243,210,råde
4,20-24 år,-192,164,råde
5,25-29 år,-190,185,råde
6,30-34 år,-228,220,råde
7,35-39 år,-223,195,råde
8,40-44 år,-275,241,råde
9,45-49 år,-298,290,råde
10,50-54 år,-274,251,råde
11,55-59 år,-256,223,råde
12,60-64 år,-261,258,råde
13,65-69 år,-226,210,råde
14,70-74 år,-222,238,råde
15,75-79 år,-126,149,råde
16,80-84 år,-104,118,råde
17,85-89 år,-49,59,råde
18,90-94 år,-26,40,råde
19,95-99 år,-4,12,råde
20,100 år eller eldre,0,1,råde
0,0-4 år,-1201,1094,moss
1,5-9 år,-1372,1354,moss
2,10-14 år,-1523,1461,moss
3,15-19 år,-1568,1422,moss
4,20-24 år,-1475,1235,moss
5,25-29 år,-1409,1252,moss
6,30-34 år,-1462,1413,moss
7,35-39 år,-1483,1456,moss
8,40-44 år,-1601,1630,moss
9,45-49 år,-1857,1873,moss
10,50-54 år,-1905,1948,moss
11,55-59 år,-1706,1662,moss
12,60-64 år,-1485,1539,moss
13,65-69 år,-1321,1477,moss
14,70-74 år,-1313,1520,moss
15,75-79 år,-846,1054,moss
16,80-84 år,-559,694,moss
17,85-89 år,-273,439,moss
18,90-94 år,-108,190,moss
19,95-99 år,-15,69,moss
20,100 år eller eldre,-2,7,moss
0,0-4 år,-1201,1094,våler (viken)
1,5-9 år,-1372,1354,våler (viken)
2,10-14 år,-1523,1461,våler (viken)
3,15-19 år,-1568,1422,våler (viken)
4,20-24 år,-1475,1235,våler (viken)
5,25-29 år,-1409,1252,våler (viken)
6,30-34 år,-1462,1413,våler (viken)
7,35-39 år,-1483,1456,våler (viken)
8,40-44 år,-1601,1630,våler (viken)
9,45-49 år,-1857,1873,våler (viken)
10,50-54 år,-1905,1948,våler (viken)
11,55-59 år,-1706,1662,våler (viken)
12,60-64 år,-1485,1539,våler (viken)
13,65-69 år,-1321,1477,våler (viken)
14,70-74 år,-1313,1520,våler (viken)
15,75-79 år,-846,1054,våler (viken)
16,80-84 år,-559,694,våler (viken)
17,85-89 år,-273,439,våler (viken)
18,90-94 år,-108,190,våler (viken)
19,95-99 år,-15,69,våler (viken)
20,100 år eller eldre,-2,7,våler (viken)
0,0-4 år,-1154,1121,indre østfold
1,5-9 år,-1379,1311,indre østfold
2,10-14 år,-1414,1316,indre østfold
3,15-19 år,-1387,1267,indre østfold
4,20-24 år,-1315,1089,indre østfold
5,25-29 år,-1302,1246,indre østfold
6,30-34 år,-1428,1329,indre østfold
7,35-39 år,-1456,1451,indre østfold
8,40-44 år,-1486,1410,indre østfold
9,45-49 år,-1736,1596,indre østfold
10,50-54 år,-1768,1696,indre østfold
11,55-59 år,-1470,1379,indre østfold
12,60-64 år,-1354,1393,indre østfold
13,65-69 år,-1195,1296,indre østfold
14,70-74 år,-1164,1275,indre østfold
15,75-79 år,-793,900,indre østfold
16,80-84 år,-411,513,indre østfold
17,85-89 år,-219,366,indre østfold
18,90-94 år,-101,227,indre østfold
19,95-99 år,-16,55,indre østfold
20,100 år eller eldre,-1,7,indre østfold
0,0-4 år,-551,527,vestby
1,5-9 år,-643,640,vestby
2,10-14 år,-634,591,vestby
3,15-19 år,-597,585,vestby
4,20-24 år,-461,402,vestby
5,25-29 år,-444,418,vestby
6,30-34 år,-567,581,vestby
7,35-39 år,-614,593,vestby
8,40-44 år,-596,667,vestby
9,45-49 år,-758,732,vestby
10,50-54 år,-707,618,vestby
11,55-59 år,-563,520,vestby
12,60-64 år,-457,469,vestby
13,65-69 år,-446,493,vestby
14,70-74 år,-483,514,vestby
15,75-79 år,-307,329,vestby
16,80-84 år,-146,147,vestby
17,85-89 år,-53,102,vestby
18,90-94 år,-21,42,vestby
19,95-99 år,-4,19,vestby
20,100 år eller eldre,0,1,vestby
0,0-4 år,-1738,1565,nordre follo
1,5-9 år,-1974,1929,nordre follo
2,10-14 år,-2204,2120,nordre follo
3,15-19 år,-2096,1957,nordre follo
4,20-24 år,-1751,1494,nordre follo
5,25-29 år,-1479,1336,nordre follo
6,30-34 år,-1674,1744,nordre follo
7,35-39 år,-1859,1896,nordre follo
8,40-44 år,-2119,2158,nordre follo
9,45-49 år,-2339,2336,nordre follo
10,50-54 år,-2215,2184,nordre follo
11,55-59 år,-1871,1866,nordre follo
12,60-64 år,-1700,1653,nordre follo
13,65-69 år,-1343,1327,nordre follo
14,70-74 år,-1332,1481,nordre follo
15,75-79 år,-968,1083,nordre follo
16,80-84 år,-565,742,nordre follo
17,85-89 år,-289,482,nordre follo
18,90-94 år,-118,227,nordre follo
19,95-99 år,-23,43,nordre follo
20,100 år eller eldre,-1,7,nordre follo
0,0-4 år,-533,544,ås
1,5-9 år,-675,597,ås
2,10-14 år,-657,636,ås
3,15-19 år,-589,581,ås
4,20-24 år,-928,1045,ås
5,25-29 år,-872,811,ås
6,30-34 år,-743,656,ås
7,35-39 år,-685,700,ås
8,40-44 år,-716,648,ås
9,45-49 år,-727,656,ås
10,50-54 år,-663,696,ås
11,55-59 år,-636,576,ås
12,60-64 år,-497,472,ås
13,65-69 år,-404,383,ås
14,70-74 år,-384,402,ås
15,75-79 år,-278,303,ås
16,80-84 år,-160,204,ås
17,85-89 år,-105,143,ås
18,90-94 år,-39,69,ås
19,95-99 år,-8,16,ås
20,100 år eller eldre,-1,1,ås
0,0-4 år,-325,299,frogn
1,5-9 år,-462,421,frogn
2,10-14 år,-532,520,frogn
3,15-19 år,-522,496,frogn
4,20-24 år,-473,390,frogn
5,25-29 år,-324,343,frogn
6,30-34 år,-375,328,frogn
7,35-39 år,-388,419,frogn
8,40-44 år,-461,506,frogn
9,45-49 år,-631,657,frogn
10,50-54 år,-631,754,frogn
11,55-59 år,-657,639,frogn
12,60-64 år,-538,537,frogn
13,65-69 år,-442,459,frogn
14,70-74 år,-457,487,frogn
15,75-79 år,-348,377,frogn
16,80-84 år,-165,206,frogn
17,85-89 år,-80,141,frogn
18,90-94 år,-20,51,frogn
19,95-99 år,-4,11,frogn
20,100 år eller eldre,0,1,frogn
0,0-4 år,-567,568,nesodden
1,5-9 år,-747,632,nesodden
2,10-14 år,-662,671,nesodden
3,15-19 år,-669,632,nesodden
4,20-24 år,-496,400,nesodden
5,25-29 år,-424,443,nesodden
6,30-34 år,-463,533,nesodden
7,35-39 år,-639,688,nesodden
8,40-44 år,-707,758,nesodden
9,45-49 år,-751,796,nesodden
10,50-54 år,-762,772,nesodden
11,55-59 år,-654,717,nesodden
12,60-64 år,-619,632,nesodden
13,65-69 år,-498,523,nesodden
14,70-74 år,-475,453,nesodden
15,75-79 år,-258,324,nesodden
16,80-84 år,-158,202,nesodden
17,85-89 år,-72,134,nesodden
18,90-94 år,-30,67,nesodden
19,95-99 år,-6,12,nesodden
20,100 år eller eldre,-1,1,nesodden
0,0-4 år,-1738,1565,nordre follo
1,5-9 år,-1974,1929,nordre follo
2,10-14 år,-2204,2120,nordre follo
3,15-19 år,-2096,1957,nordre follo
4,20-24 år,-1751,1494,nordre follo
5,25-29 år,-1479,1336,nordre follo
6,30-34 år,-1674,1744,nordre follo
7,35-39 år,-1859,1896,nordre follo
8,40-44 år,-2119,2158,nordre follo
9,45-49 år,-2339,2336,nordre follo
10,50-54 år,-2215,2184,nordre follo
11,55-59 år,-1871,1866,nordre follo
12,60-64 år,-1700,1653,nordre follo
13,65-69 år,-1343,1327,nordre follo
14,70-74 år,-1332,1481,nordre follo
15,75-79 år,-968,1083,nordre follo
16,80-84 år,-565,742,nordre follo
17,85-89 år,-289,482,nordre follo
18,90-94 år,-118,227,nordre follo
19,95-99 år,-23,43,nordre follo
20,100 år eller eldre,-1,7,nordre follo
0,0-4 år,-3976,3675,bærum
1,5-9 år,-4362,4135,bærum
2,10-14 år,-4429,4229,bærum
3,15-19 år,-4195,3982,bærum
4,20-24 år,-3450,3113,bærum
5,25-29 år,-3128,3225,bærum
6,30-34 år,-3817,3926,bærum
7,35-39 år,-4451,4496,bærum
8,40-44 år,-4666,4457,bærum
9,45-49 år,-4936,4799,bærum
10,50-54 år,-4566,4522,bærum
11,55-59 år,-4222,4288,bærum
12,60-64 år,-3801,3641,bærum
13,65-69 år,-2863,2960,bærum
14,70-74 år,-2641,2923,bærum
15,75-79 år,-1729,2085,bærum
16,80-84 år,-1098,1664,bærum
17,85-89 år,-704,1198,bærum
18,90-94 år,-348,693,bærum
19,95-99 år,-84,229,bærum
20,100 år eller eldre,-5,20,bærum
0,0-4 år,-2652,2566,asker
1,5-9 år,-3266,3111,asker
2,10-14 år,-3351,3121,asker
3,15-19 år,-3179,3112,asker
4,20-24 år,-2740,2434,asker
5,25-29 år,-2194,2120,asker
6,30-34 år,-2504,2690,asker
7,35-39 år,-3182,3129,asker
8,40-44 år,-3393,3363,asker
9,45-49 år,-3660,3646,asker
10,50-54 år,-3684,3626,asker
11,55-59 år,-3312,3144,asker
12,60-64 år,-2769,2608,asker
13,65-69 år,-2215,2321,asker
14,70-74 år,-2160,2227,asker
15,75-79 år,-1484,1593,asker
16,80-84 år,-857,1159,asker
17,85-89 år,-483,717,asker
18,90-94 år,-184,329,asker
19,95-99 år,-34,102,asker
20,100 år eller eldre,-5,15,asker
0,0-4 år,-443,441,aurskog-høland
1,5-9 år,-484,520,aurskog-høland
2,10-14 år,-512,528,aurskog-høland
3,15-19 år,-550,512,aurskog-høland
4,20-24 år,-503,385,aurskog-høland
5,25-29 år,-482,449,aurskog-høland
6,30-34 år,-517,544,aurskog-høland
7,35-39 år,-551,541,aurskog-høland
8,40-44 år,-577,583,aurskog-høland
9,45-49 år,-695,657,aurskog-høland
10,50-54 år,-723,647,aurskog-høland
11,55-59 år,-592,538,aurskog-høland
12,60-64 år,-538,479,aurskog-høland
13,65-69 år,-479,485,aurskog-høland
14,70-74 år,-456,515,aurskog-høland
15,75-79 år,-313,346,aurskog-høland
16,80-84 år,-177,224,aurskog-høland
17,85-89 år,-107,140,aurskog-høland
18,90-94 år,-41,76,aurskog-høland
19,95-99 år,-10,25,aurskog-høland
20,100 år eller eldre,-1,4,aurskog-høland
0,0-4 år,-2495,2424,lillestrøm
1,5-9 år,-2776,2632,lillestrøm
2,10-14 år,-2920,2752,lillestrøm
3,15-19 år,-2747,2662,lillestrøm
4,20-24 år,-2524,2453,lillestrøm
5,25-29 år,-2743,2569,lillestrøm
6,30-34 år,-3005,2841,lillestrøm
7,35-39 år,-3102,3002,lillestrøm
8,40-44 år,-3145,3017,lillestrøm
9,45-49 år,-3609,3283,lillestrøm
10,50-54 år,-3438,3164,lillestrøm
11,55-59 år,-2831,2478,lillestrøm
12,60-64 år,-2182,2124,lillestrøm
13,65-69 år,-1762,1814,lillestrøm
14,70-74 år,-1703,1883,lillestrøm
15,75-79 år,-1210,1447,lillestrøm
16,80-84 år,-735,985,lillestrøm
17,85-89 år,-379,615,lillestrøm
18,90-94 år,-142,290,lillestrøm
19,95-99 år,-15,75,lillestrøm
20,100 år eller eldre,-1,9,lillestrøm
0,0-4 år,-2495,2424,lillestrøm
1,5-9 år,-2776,2632,lillestrøm
2,10-14 år,-2920,2752,lillestrøm
3,15-19 år,-2747,2662,lillestrøm
4,20-24 år,-2524,2453,lillestrøm
5,25-29 år,-2743,2569,lillestrøm
6,30-34 år,-3005,2841,lillestrøm
7,35-39 år,-3102,3002,lillestrøm
8,40-44 år,-3145,3017,lillestrøm
9,45-49 år,-3609,3283,lillestrøm
10,50-54 år,-3438,3164,lillestrøm
11,55-59 år,-2831,2478,lillestrøm
12,60-64 år,-2182,2124,lillestrøm
13,65-69 år,-1762,1814,lillestrøm
14,70-74 år,-1703,1883,lillestrøm
15,75-79 år,-1210,1447,lillestrøm
16,80-84 år,-735,985,lillestrøm
17,85-89 år,-379,615,lillestrøm
18,90-94 år,-142,290,lillestrøm
19,95-99 år,-15,75,lillestrøm
20,100 år eller eldre,-1,9,lillestrøm
0,0-4 år,-604,572,rælingen
1,5-9 år,-670,651,rælingen
2,10-14 år,-647,572,rælingen
3,15-19 år,-554,504,rælingen
4,20-24 år,-539,481,rælingen
5,25-29 år,-557,592,rælingen
6,30-34 år,-705,647,rælingen
7,35-39 år,-753,759,rælingen
8,40-44 år,-721,651,rælingen
9,45-49 år,-703,676,rælingen
10,50-54 år,-734,633,rælingen
11,55-59 år,-549,563,rælingen
12,60-64 år,-481,446,rælingen
13,65-69 år,-381,397,rælingen
14,70-74 år,-355,404,rælingen
15,75-79 år,-239,264,rælingen
16,80-84 år,-135,174,rælingen
17,85-89 år,-52,90,rælingen
18,90-94 år,-18,41,rælingen
19,95-99 år,-9,7,rælingen
20,100 år eller eldre,0,0,rælingen
0,0-4 år,-307,267,enebakk
1,5-9 år,-389,375,enebakk
2,10-14 år,-435,402,enebakk
3,15-19 år,-331,357,enebakk
4,20-24 år,-311,255,enebakk
5,25-29 år,-267,273,enebakk
6,30-34 år,-345,356,enebakk
7,35-39 år,-400,382,enebakk
8,40-44 år,-456,409,enebakk
9,45-49 år,-476,428,enebakk
10,50-54 år,-453,415,enebakk
11,55-59 år,-374,329,enebakk
12,60-64 år,-299,303,enebakk
13,65-69 år,-281,233,enebakk
14,70-74 år,-284,277,enebakk
15,75-79 år,-162,179,enebakk
16,80-84 år,-82,85,enebakk
17,85-89 år,-27,63,enebakk
18,90-94 år,-9,20,enebakk
19,95-99 år,-1,11,enebakk
20,100 år eller eldre,-1,1,enebakk
0,0-4 år,-1294,1193,lørenskog
1,5-9 år,-1283,1246,lørenskog
2,10-14 år,-1355,1226,lørenskog
3,15-19 år,-1337,1168,lørenskog
4,20-24 år,-1239,1211,lørenskog
5,25-29 år,-1392,1379,lørenskog
6,30-34 år,-1485,1375,lørenskog
7,35-39 år,-1538,1442,lørenskog
8,40-44 år,-1491,1426,lørenskog
9,45-49 år,-1531,1497,lørenskog
10,50-54 år,-1541,1539,lørenskog
11,55-59 år,-1360,1263,lørenskog
12,60-64 år,-1144,1080,lørenskog
13,65-69 år,-891,959,lørenskog
14,70-74 år,-914,1066,lørenskog
15,75-79 år,-577,624,lørenskog
16,80-84 år,-350,408,lørenskog
17,85-89 år,-167,264,lørenskog
18,90-94 år,-60,103,lørenskog
19,95-99 år,-13,24,lørenskog
20,100 år eller eldre,0,5,lørenskog
0,0-4 år,-2495,2424,lillestrøm
1,5-9 år,-2776,2632,lillestrøm
2,10-14 år,-2920,2752,lillestrøm
3,15-19 år,-2747,2662,lillestrøm
4,20-24 år,-2524,2453,lillestrøm
5,25-29 år,-2743,2569,lillestrøm
6,30-34 år,-3005,2841,lillestrøm
7,35-39 år,-3102,3002,lillestrøm
8,40-44 år,-3145,3017,lillestrøm
9,45-49 år,-3609,3283,lillestrøm
10,50-54 år,-3438,3164,lillestrøm
11,55-59 år,-2831,2478,lillestrøm
12,60-64 år,-2182,2124,lillestrøm
13,65-69 år,-1762,1814,lillestrøm
14,70-74 år,-1703,1883,lillestrøm
15,75-79 år,-1210,1447,lillestrøm
16,80-84 år,-735,985,lillestrøm
17,85-89 år,-379,615,lillestrøm
18,90-94 år,-142,290,lillestrøm
19,95-99 år,-15,75,lillestrøm
20,100 år eller eldre,-1,9,lillestrøm
0,0-4 år,-729,672,nittedal
1,5-9 år,-841,837,nittedal
2,10-14 år,-911,889,nittedal
3,15-19 år,-816,813,nittedal
4,20-24 år,-679,645,nittedal
5,25-29 år,-603,512,nittedal
6,30-34 år,-632,732,nittedal
7,35-39 år,-804,875,nittedal
8,40-44 år,-926,933,nittedal
9,45-49 år,-1088,1023,nittedal
10,50-54 år,-1016,971,nittedal
11,55-59 år,-831,780,nittedal
12,60-64 år,-635,527,nittedal
13,65-69 år,-477,513,nittedal
14,70-74 år,-502,505,nittedal
15,75-79 år,-346,411,nittedal
16,80-84 år,-198,232,nittedal
17,85-89 år,-96,143,nittedal
18,90-94 år,-30,55,nittedal
19,95-99 år,-5,15,nittedal
20,100 år eller eldre,0,1,nittedal
0,0-4 år,-208,166,gjerdrum
1,5-9 år,-250,175,gjerdrum
2,10-14 år,-262,224,gjerdrum
3,15-19 år,-276,226,gjerdrum
4,20-24 år,-186,168,gjerdrum
5,25-29 år,-178,163,gjerdrum
6,30-34 år,-201,173,gjerdrum
7,35-39 år,-235,238,gjerdrum
8,40-44 år,-233,234,gjerdrum
9,45-49 år,-301,318,gjerdrum
10,50-54 år,-311,266,gjerdrum
11,55-59 år,-263,228,gjerdrum
