"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","Region"
"04","HEDMARK","0438","ALVDAL",34,"INNLANDET",3428,"ALVDAL","Vestre Østland"
"04","HEDMARK","0439","FOLLDAL",34,"INNLANDET",3429,"FOLLDAL","Vestre Østland"
"04","HEDMARK","0441","OS (HEDM.)",34,"INNLANDET",3430,"OS (INNLANDET)","Vestre Østland"
"05","OPPLAND","0501","LILLEHAMMER",34,"INNLANDET",3405,"LILLEHAMMER","Vestre Østland"
"05","OPPLAND","0502","GJØVIK",34,"INNLANDET",3407,"GJØVIK","Vestre Østland"
"05","OPPLAND","0511","DOVRE",34,"INNLANDET",3431,"DOVRE","Vestre Østland"
"05","OPPLAND","0512","LESJA",34,"INNLANDET",3432,"LESJA","Vestre Østland"
"05","OPPLAND","0513","SKJÅK",34,"INNLANDET",3433,"SKJÅK","Vestre Østland"
"05","OPPLAND","0514","LOM",34,"INNLANDET",3434,"LOM","Vestre Østland"
"05","OPPLAND","0515","VÅGÅ",34,"INNLANDET",3435,"VÅGÅ","Vestre Østland"
"05","OPPLAND","0516","NORD-FRON",34,"INNLANDET",3436,"NORD-FRON","Vestre Østland"
"05","OPPLAND","0517","SEL",34,"INNLANDET",3437,"SEL","Vestre Østland"
"05","OPPLAND","0519","SØR-FRON",34,"INNLANDET",3438,"SØR-FRON","Vestre Østland"
"05","OPPLAND","0520","RINGEBU",34,"INNLANDET",3439,"RINGEBU","Vestre Østland"
"05","OPPLAND","0521","ØYER",34,"INNLANDET",3440,"ØYER","Vestre Østland"
"05","OPPLAND","0522","GAUSDAL",34,"INNLANDET",3441,"GAUSDAL","Vestre Østland"
"05","OPPLAND","0528","ØSTRE TOTEN",34,"INNLANDET",3442,"ØSTRE TOTEN","Vestre Østland"
"05","OPPLAND","0529","VESTRE TOTEN",34,"INNLANDET",3443,"VESTRE TOTEN","Vestre Østland"
"05","OPPLAND","0532","JEVNAKER",30,"VIKEN",3053,"JEVNAKER","Vestre Østland"
"05","OPPLAND","0533","LUNNER",30,"VIKEN",3054,"LUNNER","Vestre Østland"
"05","OPPLAND","0534","GRAN",34,"INNLANDET",3446,"GRAN","Vestre Østland"
"05","OPPLAND","0536","SØNDRE LAND",34,"INNLANDET",3447,"SØNDRE LAND","Vestre Østland"
"05","OPPLAND","0538","NORDRE LAND",34,"INNLANDET",3448,"NORDRE LAND","Vestre Østland"
"05","OPPLAND","0540","SØR-AURDAL",34,"INNLANDET",3449,"SØR-AURDAL","Vestre Østland"
"05","OPPLAND","0541","ETNEDAL",34,"INNLANDET",3450,"ETNEDAL","Vestre Østland"
"05","OPPLAND","0542","NORD-AURDAL",34,"INNLANDET",3451,"NORD-AURDAL","Vestre Østland"
"05","OPPLAND","0543","VESTRE SLIDRE",34,"INNLANDET",3452,"VESTRE SLIDRE","Vestre Østland"
"05","OPPLAND","0544","ØYSTRE SLIDRE",34,"INNLANDET",3453,"ØYSTRE SLIDRE","Vestre Østland"
"05","OPPLAND","0545","VANG",34,"INNLANDET",3454,"VANG","Vestre Østland"
"06","BUSKERUD","0602","DRAMMEN",30,"VIKEN",3005,"DRAMMEN","Vestre Østland"
"06","BUSKERUD","0604","KONGSBERG",30,"VIKEN",3006,"KONGSBERG","Vestre Østland"
"06","BUSKERUD","0605","RINGERIKE",30,"VIKEN",3007,"RINGERIKE","Vestre Østland"
"06","BUSKERUD","0612","HOLE",30,"VIKEN",3038,"HOLE","Vestre Østland"
"06","BUSKERUD","0615","FLÅ",30,"VIKEN",3039,"FLÅ","Vestre Østland"
"06","BUSKERUD","0616","NES (BUSK.)",30,"VIKEN",3040,"NESBYEN","Vestre Østland"
"06","BUSKERUD","0617","GOL",30,"VIKEN",3041,"GOL","Vestre Østland"
"06","BUSKERUD","0618","HEMSEDAL",30,"VIKEN",3042,"HEMSEDAL","Vestre Østland"
"06","BUSKERUD","0619","ÅL",30,"VIKEN",3043,"ÅL","Vestre Østland"
"06","BUSKERUD","0620","HOL",30,"VIKEN",3044,"HOL","Vestre Østland"
"06","BUSKERUD","0621","SIGDAL",30,"VIKEN",3045,"SIGDAL","Vestre Østland"
"06","BUSKERUD","0622","KRØDSHERAD",30,"VIKEN",3046,"KRØDSHERAD","Vestre Østland"
"06","BUSKERUD","0623","MODUM",30,"VIKEN",3047,"MODUM","Vestre Østland"
"06","BUSKERUD","0624","ØVRE EIKER",30,"VIKEN",3048,"ØVRE EIKER","Vestre Østland"
"06","BUSKERUD","0625","NEDRE EIKER",30,"VIKEN",3005,"DRAMMEN","Vestre Østland"
"06","BUSKERUD","0626","LIER",30,"VIKEN",3049,"LIER","Vestre Østland"
"06","BUSKERUD","0627","RØYKEN",30,"VIKEN",3025,"ASKER","Vestre Østland"
"06","BUSKERUD","0628","HURUM",30,"VIKEN",3025,"ASKER","Vestre Østland"
"06","BUSKERUD","0631","FLESBERG",30,"VIKEN",3050,"FLESBERG","Vestre Østland"
"06","BUSKERUD","0632","ROLLAG",30,"VIKEN",3051,"ROLLAG","Vestre Østland"
"06","BUSKERUD","0633","NORE OG UVDAL",30,"VIKEN",3052,"NORE OG UVDAL","Vestre Østland"
"07","VESTFOLD","0701","HORTEN",38,"VESTFOLD OG TELEMARK",3801,"HORTEN","Vestre Østland"
"07","VESTFOLD","0704","TØNSBERG",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland"
"07","VESTFOLD","0710","SANDEFJORD",38,"VESTFOLD OG TELEMARK",3804,"SANDEFJORD","Vestre Østland"
"07","VESTFOLD","0711","SVELVIK",30,"VIKEN",3005,"DRAMMEN","Vestre Østland"
"07","VESTFOLD","0712","LARVIK",38,"VESTFOLD OG TELEMARK",3805,"LARVIK","Vestre Østland"
"07","VESTFOLD","0713","SANDE (VESTF.)",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland"
"07","VESTFOLD","0715","HOLMESTRAND",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland"
"07","VESTFOLD","0716","RE",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland"
"07","VESTFOLD","0729","FÆRDER",38,"VESTFOLD OG TELEMARK",3811,"FÆRDER","Vestre Østland"
"08","TELEMARK","0805","PORSGRUNN",38,"VESTFOLD OG TELEMARK",3806,"PORSGRUNN","Vestre Østland"
"08","TELEMARK","0806","SKIEN",38,"VESTFOLD OG TELEMARK",3807,"SKIEN","Vestre Østland"
"08","TELEMARK","0807","NOTODDEN",38,"VESTFOLD OG TELEMARK",3808,"NOTODDEN","Vestre Østland"
"08","TELEMARK","0811","SILJAN",38,"VESTFOLD OG TELEMARK",3812,"SILJAN","Vestre Østland"
"08","TELEMARK","0814","BAMBLE",38,"VESTFOLD OG TELEMARK",3813,"BAMBLE","Vestre Østland"
"08","TELEMARK","0815","KRAGERØ",38,"VESTFOLD OG TELEMARK",3814,"KRAGERØ","Vestre Østland"
"08","TELEMARK","0817","DRANGEDAL",38,"VESTFOLD OG TELEMARK",3815,"DRANGEDAL","Vestre Østland"
"08","TELEMARK","0819","NOME",38,"VESTFOLD OG TELEMARK",3816,"NOME","Vestre Østland"
"08","TELEMARK","0821","BØ (TELEM.)",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland"
"08","TELEMARK","0822","SAUHERAD",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland"
"08","TELEMARK","0826","TINN",38,"VESTFOLD OG TELEMARK",3818,"TINN","Vestre Østland"
"08","TELEMARK","0827","HJARTDAL",38,"VESTFOLD OG TELEMARK",3819,"HJARTDAL","Vestre Østland"
"08","TELEMARK","0828","SELJORD",38,"VESTFOLD OG TELEMARK",3820,"SELJORD","Vestre Østland"
"08","TELEMARK","0829","KVITESEID",38,"VESTFOLD OG TELEMARK",3821,"KVITESEID","Vestre Østland"
"08","TELEMARK","0830","NISSEDAL",38,"VESTFOLD OG TELEMARK",3822,"NISSEDAL","Vestre Østland"
"08","TELEMARK","0831","FYRESDAL",38,"VESTFOLD OG TELEMARK",3823,"FYRESDAL","Vestre Østland"
"08","TELEMARK","0833","TOKKE",38,"VESTFOLD OG TELEMARK",3824,"TOKKE","Vestre Østland"
"08","TELEMARK","0834","VINJE",38,"VESTFOLD OG TELEMARK",3825,"VINJE","Vestre Østland"
"09","AUST-AGDER","0901","RISØR",42,"AGDER",4201,"RISØR","Vestlandet"
"09","AUST-AGDER","0904","GRIMSTAD",42,"AGDER",4202,"GRIMSTAD","Vestlandet"
"09","AUST-AGDER","0906","ARENDAL",42,"AGDER",4203,"ARENDAL","Vestlandet"
"09","AUST-AGDER","0911","GJERSTAD",42,"AGDER",4211,"GJERSTAD","Vestlandet"
"09","AUST-AGDER","0912","VEGÅRSHEI",42,"AGDER",4212,"VEGÅRSHEI","Vestlandet"
"09","AUST-AGDER","0914","TVEDESTRAND",42,"AGDER",4213,"TVEDESTRAND","Vestlandet"
"09","AUST-AGDER","0919","FROLAND",42,"AGDER",4214,"FROLAND","Vestlandet"
"09","AUST-AGDER","0926","LILLESAND",42,"AGDER",4215,"LILLESAND","Vestlandet"
"09","AUST-AGDER","0928","BIRKENES",42,"AGDER",4216,"BIRKENES","Vestlandet"
"09","AUST-AGDER","0929","ÅMLI",42,"AGDER",4217,"ÅMLI","Vestlandet"
"09","AUST-AGDER","0935","IVELAND",42,"AGDER",4218,"IVELAND","Vestlandet"
"09","AUST-AGDER","0937","EVJE OG HORNNES",42,"AGDER",4219,"EVJE OG HORNNES","Vestlandet"
"09","AUST-AGDER","0938","BYGLAND",42,"AGDER",4220,"BYGLAND","Vestlandet"
"09","AUST-AGDER","0940","VALLE",42,"AGDER",4221,"VALLE","Vestlandet"
"09","AUST-AGDER","0941","BYKLE",42,"AGDER",4222,"BYKLE","Vestlandet"
10,"VEST-AGDER",1001,"KRISTIANSAND",42,"AGDER",4204,"KRISTIANSAND","Vestlandet"
10,"VEST-AGDER",1002,"MANDAL",42,"AGDER",4205,"LINDESNES","Vestlandet"
10,"VEST-AGDER",1003,"FARSUND",42,"AGDER",4206,"FARSUND","Vestlandet"
10,"VEST-AGDER",1004,"FLEKKEFJORD",42,"AGDER",4207,"FLEKKEFJORD","Vestlandet"
10,"VEST-AGDER",1014,"VENNESLA",42,"AGDER",4223,"VENNESLA","Vestlandet"
10,"VEST-AGDER",1017,"SONGDALEN",42,"AGDER",4204,"KRISTIANSAND","Vestlandet"
10,"VEST-AGDER",1018,"SØGNE",42,"AGDER",4204,"KRISTIANSAND","Vestlandet"
10,"VEST-AGDER",1021,"MARNARDAL",42,"AGDER",4205,"LINDESNES","Vestlandet"
10,"VEST-AGDER",1026,"ÅSERAL",42,"AGDER",4224,"ÅSERAL","Vestlandet"
10,"VEST-AGDER",1027,"AUDNEDAL",42,"AGDER",4225,"LYNGDAL","Vestlandet"
10,"VEST-AGDER",1029,"LINDESNES",42,"AGDER",4205,"LINDESNES","Vestlandet"
10,"VEST-AGDER",1032,"LYNGDAL",42,"AGDER",4225,"LYNGDAL","Vestlandet"
10,"VEST-AGDER",1034,"HÆGEBOSTAD",42,"AGDER",4226,"HÆGEBOSTAD","Vestlandet"
10,"VEST-AGDER",1037,"KVINESDAL",42,"AGDER",4227,"KVINESDAL","Vestlandet"
10,"VEST-AGDER",1046,"SIRDAL",42,"AGDER",4228,"SIRDAL","Vestlandet"
11,"ROGALAND",1101,"EIGERSUND",11,"ROGALAND",1101,"EIGERSUND","Vestlandet"
11,"ROGALAND",1102,"SANDNES",11,"ROGALAND",1108,"SANDNES","Vestlandet"
11,"ROGALAND",1103,"STAVANGER",11,"ROGALAND",1103,"STAVANGER","Vestlandet"
11,"ROGALAND",1106,"HAUGESUND",11,"ROGALAND",1106,"HAUGESUND","Vestlandet"
11,"ROGALAND",1111,"SOKNDAL",11,"ROGALAND",1111,"SOKNDAL","Vestlandet"
11,"ROGALAND",1112,"LUND",11,"ROGALAND",1112,"LUND","Vestlandet"
11,"ROGALAND",1114,"BJERKREIM",11,"ROGALAND",1114,"BJERKREIM","Vestlandet"
11,"ROGALAND",1119,"HÅ",11,"ROGALAND",1119,"HÅ","Vestlandet"
11,"ROGALAND",1120,"KLEPP",11,"ROGALAND",1120,"KLEPP","Vestlandet"
11,"ROGALAND",1121,"TIME",11,"ROGALAND",1121,"TIME","Vestlandet"
11,"ROGALAND",1122,"GJESDAL",11,"ROGALAND",1122,"GJESDAL","Vestlandet"
11,"ROGALAND",1124,"SOLA",11,"ROGALAND",1124,"SOLA","Vestlandet"
11,"ROGALAND",1127,"RANDABERG",11,"ROGALAND",1127,"RANDABERG","Vestlandet"
11,"ROGALAND",1129,"FORSAND",11,"ROGALAND",1108,"SANDNES","Vestlandet"
11,"ROGALAND",1130,"STRAND",11,"ROGALAND",1130,"STRAND","Vestlandet"
11,"ROGALAND",1133,"HJELMELAND",11,"ROGALAND",1133,"HJELMELAND","Vestlandet"
11,"ROGALAND",1134,"SULDAL",11,"ROGALAND",1134,"SULDAL","Vestlandet"
11,"ROGALAND",1135,"SAUDA",11,"ROGALAND",1135,"SAUDA","Vestlandet"
11,"ROGALAND",1141,"FINNØY",11,"ROGALAND",1103,"STAVANGER","Vestlandet"
11,"ROGALAND",1142,"RENNESØY",11,"ROGALAND",1103,"STAVANGER","Vestlandet"
11,"ROGALAND",1144,"KVITSØY",11,"ROGALAND",1144,"KVITSØY","Vestlandet"
11,"ROGALAND",1145,"BOKN",11,"ROGALAND",1145,"BOKN","Vestlandet"
11,"ROGALAND",1146,"TYSVÆR",11,"ROGALAND",1146,"TYSVÆR","Vestlandet"
11,"ROGALAND",1149,"KARMØY",11,"ROGALAND",1149,"KARMØY","Vestlandet"
11,"ROGALAND",1151,"UTSIRA",11,"ROGALAND",1151,"UTSIRA","Vestlandet"
11,"ROGALAND",1160,"VINDAFJORD",11,"ROGALAND",1160,"VINDAFJORD","Vestlandet"
12,"HORDALAND",1201,"BERGEN",46,"VESTLAND",4601,"BERGEN","Vestlandet"
12,"HORDALAND",1211,"ETNE",46,"VESTLAND",4611,"ETNE","Vestlandet"
12,"HORDALAND",1216,"SVEIO",46,"VESTLAND",4612,"SVEIO","Vestlandet"
